PWM	V2_read	Isense_read
0	510	510
0	510	509
0	510	510
0	510	510
0	510	509
0	510	509
0	510	510
0	510	510
1	510	509
1	510	510
1	510	509
1	510	510
1	510	510
1	510	510
1	510	510
1	510	509
1	510	510
1	510	510
2	510	509
2	510	509
2	510	510
2	510	510
2	509	509
2	510	510
2	510	510
2	510	509
2	510	509
2	510	509
3	510	510
3	510	510
3	510	509
3	510	509
3	510	509
3	510	509
3	510	509
3	510	510
3	510	509
3	510	510
4	510	510
4	510	509
4	510	509
4	509	510
4	510	510
4	510	509
4	510	509
4	510	510
4	510	510
4	510	509
5	510	509
5	510	509
5	510	509
5	510	510
5	510	510
5	510	509
5	510	509
5	510	509
5	510	510
5	510	509
6	510	508
6	510	510
6	510	510
6	510	509
6	510	509
6	510	509
6	510	510
6	510	509
6	510	510
6	510	510
7	510	510
7	510	509
7	510	510
7	510	510
7	510	510
7	510	509
7	510	509
7	510	510
7	510	509
7	510	509
8	510	509
8	510	509
8	510	510
8	510	509
8	510	509
8	510	509
8	510	509
8	510	509
8	510	510
8	510	510
9	510	510
9	510	510
9	510	509
9	510	509
9	510	510
9	510	508
9	510	510
9	510	509
9	510	510
9	510	510
10	510	509
10	510	510
10	510	510
10	509	509
10	510	510
10	509	509
10	510	509
10	510	510
10	510	509
10	510	510
11	510	509
11	510	508
11	510	509
11	510	510
11	510	509
11	510	509
11	510	509
11	510	510
11	510	510
11	510	509
12	510	510
12	510	509
12	510	510
12	510	510
12	510	510
12	510	510
12	510	509
12	510	510
12	510	509
12	510	509
13	510	510
13	510	510
13	510	509
13	510	510
13	510	510
13	510	509
13	510	510
13	510	509
13	510	509
13	510	510
14	510	510
14	510	509
14	510	510
14	510	509
14	510	510
14	509	509
14	510	510
14	510	509
14	510	509
14	510	510
15	510	509
15	510	509
15	510	510
15	510	509
15	510	509
15	510	509
15	510	509
15	510	510
15	510	509
15	510	509
16	510	509
16	509	509
16	510	510
16	510	509
16	510	510
16	510	509
16	510	508
16	510	509
16	510	508
16	510	509
17	510	510
17	510	509
17	510	509
17	510	509
17	510	509
17	510	510
17	510	510
17	510	510
17	510	510
17	510	510
18	510	510
18	510	509
18	510	510
18	510	509
18	510	509
18	510	509
18	510	509
18	510	509
18	510	510
18	510	509
19	510	509
19	510	509
19	510	509
19	510	509
19	510	510
19	510	510
19	510	509
19	510	509
19	510	510
19	510	510
20	510	509
20	510	509
20	510	509
20	510	510
20	510	509
20	510	509
20	510	510
20	510	510
20	510	509
20	510	510
21	510	509
21	510	509
21	510	509
21	510	510
21	510	509
21	510	509
21	510	509
21	510	509
21	510	510
21	510	509
22	510	510
22	510	509
22	510	510
22	510	509
22	510	509
22	510	510
22	510	509
22	510	509
22	510	509
22	510	510
23	510	509
23	510	509
23	510	509
23	510	509
23	510	509
23	510	510
23	510	509
23	510	510
23	510	509
23	510	510
24	510	510
24	510	509
24	510	509
24	510	510
24	510	509
24	510	509
24	510	509
24	510	509
24	510	509
24	510	509
25	510	510
25	510	509
25	510	510
25	510	509
25	510	509
25	510	509
25	510	510
25	510	509
25	510	509
25	510	509
26	510	510
26	510	510
26	509	509
26	510	510
26	510	509
26	510	509
26	510	509
26	510	510
26	510	510
26	510	509
