PWM	V2_read	Isense_read
0	510	509
0	510	509
0	510	508
0	510	509
0	510	509
0	510	509
0	510	509
1	510	508
1	510	509
1	510	509
1	510	509
1	510	509
1	510	509
1	510	509
1	510	509
1	510	509
1	510	509
2	510	509
2	510	509
2	510	509
2	510	509
2	510	509
2	510	509
2	510	509
2	510	509
2	510	509
2	510	509
3	510	508
3	509	509
3	512	509
3	512	509
3	511	509
3	510	509
3	510	509
3	510	509
3	511	509
3	510	508
4	510	510
4	405	509
4	407	508
4	407	509
4	407	509
4	407	509
4	407	509
4	407	509
4	407	509
4	407	509
5	407	508
5	381	509
5	380	509
5	380	510
5	380	509
5	380	509
5	381	509
5	380	509
5	381	510
5	380	509
6	380	509
6	376	509
6	376	509
6	376	509
6	376	509
6	376	509
6	376	509
6	376	509
6	376	509
6	376	509
7	376	509
7	369	509
7	369	509
7	369	509
7	369	509
7	369	509
7	369	509
7	369	510
7	369	509
7	369	509
8	369	509
8	361	509
8	361	509
8	361	509
8	361	509
8	361	509
8	360	509
8	361	509
8	360	510
8	361	509
9	361	509
9	350	509
9	350	509
9	350	509
9	350	509
9	350	509
9	350	509
9	350	509
9	350	509
9	350	509
10	350	509
10	344	509
10	344	509
10	344	509
10	344	509
10	344	509
10	344	508
10	344	508
10	344	509
10	344	509
11	344	510
11	341	509
11	341	509
11	341	509
11	341	510
11	341	509
11	341	510
11	341	509
11	341	509
11	341	508
12	340	509
12	336	509
12	336	509
12	336	509
12	336	509
12	335	509
12	335	509
12	336	508
12	335	509
12	335	509
13	335	509
13	330	509
13	330	509
13	330	508
13	330	509
13	330	509
13	330	509
13	330	509
13	330	509
13	330	509
14	330	508
14	325	509
14	325	509
14	325	509
14	325	509
14	325	509
14	325	509
14	325	508
14	325	510
14	325	509
15	325	509
15	320	509
15	320	509
15	320	509
15	320	509
15	320	509
15	320	509
15	320	510
15	320	509
15	320	509
16	320	509
16	314	508
16	314	509
16	311	509
16	314	510
16	314	509
16	314	509
16	311	509
16	311	509
16	311	509
17	311	509
17	311	509
17	311	509
17	311	509
17	311	509
17	311	508
17	311	509
17	311	508
17	311	510
17	311	509
18	311	509
18	311	509
18	311	509
18	311	510
18	311	509
18	311	509
18	311	509
18	311	509
18	311	509
18	311	509
19	311	509
19	311	509
19	311	509
19	311	509
19	311	510
19	311	509
19	311	508
19	311	509
19	311	509
19	311	510
20	311	509
20	311	508
20	314	509
20	311	509
20	311	509
20	311	509
20	311	510
20	311	509
20	311	509
20	311	509
21	311	509
21	319	509
21	319	509
21	319	509
21	319	509
21	319	509
21	319	509
21	319	509
21	319	510
21	319	509
22	319	509
22	326	509
22	325	509
22	326	508
22	326	509
22	326	509
22	326	509
22	326	509
22	326	508
22	326	509
23	326	509
23	335	510
23	335	509
23	335	510
23	335	509
23	335	509
23	335	509
23	335	509
23	335	508
23	335	509
24	335	508
24	343	509
24	346	509
24	346	509
24	346	509
24	346	509
24	346	508
24	346	509
24	346	509
24	346	509
25	346	509
25	359	509
25	359	509
25	359	509
25	359	509
25	359	509
25	359	510
25	359	508
25	359	509
25	359	508
26	359	510
26	375	509
26	375	509
26	375	510
26	375	509
26	375	509
26	375	509
26	375	509
26	375	509
26	375	509
27	375	509
27	395	508
27	395	509
27	395	509
27	395	510
27	395	510
27	395	509
27	395	510
27	395	509
27	395	509
28	395	509
28	417	510
28	417	509
28	417	509
28	417	509
28	417	509
28	417	509
28	417	509
28	417	510
28	417	509
29	417	509
29	439	509
29	439	509
29	439	510
29	439	508
29	439	509
29	439	509
29	439	509
29	439	509
29	439	510
30	439	509
30	466	509
30	467	509
30	467	509
30	467	509
30	467	508
30	467	509
30	467	509
30	467	508
30	467	510
31	467	509
31	494	509
31	494	510
31	494	510
31	494	509
31	494	509
31	494	509
31	494	509
31	494	509
31	494	509
32	494	510
32	522	508
32	522	509
32	522	509
32	522	509
32	522	510
32	522	509
32	522	509
32	522	509
32	521	509
33	522	509
33	551	509
33	551	508
