V2_mean	Isense_mean
510	509
PWM	V2_read	Isense_read
0	510	509
0	510	509
0	510	509
0	510	509
0	510	509
0	510	509
0	510	509
0	510	509
1	510	510
1	510	510
1	510	509
1	510	509
1	510	509
1	510	509
1	510	509
1	510	509
1	510	508
1	510	509
2	510	509
2	510	510
2	510	509
2	510	509
2	510	509
2	510	509
2	510	510
2	510	509
2	510	509
2	510	509
3	510	509
3	519	509
3	513	509
3	510	509
3	509	509
3	509	509
3	509	509
3	509	509
3	509	509
3	509	509
4	510	509
4	562	509
4	556	509
4	555	510
4	555	508
4	554	509
4	554	509
4	554	509
4	554	509
4	554	509
5	553	509
5	554	510
5	554	509
5	553	508
5	553	510
5	553	509
5	553	509
5	553	509
5	553	509
5	553	509
6	553	510
6	557	508
6	557	510
6	557	509
6	557	509
6	557	509
6	557	509
6	557	509
6	557	510
6	557	509
7	557	509
7	564	509
7	564	509
7	564	509
7	564	510
7	564	509
7	564	509
7	564	509
7	564	508
7	564	509
8	563	509
8	579	509
8	579	509
8	579	510
8	579	509
8	579	509
8	579	510
8	579	509
8	579	509
8	579	509
9	579	509
9	597	509
9	597	509
9	597	509
9	597	509
9	597	509
9	596	509
9	597	509
9	597	509
9	597	509
10	597	509
10	610	510
10	609	509
10	609	509
10	609	509
10	609	509
10	609	509
10	609	509
10	609	509
10	609	509
11	610	509
11	608	509
11	608	509
11	608	508
11	608	509
11	608	509
11	608	509
11	608	509
11	608	510
11	608	509
12	608	509
12	615	509
12	615	509
12	616	509
12	615	509
12	615	509
12	615	509
12	615	509
12	615	509
12	615	509
13	615	510
13	624	509
13	624	509
13	624	509
13	624	509
13	624	509
13	624	509
13	624	509
13	624	509
13	624	509
14	624	509
14	633	510
14	633	509
14	633	509
14	633	509
14	633	509
14	633	508
14	633	510
14	633	509
14	633	509
15	633	509
15	645	509
15	645	509
15	645	509
15	645	509
15	645	509
15	645	509
15	645	509
15	645	509
15	645	509
16	645	509
16	659	509
16	657	509
16	659	509
16	659	509
16	659	509
16	659	508
16	659	509
16	657	509
16	657	510
17	657	508
17	673	509
17	673	509
17	673	510
17	673	509
17	673	509
17	673	509
17	673	509
17	673	509
17	673	509
18	673	509
18	693	509
18	693	510
18	693	509
18	693	510
18	693	510
18	693	509
18	693	509
18	693	509
18	693	509
19	693	510
19	713	510
19	713	509
19	713	510
19	713	509
19	713	509
19	713	509
19	713	509
19	713	509
19	713	509
20	713	509
20	732	510
20	732	510
20	732	508
20	732	509
20	732	510
20	732	509
20	729	510
20	729	509
20	732	509
21	729	509
21	748	510
21	748	510
21	748	509
21	748	509
21	748	509
21	748	509
21	748	509
21	748	509
21	748	509
22	748	509
22	764	509
22	764	509
22	764	509
22	764	509
22	764	509
22	764	509
22	764	509
22	764	509
22	764	509
23	764	509
23	777	509
23	777	509
23	777	510
23	777	509
23	777	509
23	777	509
23	777	510
23	777	509
23	777	509
24	777	509
24	788	509
24	788	509
24	788	509
24	788	509
24	788	509
24	788	509
24	788	510
24	788	509
24	788	509
25	788	509
25	796	509
25	796	509
25	796	510
25	796	509
25	796	509
25	796	510
25	796	509
25	796	510
25	796	509
26	796	509
26	802	509
26	802	509
26	802	510
26	802	510
26	802	509
26	802	509
26	802	509
26	802	510
26	802	509
27	802	510
27	804	509
27	804	509
27	804	509
27	804	509
27	804	509
27	804	509
27	804	509
27	804	509
27	804	509
28	804	510
28	804	509
28	804	509
28	804	510
28	804	510
28	804	510
28	804	509
28	804	509
28	804	509
28	804	509
29	804	509
29	800	509
29	800	509
29	800	509
29	800	509
29	800	509
29	800	510
29	800	509
29	800	509
29	800	509
30	800	509
30	792	509
30	792	509
30	792	509
30	792	509
30	792	510
30	792	510
30	792	509
30	792	509
30	792	509
31	792	510
31	780	509
31	780	509
31	780	509
31	780	509
31	780	509
31	780	509
31	780	509
31	780	508
31	780	510
32	780	509
32	768	509
32	768	509
32	768	509
32	768	509
32	768	509
32	768	509
32	767	509
32	766	509
32	767	508
33	767	509
33	750	509
33	750	510
33	750	510
33	750	509
33	750	509
33	750	509
33	750	510
33	750	509
33	750	509
34	750	509
34	730	509
34	730	509
34	730	509
34	730	509
34	730	510
34	730	509
34	730	509
34	730	509
34	730	509
35	730	510
35	708	510
35	708	509
35	708	509
35	708	509
35	708	510
35	708	510
35	708	509
35	708	509
35	708	510
36	708	509
36	684	510
36	684	509
36	684	509
36	684	509
36	684	509
36	684	509
36	684	509
36	684	509
36	684	508
37	684	509
37	658	508
37	658	509
37	658	509
37	658	509
37	658	509
37	658	509
37	658	510
37	658	509
37	658	509
38	658	509
38	632	509
38	632	509
38	632	510
38	632	509
38	632	509
38	632	509
38	632	510
38	632	509
38	632	509
39	632	509
39	604	509
39	604	510
39	604	509
39	604	509
39	604	509
39	604	510
39	604	509
39	604	509
39	604	508
40	604	509
40	574	510
40	574	509
40	574	509
40	574	510
40	574	509
40	574	509
40	574	509
40	574	509
40	574	509
41	574	509
41	545	509
41	544	509
41	544	509
41	545	509
41	544	509
41	544	509
41	544	509
41	544	509
41	545	509
42	544	509
42	516	509
42	514	509
42	514	509
42	514	509
42	514	509
42	514	509
42	514	509
42	514	509
42	514	509
43	514	509
43	484	509
43	484	509
43	484	509
43	484	509
43	484	509
43	484	509
43	484	509
43	484	509
43	484	509
44	484	510
44	456	509
44	454	509
44	454	509
44	454	509
44	454	509
44	454	509
44	454	509
44	454	509
44	454	510
45	454	509
45	424	509
45	424	509
45	424	509
45	424	509
45	424	510
45	424	509
45	424	509
45	424	509
45	424	509
46	424	509
46	394	508
46	392	510
46	392	509
46	392	509
46	392	509
46	392	509
46	392	509
46	392	509
46	392	509
47	392	510
47	364	509
47	364	509
47	364	509
47	364	510
47	364	509
47	364	509
47	364	509
47	364	509
47	364	509
48	364	509
48	334	508
48	332	509
48	332	509
48	332	510
48	332	509
48	332	509
48	332	510
48	332	509
48	332	509
49	332	509
49	304	509
49	304	509
49	304	508
49	304	509
49	304	510
49	304	510
49	304	509
49	304	509
49	304	509
50	304	509
50	276	509
50	276	509
50	276	509
50	276	509
50	276	509
50	276	509
50	276	509
50	276	510
50	276	509
51	276	509
51	248	510
51	248	509
51	248	509
51	248	509
51	248	509
51	248	509
51	248	509
51	248	509
51	248	509
52	248	509
52	222	509
52	221	509
52	220	509
52	222	509
52	220	509
52	221	509
52	220	509
52	221	508
52	220	509
53	221	509
53	197	509
53	196	509
53	196	509
53	196	509
53	196	510
53	196	509
53	196	509
53	197	508
53	196	509
54	196	508
54	174	510
54	173	510
54	173	509
54	173	509
54	173	509
54	173	509
54	173	509
54	173	509
54	173	508
55	173	509
55	152	509
55	152	509
55	152	509
55	152	508
55	152	509
55	152	510
55	152	509
55	152	510
55	152	509
56	152	509
56	132	509
56	132	510
56	132	509
56	132	509
56	132	509
56	132	509
56	132	509
56	132	508
56	132	510
57	132	509
57	116	509
57	116	509
57	115	509
57	116	509
57	116	509
57	116	509
57	116	508
57	116	510
57	116	509
58	116	509
58	101	509
58	101	509
58	101	509
58	101	509
58	101	509
58	101	509
58	100	509
58	101	509
58	100	509
59	101	509
59	90	508
59	90	509
59	90	509
59	90	509
59	90	510
59	90	509
59	90	509
59	90	509
59	90	509
60	90	509
60	84	508
60	84	509
60	84	509
60	84	509
60	84	509
60	84	509
60	84	509
60	84	509
60	84	509
61	84	509
61	82	509
61	82	509
61	82	509
61	82	509
61	82	509
61	82	509
61	82	509
61	82	509
61	82	509
62	82	509
62	86	509
62	86	509
62	86	508
62	86	509
62	86	509
62	86	509
62	86	510
62	86	509
62	86	508
63	86	509
63	95	510
63	95	509
63	95	509
63	95	509
63	95	509
63	95	509
63	95	509
63	95	509
63	95	509
64	95	509
64	112	509
64	112	509
64	112	509
64	112	509
64	112	509
64	112	509
64	112	509
64	112	509
64	112	509
65	112	509
65	136	509
65	136	509
65	136	510
65	136	509
65	136	509
65	136	509
65	136	509
65	136	509
65	136	509
66	136	508
66	168	509
66	168	509
66	168	509
66	168	509
66	168	509
66	168	509
66	168	509
66	168	509
66	168	509
67	168	509
67	209	509
67	210	509
67	209	509
67	210	509
67	210	508
67	209	509
67	209	508
67	210	509
67	209	509
68	209	509
68	260	510
68	260	509
68	260	509
68	260	509
68	260	509
68	260	509
68	260	509
68	260	510
68	260	509
69	260	509
69	319	509
69	320	509
69	320	508
69	320	509
69	320	509
69	320	509
69	320	509
69	320	509
69	320	509
70	320	508
70	390	509
70	390	509
70	390	510
70	390	509
