V2_mean	Isense_mean	dt
509	509	500
PWM	V2_read	Isense_read
0	510	510
0	510	509
0	510	509
1	510	509
1	509	510
1	509	509
1	509	509
2	510	510
2	509	509
2	509	510
2	512	509
3	510	509
3	507	509
3	508	509
3	509	510
4	510	509
4	492	509
4	494	509
4	494	509
5	494	509
5	604	509
5	605	510
5	605	510
6	607	509
6	607	509
6	607	509
6	607	509
7	607	510
7	609	510
7	609	509
7	608	509
8	608	509
8	611	509
8	611	509
8	611	510
9	611	510
9	612	510
9	612	509
9	612	510
10	612	509
10	613	509
10	610	509
10	613	510
11	613	509
11	614	510
11	614	509
11	613	509
12	613	510
12	613	509
12	614	508
13	614	509
13	609	509
13	609	509
13	609	509
14	610	509
14	602	509
14	601	510
14	601	509
15	601	509
15	592	510
15	592	509
15	592	509
16	592	509
16	582	509
16	582	509
16	582	510
17	581	509
17	571	509
17	571	509
17	570	509
18	570	510
18	558	509
18	557	509
18	558	510
19	558	509
19	545	510
19	546	509
19	547	509
20	546	509
20	533	509
20	533	509
20	533	509
21	532	509
21	519	509
21	519	510
21	520	509
22	518	509
22	504	509
22	504	510
22	505	508
23	505	509
23	491	510
23	490	509
23	491	509
24	490	509
24	475	508
24	475	509
24	475	510
25	476	509
25	460	509
25	460	509
26	460	509
26	446	509
26	445	509
26	445	509
27	445	509
27	430	510
27	430	510
27	429	509
28	429	509
28	414	509
28	414	509
28	414	509
29	414	510
29	399	509
29	399	509
29	399	509
30	399	509
30	385	509
30	385	509
30	385	510
31	385	509
31	373	509
31	372	509
31	368	509
32	371	510
32	357	509
32	359	509
32	359	508
33	359	509
33	347	509
33	347	509
33	347	509
34	347	509
34	335	509
34	335	509
34	335	510
35	337	509
35	325	510
35	325	509
35	325	509
36	326	509
36	317	509
36	317	509
36	317	509
37	317	510
37	309	510
37	309	509
37	312	509
38	308	509
38	302	509
38	302	509
39	302	509
39	297	509
39	297	509
39	297	509
40	297	509
40	294	509
40	293	509
40	293	508
41	293	510
41	291	509
41	291	510
41	291	509
42	290	510
42	290	509
42	291	509
42	291	509
43	291	509
43	292	509
43	291	509
43	292	509
44	292	509
44	295	508
44	295	509
44	296	509
45	292	509
45	299	510
45	300	509
45	300	509
46	300	509
46	307	509
46	307	509
46	307	509
47	307	509
47	315	510
47	314	509
47	315	509
48	315	510
48	325	509
48	325	509
48	324	509
49	325	509
49	337	509
49	336	509
49	336	509
50	341	509
50	350	510
50	350	510
51	351	509
51	366	509
51	366	509
51	366	510
52	366	508
52	383	509
52	383	509
52	383	509
53	383	509
53	403	510
53	402	509
53	402	509
54	402	510
54	421	509
54	423	509
54	423	509
55	423	509
55	445	509
55	446	509
55	446	509
56	446	509
56	470	510
56	469	509
56	470	509
