V2_mean	Isense_mean	dt
509	509	500	0
PWM	V2_read	Isense_read
1	510	510
2	509	509
3	510	509
4	513	510
5	618	510
6	578	510
7	584	510
8	594	510
9	616	510
10	615	509
11	630	509
12	647	509
13	666	509
14	688	509
15	708	509
16	720	510
17	728	508
18	735	510
19	744	509
20	749	510
21	752	509
22	754	509
23	754	509
24	750	510
25	744	509
26	735	509
27	728	510
28	712	509
29	696	510
30	676	510
31	652	510
32	628	509
33	601	509
34	572	509
35	542	510
36	510	510
37	476	510
38	444	510
39	412	509
40	380	509
41	346	509
42	314	509
43	284	509
44	258	509
45	226	509
46	203	509
47	182	509
48	165	510
49	151	509
50	141	509
51	135	509
52	135	509
53	143	509
54	151	510
55	167	509
56	183	508
57	215	509
58	247	509
59	286	510
60	327	510
61	375	509
62	423	509
63	471	509
64	534	510
65	590	509
66	647	509
67	707	509
68	759	509
69	815	509
70	867	509
71	915	509
72	951	509
73	987	509
74	1011	510
75	1023	509
76	1023	509
77	1015	509
78	987	509
79	951	509
80	899	510
81	835	509
82	755	510
83	675	509
84	593	509
85	507	510
86	421	509
87	339	509
88	257	510
89	181	510
90	111	509
91	45	510
92	0	509
93	0	509
94	0	509
95	0	510
96	0	509
97	0	510
98	0	510
99	0	509
100	0	510
101	0	509
102	0	509
103	0	509
104	0	509
105	0	509
106	0	510
107	0	509
108	0	510
109	0	509
110	0	509
111	0	509
112	0	509
113	0	510
114	0	509
115	0	509
116	0	509
117	0	509
118	0	509
119	0	510
120	0	510
121	0	509
122	0	509
123	0	509
124	0	509
125	0	510
126	0	510
127	0	510
128	0	509
129	0	509
130	0	510
131	0	510
132	0	509
133	0	509
134	0	510
135	0	509
136	0	510
137	0	510
138	0	511
139	0	510
140	0	511
141	0	511
142	0	510
143	0	511
144	0	511
145	0	512
146	0	511
147	0	511
148	0	512
149	0	511
150	0	513
151	0	513
152	0	513
153	0	513
154	0	514
155	0	514
156	0	514
157	0	515
158	0	515
159	0	515
160	0	515
161	0	516
162	0	516
163	0	517
164	0	518
165	0	518
166	0	516
167	0	517
168	0	519
169	0	519
170	0	519
171	0	520
172	0	520
173	0	521
174	0	522
175	0	522
176	0	522
177	0	523
178	0	522
179	0	523
180	0	523
181	0	525
182	0	525
183	0	525
184	0	525
185	0	526
186	0	527
187	0	527
188	0	528
189	0	527
190	0	529
191	0	529
192	0	529
193	0	530
194	0	530
195	14	531
196	199	531
197	387	532
198	642	533
199	1004	533
255	1023	533
255	1023	534
255	1023	535
255	1023	537
255	1023	538
255	1023	539
255	1009	540
255	988	541
255	966	542
255	946	543
255	924	543
255	904	545
255	883	544
255	862	545
255	842	546
255	822	547
255	802	548
255	782	548
255	762	548
255	743	549
255	724	549
255	706	550
255	686	551
255	669	550
255	655	551
255	634	551
255	616	551
255	599	552
255	582	552
255	566	551
255	550	552
255	534	552
255	523	552
255	519	552
255	517	552
255	507	552
255	492	552
255	477	552
255	463	552
255	450	552
255	435	552
255	421	551
255	410	552
255	397	550
255	385	551
255	373	550
255	361	550
255	357	550
255	377	549
255	414	550
255	451	549
255	484	550
255	510	549
255	525	549
255	531	549
255	520	549
255	505	549
255	490	549
255	476	550
255	462	549
255	449	549
255	435	548
255	422	549
255	411	548
255	399	549
255	387	548
255	375	547
255	383	547
255	415	547
255	453	547
255	490	546
255	519	547
255	539	547
255	551	547
255	548	547
255	535	548
255	518	548
255	504	547
255	491	548
255	477	547
255	464	547
255	451	547
255	439	547
255	426	547
255	414	546
255	403	546
255	398	546
255	416	546
255	453	546
255	490	546
255	521	545
255	547	546
255	562	546
255	570	546
255	554	547
255	540	546
255	524	546
255	510	546
255	497	546
255	483	546
255	471	546
255	458	546
255	446	546
255	433	546
255	422	546
255	411	546
255	416	545
255	446	545
255	479	544
255	516	545
255	542	545
255	563	545
255	572	545
255	569	545
255	555	545
255	540	545
255	526	546
255	512	546
255	499	546
255	486	545
255	474	545
255	461	545
255	448	546
255	437	545
255	425	545
255	416	545
255	432	544
255	465	544
255	502	544
255	534	545
255	559	545
255	574	545
255	580	544
255	568	545
255	553	545
255	539	546
255	525	545
255	511	546
255	498	545
255	485	545
255	473	545
255	460	545
255	448	545
255	436	545
255	425	544
255	424	544
255	450	544
255	484	544
255	521	544
255	548	544
255	569	544
255	580	545
255	578	545
255	564	544
255	549	545
255	535	544
255	521	544
255	507	545
255	495	545
255	481	545
255	469	545
255	457	544
255	445	544
255	434	544
255	425	545
255	438	544
255	471	544
255	508	544
255	538	544
255	564	544
255	579	544
255	585	545
255	573	545
255	559	544
255	544	545
255	530	545
255	517	545
255	504	545
255	491	544
255	478	544
255	465	544
255	454	544
255	442	544
255	430	545
255	429	544
255	453	543
255	487	544
255	524	544
255	551	545
255	572	544
255	580	544
255	582	544
255	568	544
255	553	544
255	539	545
255	526	545
255	512	545
255	499	545
255	486	544
255	473	544
255	460	545
255	449	544
255	438	545
255	428	544
255	446	544
255	478	543
255	511	544
255	541	544
255	566	544
255	580	544
255	586	544
255	574	544
255	560	545
255	546	545
255	532	545
255	519	544
255	505	544
255	492	545
255	480	545
255	467	544
255	455	544
255	443	544
255	434	544
255	430	544
255	456	544
255	490	543
255	526	543
255	552	544
255	575	545
255	585	544
255	583	544
255	570	545
255	555	545
255	541	544
255	528	544
255	513	544
255	500	545
255	488	545
255	475	545
255	463	544
255	450	544
255	439	544
255	429	544
255	440	544
255	472	544
255	507	544
255	539	543
255	564	544
255	580	544
255	588	544
255	577	544
255	562	544
255	548	545
255	534	543
255	520	544
255	507	544
255	494	545
255	481	544
255	468	544
255	457	545
255	446	544
255	434	544
255	430	544
255	454	544
255	487	543
255	525	543
255	551	544
255	574	544
255	585	544
255	584	544
255	570	545
255	555	544
255	541	545
255	528	544
255	514	544
255	501	544
255	488	545
255	476	545
255	464	544
255	451	544
255	440	543
255	430	544
255	439	544
255	471	544
255	506	544
255	539	544
255	564	544
255	580	544
255	587	544
255	578	545
255	563	544
255	548	545
255	535	544
255	521	544
255	507	544
255	494	544
255	482	544
255	470	544
255	457	544
255	446	544
255	435	544
255	432	544
255	458	544
255	490	543
255	527	543
255	551	543
255	576	544
255	585	543
255	585	544
255	570	544
255	556	544
255	542	544
255	528	544
255	514	544
255	501	544
255	487	544
255	476	545
255	463	544
255	452	544
255	440	544
255	431	543
255	441	544
255	472	544
255	508	544
255	538	543
255	566	544
255	581	544
255	588	544
255	578	544
255	564	544
255	550	545
255	536	545
255	522	544
255	509	544
255	495	544
255	483	544
255	471	544
255	458	545
255	447	544
255	435	544
255	430	544
255	456	544
255	485	544
255	522	544
255	549	542
255	575	544
255	584	544
255	585	544
255	571	545
255	556	544
255	542	544
255	529	544
255	515	545
255	502	545
255	489	544
255	476	544
255	464	544
255	453	544
255	440	544
255	431	544
255	438	543
255	469	543
255	509	543
255	536	543
255	564	544
255	580	544
255	588	544
255	579	544
255	563	544
255	550	545
255	536	544
255	522	544
255	509	544
255	496	545
255	483	544
255	471	545
255	459	544
255	447	544
255	436	544
255	429	544
255	451	543
255	484	543
255	521	543
255	548	544
255	572	544
255	584	544
255	586	544
255	572	544
255	557	544
255	547	544
255	529	544
255	516	544
255	503	544
255	490	544
255	478	545
255	465	544
255	453	545
255	441	544
255	431	544
255	438	544
-255	468	544
-254	0	542
-253	0	541
-252	0	539
-251	0	538
-250	0	536
-249	0	535
-248	0	534
-247	0	532
-246	0	530
-245	0	529
-244	0	529
-243	0	527
-242	0	526
-241	0	525
-240	0	524
-239	0	521
-238	0	520
-237	0	518
-236	0	518
-235	0	516
-234	0	515
-233	0	513
-232	0	512
-231	0	512
-230	0	510
-229	0	510
-228	0	509
-227	0	507
-226	0	507
-225	0	506
-224	0	505
-223	2	504
-222	10	504
-221	19	503
-220	28	502
-219	37	502
-218	45	501
-217	54	501
-216	63	500
-215	71	500
-214	79	499
-213	87	498
-212	94	498
-211	102	498
-210	110	497
-209	118	497
-208	125	496
-207	132	496
-206	139	496
-205	146	495
-204	153	495
-203	159	495
-202	166	494
