V2_mean	Isense_mean	dt
510	509	500	0
PWM	V2_read	Isense_read
0	511	510
0	510	510
0	510	510
0	510	510
1	510	511
1	510	510
1	510	510
1	510	510
2	510	510
2	510	510
2	509	510
2	510	509
3	509	509
3	509	509
3	509	509
3	509	510
4	510	509
4	509	510
4	510	510
4	509	509
5	510	509
5	510	510
5	510	510
5	511	510
6	510	510
6	510	510
6	510	509
6	510	509
7	511	511
7	510	510
7	510	510
7	511	509
8	511	511
8	510	510
8	511	511
8	510	510
9	510	510
9	510	510
9	510	511
9	510	509
10	510	510
10	508	510
10	510	510
10	510	510
11	509	510
11	510	510
11	509	510
11	513	511
12	510	510
12	510	510
12	510	510
13	509	510
13	510	510
13	510	510
13	510	510
14	510	510
14	511	510
14	510	509
14	510	510
15	510	511
15	511	510
15	510	510
15	510	510
16	510	510
16	510	510
16	510	509
16	510	510
17	511	509
17	511	510
17	510	509
17	510	510
18	510	510
18	510	510
18	510	510
18	510	510
19	509	510
19	509	510
19	509	510
19	509	510
20	509	510
20	510	510
20	510	510
20	510	510
21	511	510
21	510	510
21	510	510
21	510	510
22	507	510
22	510	510
22	511	510
22	510	509
23	510	510
23	510	510
23	511	510
23	510	510
24	511	510
24	511	510
24	510	510
24	510	510
25	510	510
25	510	510
25	510	510
26	511	509
26	510	510
26	509	510
26	510	509
27	510	510
27	510	510
27	510	510
27	510	510
28	510	509
28	509	510
28	510	510
28	509	510
29	510	509
29	510	510
29	510	510
29	509	511
30	510	510
30	510	510
30	510	510
30	511	510
31	511	510
31	511	510
31	511	510
31	511	509
32	511	510
32	519	510
32	519	510
32	511	510
33	510	510
33	511	510
33	519	510
33	511	510
34	511	510
34	511	510
34	510	510
34	510	509
35	520	510
35	520	510
35	510	510
35	510	510
36	510	509
36	521	510
36	510	510
36	510	509
37	510	510
37	510	510
37	522	510
37	522	510
38	510	510
38	511	510
38	510	510
39	511	510
39	511	510
39	511	510
39	511	510
40	511	509
40	512	509
40	526	510
40	527	509
41	527	510
41	512	509
41	513	510
41	514	510
42	514	510
42	515	510
42	517	510
42	518	510
43	518	510
43	538	511
43	540	512
43	524	511
44	525	509
44	529	510
44	551	513
44	535	510
45	536	510
45	541	510
45	543	511
45	546	510
46	580	514
46	553	510
46	556	510
46	558	510
47	558	510
47	562	510
47	565	510
47	565	510
48	564	511
48	566	511
48	614	516
48	570	510
49	568	510
49	570	510
49	573	510
49	589	510
50	589	517
50	572	510
50	578	510
51	577	510
51	581	511
51	558	524
51	586	511
52	583	511
52	584	511
52	587	511
52	551	523
53	582	510
53	583	510
53	584	511
53	583	511
54	578	511
54	617	526
54	581	511
54	579	511
55	575	511
55	575	511
55	577	511
55	574	511
56	569	511
56	569	511
56	569	511
56	566	511
57	561	511
57	562	511
57	567	511
57	569	511
58	766	511
58	828	520
58	571	511
58	569	511
59	564	511
59	555	511
59	542	511
59	532	511
60	523	511
60	440	510
60	408	512
60	437	515
61	404	512
61	402	511
61	405	511
61	414	511
62	433	514
62	643	514
62	423	511
62	431	511
63	443	514
63	428	511
63	455	514
64	441	511
64	452	513
64	452	511
64	444	511
65	460	513
65	502	581
65	455	511
65	452	510
66	459	510
66	470	514
66	453	511
66	464	511
67	469	510
67	477	514
67	462	511
67	472	510
68	475	510
68	484	514
68	469	510
68	477	510
69	482	510
69	489	514
69	477	510
69	482	510
70	488	510
70	493	514
70	483	511
70	488	511
71	491	510
71	496	514
71	487	511
71	491	510
72	494	511
72	498	513
72	490	511
72	490	510
73	497	510
73	501	513
73	493	510
73	496	510
74	498	510
74	504	513
74	494	510
74	498	510
75	500	510
75	504	513
75	496	510
75	499	511
76	502	510
76	505	513
76	498	509
77	500	510
77	504	510
77	507	513
77	499	510
78	501	510
78	504	510
78	508	513
78	501	510
79	503	510
79	506	510
79	510	513
79	502	511
80	504	509
80	507	510
80	511	513
80	503	510
81	505	510
81	508	509
81	512	514
81	504	510
82	506	510
82	509	511
82	513	513
82	504	509
83	506	510
83	510	509
83	514	514
83	505	510
84	507	510
84	510	509
84	514	513
84	506	510
85	508	510
85	511	509
85	515	513
85	506	510
86	508	510
86	511	509
86	515	514
86	507	510
87	509	511
87	512	510
87	516	514
87	507	510
88	510	510
88	512	510
88	516	513
88	508	510
89	510	510
89	513	509
89	517	513
90	509	510
90	511	509
90	513	510
90	517	513
91	509	510
91	511	509
91	514	509
91	517	514
92	509	510
92	512	510
92	514	509
92	518	514
93	509	510
93	511	510
93	514	510
93	518	514
94	510	509
94	512	509
94	514	510
94	518	514
95	510	510
95	513	510
95	515	510
95	519	515
96	511	509
96	513	510
96	516	509
96	519	514
97	511	511
97	513	509
97	515	510
97	520	514
98	512	509
98	514	509
98	516	509
98	520	514
99	512	509
99	513	509
99	517	509
99	522	514
100	511	510
100	514	508
100	517	509
100	524	514
101	513	510
101	514	509
101	517	509
102	521	513
102	513	510
102	515	509
102	517	509
103	521	514
103	514	509
103	516	509
103	518	508
104	522	514
104	514	510
104	515	509
104	518	508
105	522	514
105	515	509
105	516	510
105	522	508
106	523	514
106	515	510
106	516	509
106	519	509
107	523	514
107	516	509
107	517	509
107	519	509
108	524	514
108	516	509
108	517	509
108	520	508
109	523	515
109	516	509
109	518	509
109	520	509
110	524	514
110	516	509
110	518	509
110	521	508
111	524	514
111	518	509
111	518	509
111	521	509
112	525	514
112	518	509
112	519	509
112	522	508
113	526	514
113	520	509
113	520	509
113	522	509
114	526	514
114	527	510
114	521	509
115	524	508
115	527	514
115	531	509
115	521	508
116	524	508
116	527	513
116	551	509
116	518	508
117	524	508
117	528	514
117	555	509
117	521	508
118	524	508
118	529	514
118	547	509
118	522	508
119	524	507
119	529	514
119	550	509
119	523	508
120	525	507
120	530	514
120	542	509
120	523	508
121	526	507
121	531	513
121	559	509
121	524	509
122	526	507
122	532	513
122	547	508
122	524	509
123	527	507
123	533	514
123	542	509
123	525	507
124	528	507
124	533	513
124	547	509
124	525	507
125	528	507
125	532	513
125	545	509
125	523	507
126	528	506
126	533	513
126	534	509
126	526	507
127	528	505
127	533	512
127	529	508
128	526	508
128	530	505
128	534	512
128	535	509
129	527	507
129	530	505
129	535	512
129	531	509
130	527	507
130	531	505
130	536	511
130	531	509
131	528	507
131	531	504
131	536	512
131	527	507
132	528	507
132	531	504
132	536	511
132	523	508
133	528	507
133	531	504
133	536	511
133	513	508
134	528	506
134	530	504
134	535	511
134	530	508
135	527	506
135	530	504
135	534	509
135	495	507
136	526	506
136	528	503
136	533	509
136	494	507
137	526	506
137	527	504
137	532	510
137	483	508
138	526	505
138	528	501
138	533	511
138	321	506
139	524	505
139	527	501
139	533	510
139	317	507
140	523	504
140	526	501
140	532	510
141	314	507
141	521	505
141	526	500
141	531	509
142	307	506
142	521	504
142	525	501
142	530	508
143	301	506
143	520	503
143	522	501
143	528	509
144	289	507
144	518	504
144	521	499
144	518	505
145	518	506
145	516	506
145	517	506
145	516	507
146	515	508
146	514	508
146	515	508
146	513	508
147	514	509
147	415	510
147	514	589
147	519	512
148	517	502
148	515	504
148	514	503
148	514	505
149	514	505
149	512	506
149	512	506
149	513	507
150	511	507
150	510	508
150	510	508
150	511	509
151	408	510
151	509	592
151	515	511
151	513	502
152	513	503
152	510	503
152	510	504
153	510	505
153	508	506
153	507	506
153	507	507
154	508	507
154	506	509
154	506	508
154	507	508
155	395	510
155	504	588
155	508	510
155	507	502
156	507	502
156	505	503
156	505	504
156	504	504
157	504	506
157	503	506
157	503	507
157	502	507
158	503	508
158	502	508
158	503	508
158	395	510
159	499	593
159	503	510
159	503	501
159	502	503
160	502	503
160	502	504
160	501	504
160	501	506
161	501	506
161	501	507
161	501	507
161	501	507
162	501	508
162	579	508
162	397	516
162	499	597
163	504	511
163	503	500
163	502	502
163	502	502
164	501	503
164	502	504
164	502	505
164	503	506
165	502	506
165	502	507
165	502	507
166	502	508
166	594	508
166	391	532
166	500	596
167	500	510
167	496	500
167	496	499
167	496	502
168	497	503
168	496	505
168	497	505
168	497	505
169	497	507
169	495	506
169	501	507
169	499	508
170	613	509
170	406	528
170	492	595
170	492	509
171	494	500
171	490	501
171	491	502
171	493	503
172	494	504
172	494	504
172	494	505
172	495	506
173	496	507
173	498	508
173	498	508
173	628	509
174	420	526
174	492	597
174	489	507
174	484	500
175	496	502
175	489	502
175	490	501
175	484	504
176	496	506
176	492	506
176	493	505
176	489	507
177	496	508
177	493	509
177	636	507
177	467	511
178	444	600
178	415	507
178	411	500
179	440	503
179	446	504
179	448	504
179	450	505
180	474	506
180	477	507
180	478	508
180	490	508
181	489	508
181	479	509
181	611	509
181	476	514
182	346	615
182	382	504
182	380	500
182	390	501
183	385	502
183	420	499
183	413	503
183	428	502
184	444	508
184	480	508
184	421	572
184	440	502
185	448	504
185	481	506
185	487	508
185	476	509
186	457	500
186	486	503
186	490	506
186	494	507
187	499	508
187	486	547
187	495	500
187	496	504
188	497	506
188	501	508
188	432	507
188	489	541
189	492	590
189	503	502
189	501	504
189	502	502
190	502	506
190	502	508
190	500	533
190	503	502
191	502	506
191	502	507
191	490	576
192	504	502
192	503	506
192	502	506
192	445	602
193	504	501
193	503	504
193	504	507
193	466	508
194	504	501
194	502	505
194	502	507
194	504	509
195	505	500
195	503	505
195	503	507
195	502	509
196	506	500
196	504	500
196	503	506
196	502	508
197	505	506
197	505	503
197	503	507
197	502	508
198	504	520
198	506	502
198	503	506
198	503	508
199	470	525
199	506	499
199	503	504
199	504	506
200	502	508
200	502	509
200	505	503
200	503	506
201	502	509
201	503	506
201	503	504
201	502	507
202	502	509
202	505	501
202	503	505
202	502	508
203	497	540
203	504	503
203	503	506
204	502	508
204	507	500
204	504	505
204	503	508
205	476	612
205	506	500
205	504	505
205	502	508
206	497	558
206	505	500
206	503	505
206	502	508
207	503	515
207	504	504
207	503	507
207	502	509
208	506	500
208	504	506
208	503	508
208	481	615
209	505	502
209	503	507
209	502	507
209	493	570
210	505	503
210	503	507
210	502	508
210	505	517
211	505	502
211	503	507
211	502	509
211	505	507
212	504	503
212	503	507
212	433	509
212	508	499
213	504	505
213	502	508
213	502	507
213	504	507
214	503	508
214	501	509
214	507	500
214	504	506
215	503	508
215	468	595
215	505	504
215	503	507
216	503	509
216	507	502
216	504	504
217	503	505
217	503	509
217	505	501
217	503	507
218	503	509
218	507	500
218	504	506
218	503	508
219	502	525
219	505	504
219	503	507
219	502	508
220	506	500
220	504	505
220	503	508
220	451	561
221	506	503
221	504	508
221	503	509
221	507	500
222	504	506
222	502	509
222	503	509
222	504	504
223	503	508
223	467	519
223	505	498
223	504	505
224	503	508
224	505	511
224	505	504
224	504	508
225	503	510
225	507	500
225	504	506
225	503	509
226	491	598
226	505	503
226	503	507
226	503	509
227	507	501
227	503	506
227	503	509
227	415	508
228	505	498
228	503	506
228	503	508
228	504	512
229	504	505
229	504	508
229	503	510
230	506	501
230	504	506
230	503	509
230	487	602
231	505	504
231	503	508
231	503	509
231	508	500
232	504	505
232	504	509
232	543	510
232	506	500
233	503	507
233	503	509
233	504	514
233	506	504
234	504	508
234	503	510
234	506	501
234	504	506
235	503	509
235	483	612
235	505	504
235	503	507
236	503	510
236	507	500
236	504	506
236	503	509
237	395	510
237	505	500
237	504	506
237	504	508
238	506	514
238	505	504
238	504	508
238	504	509
239	507	501
239	504	506
239	503	508
239	480	617
240	505	504
240	504	507
240	503	509
240	508	501
241	505	506
241	503	509
241	425	519
241	506	504
242	504	507
242	504	510
242	507	502
243	505	506
243	504	509
243	486	518
243	506	504
244	504	507
244	503	510
244	507	501
244	501	506
245	503	508
245	461	578
245	505	503
245	504	508
246	504	509
246	507	500
246	504	506
246	504	508
247	504	530
247	505	504
247	505	508
247	502	510
248	506	502
248	504	505
248	504	509
248	507	502
249	505	505
249	504	509
249	533	509
249	507	502
250	505	507
250	503	509
250	508	501
250	504	506
251	503	509
251	497	571
251	505	505
251	504	508
252	504	510
252	509	500
252	507	506
252	503	509
253	501	562
253	505	503
253	504	508
253	504	509
254	507	501
254	505	506
254	504	510
255	499	559
255	505	505
255	504	507
255	422	530
254	506	505
254	504	509
254	506	515
254	505	505
253	504	509
253	506	518
253	505	506
253	506	509
252	504	525
252	506	505
252	504	509
252	508	500
251	507	507
251	504	509
251	510	500
251	505	507
250	506	509
250	508	499
250	504	508
250	504	510
249	506	496
249	504	507
249	174	510
249	506	498
248	508	508
248	160	510
248	506	505
248	504	509
247	411	510
247	506	503
247	507	508
247	504	527
246	505	505
246	504	508
246	507	509
246	505	506
245	505	508
245	508	503
245	505	507
245	504	509
244	507	500
244	505	507
244	504	510
244	507	501
243	505	507
243	504	509
243	507	503
242	504	509
242	504	510
242	506	504
242	504	507
241	481	610
241	504	503
241	504	507
241	481	609
240	505	502
240	504	509
240	507	503
240	505	505
239	504	509
239	507	503
239	505	502
239	504	507
238	503	508
238	508	501
238	507	507
238	504	510
237	507	504
237	505	508
237	504	509
237	507	503
236	505	508
236	504	510
236	506	501
236	505	506
235	504	509
235	435	537
235	506	504
235	504	507
234	504	510
234	507	502
234	505	502
