V2_mean	Isense_mean	dt	V2Ref_set
510	510	500	102
PWM	V2_read	Isense_read
0	510	510
0	510	511
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	509	511
0	509	510
0	510	511
0	510	510
0	510	510
0	510	511
0	510	510
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	509	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	511
0	510	511
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	511
0	510	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	512	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	511	510
0	510	511
0	509	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	511	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	511
0	510	511
0	510	510
0	510	511
0	510	510
0	509	510
0	510	510
0	510	510
0	509	511
0	510	511
0	510	510
0	510	511
0	510	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	509	510
0	511	511
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	510
0	510	511
0	510	510
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	509	510
0	510	511
0	510	510
0	510	510
0	510	511
0	510	511
0	510	511
0	509	511
0	511	510
42	510	510
46	517	511
48	540	510
49	594	510
48	643	509
46	670	510
43	677	511
42	652	511
42	612	510
44	569	510
47	528	511
46	623	514
48	567	513
51	546	510
51	598	511
50	644	511
48	667	511
47	643	514
46	625	511
48	568	511
46	678	514
50	505	511
52	541	511
54	585	511
45	848	514
43	661	511
45	555	511
50	474	510
54	507	510
56	579	511
47	848	511
44	686	511
46	575	511
50	486	511
55	496	511
45	864	516
47	576	510
51	497	511
55	516	511
45	867	516
46	583	510
49	552	513
54	471	511
46	819	517
49	540	511
53	513	511
46	787	515
49	529	510
53	507	511
47	786	514
50	539	510
42	811	515
49	430	510
56	436	510
47	858	513
47	599	510
50	523	510
54	521	511
46	831	514
48	565	510
45	695	515
51	425	511
57	473	511
49	818	514
48	649	511
46	671	515
50	493	510
44	775	515
51	415	510
57	463	511
49	818	516
48	645	510
49	584	511
52	535	511
55	535	511
46	874	515
46	584	511
49	549	513
55	455	511
58	539	512
57	629	511
54	693	511
53	635	514
51	673	510
51	623	510
53	561	511
46	792	514
51	466	511
58	433	511
51	814	513
52	568	511
46	780	514
52	456	511
47	744	516
54	426	511
47	808	514
52	479	511
57	481	512
58	573	512
52	776	514
54	570	515
54	612	511
45	842	511
49	520	511
56	432	511
59	507	512
65	456	508
75	348	511
83	406	511
90	435	510
89	649	511
95	435	511
103	422	510
109	438	522
116	459	511
122	437	510
127	490	518
140	266	509
147	456	512
154	435	511
161	435	558
167	456	508
175	419	500
181	455	510
188	451	510
195	448	511
201	468	508
208	455	509
214	454	512
221	458	508
255	456	511
255	458	511
255	460	508
255	463	503
255	470	512
255	461	512
255	463	509
255	466	505
255	449	532
255	465	511
255	466	508
255	469	502
