V2_mean	Isense_mean	dt	V2Ref_set
509	509	500	31
PWM	V2_read	Isense_read
0	510	510
0	509	510
0	510	510
0	509	510
0	510	510
0	509	510
0	510	509
0	509	510
0	510	510
0	509	509
0	510	510
0	509	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	511	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	509	510
0	510	510
0	509	510
0	510	510
0	509	510
0	509	510
0	509	510
0	510	510
0	509	510
0	509	510
0	509	510
0	510	510
0	509	511
0	510	510
0	509	510
0	510	510
0	510	510
0	510	510
0	510	509
0	510	510
0	510	510
0	511	509
0	510	509
0	510	510
0	510	509
0	511	510
0	510	510
0	510	510
0	510	510
0	510	509
0	510	509
0	510	510
0	510	510
0	510	509
0	509	510
0	510	510
0	509	510
0	510	510
0	509	510
0	510	510
0	509	510
0	510	510
0	509	510
0	510	510
0	509	510
0	510	509
0	509	510
0	509	510
0	509	509
0	510	510
0	510	510
0	510	509
0	510	509
0	510	510
0	510	510
0	511	510
0	510	509
0	511	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	509
0	510	509
0	509	510
0	510	510
0	509	509
0	510	510
0	509	509
0	510	510
0	509	510
0	509	510
0	509	510
0	510	510
0	509	510
0	510	509
0	510	510
0	510	510
0	510	509
0	510	510
0	510	510
0	510	510
0	510	509
0	510	509
0	510	510
0	511	509
0	510	510
0	510	510
0	510	510
0	510	510
0	510	509
0	510	510
0	510	509
0	510	510
0	510	510
0	510	510
0	510	509
0	510	510
0	510	509
0	510	510
0	509	510
0	510	510
0	509	510
0	510	510
0	509	509
0	509	510
0	509	509
0	510	509
0	509	510
0	510	510
0	509	510
0	510	510
0	509	510
0	510	510
0	510	510
0	510	510
0	510	510
0	511	510
0	510	510
0	510	510
0	510	509
0	511	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	509
0	510	510
0	510	510
0	510	509
0	510	510
0	510	510
0	509	509
0	510	509
0	509	510
0	509	510
0	509	510
0	510	510
0	509	511
0	509	510
0	509	510
0	510	510
0	509	510
0	510	510
0	509	510
0	510	510
0	509	510
0	510	510
0	510	510
0	510	510
0	510	510
0	511	510
0	510	510
0	510	510
0	510	511
0	511	510
0	510	510
0	510	510
0	510	509
0	510	509
0	510	510
0	510	510
0	510	510
0	510	510
0	510	509
0	510	510
0	510	509
0	510	509
0	509	510
43	510	510
47	510	511
52	511	510
57	515	511
59	533	513
58	556	509
59	535	509
59	553	506
57	553	509
59	533	509
59	551	509
58	550	510
57	549	509
56	549	510
56	543	512
56	546	510
55	547	510
55	546	538
54	544	510
54	545	505
54	537	513
54	542	506
55	540	510
56	534	513
56	538	510
57	537	510
61	517	510
62	533	509
64	535	509
66	531	509
67	535	510
69	535	517
70	534	509
72	533	509
75	525	515
77	535	508
79	537	508
81	531	508
83	536	508
85	536	523
87	535	507
89	536	507
91	532	522
93	536	506
95	537	506
100	516	505
104	526	505
109	520	506
115	516	504
123	496	519
130	513	509
137	512	508
145	509	508
154	503	497
163	502	509
173	503	508
184	500	500
195	498	508
209	479	501
221	497	508
255	496	500
255	495	501
255	494	540
255	492	501
255	494	500
255	495	504
255	486	511
255	495	501
255	496	500
255	497	523
255	496	501
255	496	501
255	498	503
255	498	618
255	497	501
255	498	501
255	499	510
255	497	502
255	499	501
255	499	503
255	500	621
255	498	501
255	499	501
255	500	509
255	499	501
255	499	501
255	500	502
255	501	546
255	500	501
255	500	500
255	502	510
255	500	501
255	501	501
255	502	502
255	503	550
255	501	501
255	503	500
255	503	513
255	486	502
255	502	500
255	503	500
255	505	524
255	503	501
255	504	500
255	505	503
255	504	610
255	504	500
255	504	501
255	506	512
255	503	501
255	505	501
255	505	501
255	506	560
255	504	501
255	505	501
255	506	516
255	503	501
255	504	500
255	505	501
255	506	533
255	504	501
255	505	501
255	507	510
255	501	513
255	505	501
255	506	501
255	508	522
255	505	501
255	507	500
255	507	507
255	507	600
255	506	500
255	507	500
255	508	513
255	506	501
255	507	500
255	508	502
255	508	581
255	507	500
255	507	500
255	509	517
255	506	501
255	507	500
255	507	501
255	508	528
255	506	500
255	507	499
255	507	502
255	508	615
255	507	499
255	507	500
255	508	511
255	507	501
255	507	500
255	509	503
255	509	577
255	508	501
255	508	500
255	509	507
255	506	501
255	508	500
255	509	501
255	510	536
255	508	501
255	509	500
255	510	504
255	500	512
255	508	500
255	509	501
255	510	524
255	508	501
255	509	500
255	509	502
255	509	608
255	508	500
255	509	500
255	510	512
255	507	501
255	509	500
255	508	501
255	509	578
255	508	501
255	509	500
255	509	508
255	508	501
255	509	500
255	510	502
255	510	615
255	509	500
255	509	500
255	511	512
255	509	501
255	510	501
255	510	503
255	508	524
255	509	501
255	510	501
255	511	561
255	509	501
255	510	500
255	511	506
255	508	501
255	509	500
255	509	500
255	511	538
255	508	501
255	509	500
255	509	502
255	510	604
255	508	501
255	510	500
255	510	536
255	509	500
255	509	501
-255	510	503
-255	504	511
-255	496	517
-255	484	459
-255	493	520
-255	493	521
-255	494	521
-255	493	520
-255	495	518
-255	495	506
-255	494	412
-255	495	509
-255	496	510
-255	496	509
-255	496	510
-255	496	511
-255	496	516
-255	487	449
-255	498	519
-255	498	519
-255	499	520
-255	499	519
-255	500	514
-255	501	478
-255	486	510
-255	499	510
-255	499	510
-255	499	510
-255	500	510
-255	500	511
-255	501	601
-255	466	516
-255	502	520
-255	502	520
-255	503	519
-255	503	517
-255	503	503
-255	498	398
-255	504	510
-255	503	509
-255	504	510
-255	504	510
-255	504	510
-255	504	511
-255	505	576
-255	460	509
-255	505	519
-255	505	519
-255	506	519
-255	506	517
-255	507	508
-255	506	436
-255	497	490
-255	505	510
-255	506	510
-255	505	511
-255	506	510
-255	505	510
-255	505	611
-255	495	519
-255	507	519
-255	507	519
-255	507	519
-255	507	518
-255	508	513
-255	506	415
-255	508	511
-255	507	510
-255	508	510
-255	508	511
-255	508	510
-255	508	510
-255	509	528
-255	473	397
-255	469	518
-255	509	518
-216	509	519
-126	507	442
41	503	510
134	491	510
255	513	510
255	524	501
255	527	499
255	527	526
255	525	500
255	525	499
255	526	503
255	517	511
255	524	499
255	524	499
255	525	522
255	523	499
255	523	499
255	523	502
255	523	602
255	522	499
255	523	500
255	523	514
255	521	500
255	521	499
255	522	502
255	522	617
255	521	500
255	521	500
255	522	511
255	519	500
255	520	499
255	520	501
255	520	570
255	518	499
255	519	499
255	519	506
255	517	500
255	518	499
255	518	500
255	519	531
255	517	500
255	517	499
255	517	503
255	516	569
255	516	499
255	517	499
255	518	513
255	516	500
255	517	499
255	517	501
255	518	568
255	516	499
255	517	500
255	517	506
255	505	502
255	515	500
255	516	500
255	516	525
255	516	500
255	515	500
255	516	501
255	516	618
255	515	500
255	515	500
255	516	510
255	513	500
255	514	500
-255	514	500
-255	508	511
-255	500	535
-255	460	404
-255	496	520
