V2_mean	Isense_mean	dt	V2Ref_set
509	510	500	102
PWM	V2_read	Isense_read
0	510	511
0	510	511
0	510	511
0	510	510
0	510	511
0	510	510
0	510	511
0	510	511
0	510	511
0	510	511
0	510	511
0	510	511
0	510	510
0	509	511
0	510	511
0	510	511
0	510	511
0	509	511
0	510	510
0	509	511
0	510	510
0	510	511
0	510	510
0	509	510
0	510	510
0	509	511
0	510	511
0	509	511
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	511	511
0	510	510
0	510	510
0	510	510
0	511	511
0	510	510
0	510	511
0	510	511
0	510	511
0	510	510
0	510	511
0	509	511
0	510	510
0	509	510
0	510	510
0	509	510
0	510	511
0	509	511
0	510	510
0	509	511
0	510	510
0	509	511
0	510	511
0	509	509
0	510	511
0	509	510
0	510	510
0	509	511
0	510	511
0	510	511
0	510	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	510
0	511	511
0	510	511
0	510	511
0	510	510
0	511	510
0	510	510
0	510	511
0	510	510
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	509	511
0	510	510
0	510	510
0	510	510
0	509	510
0	509	510
0	509	510
0	510	511
0	509	510
0	510	510
0	509	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	509	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	511
0	510	511
0	511	511
0	510	511
0	510	510
0	510	510
0	510	511
0	510	511
0	510	511
0	510	511
0	510	510
0	509	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	511
0	509	511
0	510	510
0	509	511
0	510	511
0	509	511
0	510	511
0	509	511
0	510	511
0	509	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	512
0	510	510
0	510	510
0	510	511
0	510	510
0	510	511
0	510	510
0	510	511
0	510	510
0	510	511
0	510	511
0	510	510
0	509	511
0	510	511
0	509	511
0	510	511
0	509	510
0	510	511
0	510	510
0	510	511
0	509	510
0	510	511
0	509	510
0	510	510
0	510	511
0	510	511
0	509	510
0	510	511
0	510	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	511
0	510	510
0	510	511
0	510	510
0	510	511
0	510	510
0	510	511
0	510	511
0	509	511
0	510	511
0	510	510
0	510	511
0	509	511
0	510	510
0	509	511
0	510	511
0	509	510
0	510	511
0	510	511
0	510	511
0	510	510
53	510	511
67	526	510
79	537	510
92	540	511
106	542	511
120	537	511
136	535	511
153	529	510
172	527	511
191	522	511
212	522	510
255	467	510
255	512	510
255	517	511
255	517	511
255	515	511
255	515	510
255	514	511
255	514	512
255	512	511
255	513	510
255	511	512
255	517	511
255	515	510
255	515	511
255	514	510
255	514	510
255	513	511
255	513	511
255	512	511
255	512	511
255	516	511
255	516	511
255	515	511
255	515	511
255	513	511
255	513	511
255	512	511
255	512	511
255	511	511
255	516	511
255	515	510
255	514	511
255	513	511
255	513	511
255	512	510
255	512	510
255	510	511
255	510	511
255	517	511
255	514	511
255	513	511
255	513	511
255	512	511
255	512	511
255	511	510
255	511	511
255	510	511
255	523	511
255	516	510
255	514	511
255	513	511
255	513	511
255	511	510
255	511	511
255	511	511
255	511	511
255	510	511
255	510	511
255	514	511
255	514	511
255	512	511
255	512	511
255	511	511
255	511	511
255	510	511
255	510	511
255	510	511
255	512	511
255	513	511
255	513	511
255	512	511
255	512	511
255	511	510
255	511	511
255	509	511
255	509	510
255	508	511
