V2_mean	Isense_mean	dt	V2Ref_set
509	510	500	102
PWM	V2_read	Isense_read
0	510	511
0	509	510
0	510	510
0	509	511
0	510	511
0	510	510
0	510	510
0	510	511
0	510	510
0	509	511
0	511	511
0	510	511
0	511	510
0	510	510
0	510	511
0	510	510
0	511	511
0	510	510
0	510	510
0	510	511
0	510	511
0	509	510
0	510	511
0	509	511
0	510	511
0	509	511
0	510	510
0	509	511
0	510	510
0	509	510
0	510	511
0	509	510
0	510	510
0	509	511
0	510	510
0	509	510
0	510	510
0	509	511
0	510	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	511
0	510	511
0	510	510
0	511	510
0	510	510
0	511	511
0	510	511
0	510	511
0	510	510
0	511	510
0	510	511
0	510	511
0	510	510
0	510	510
0	509	510
0	510	510
0	509	510
0	509	511
0	509	510
0	510	511
0	509	510
0	510	511
0	509	510
0	510	511
0	509	510
0	510	510
0	509	511
0	510	510
0	509	511
0	510	511
0	509	510
0	510	511
0	510	511
0	511	510
0	510	510
0	510	510
0	510	511
0	511	511
0	510	510
0	511	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	511
0	509	511
0	510	511
0	509	511
0	510	511
0	509	510
0	510	510
0	509	510
0	509	511
0	509	510
0	510	510
0	509	511
0	510	510
0	509	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	511	511
0	510	510
0	511	511
0	510	511
0	510	511
0	510	511
0	511	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	509	511
0	510	510
0	509	510
0	509	511
0	509	510
0	510	510
0	509	510
0	509	511
0	509	511
0	510	510
0	509	510
0	510	511
0	509	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	511
0	510	510
0	510	510
0	510	510
0	511	510
0	510	510
0	511	510
0	510	510
0	511	511
0	510	510
0	510	511
0	510	511
0	510	511
0	510	511
0	510	510
0	509	510
0	510	510
0	509	510
0	510	510
0	510	510
0	510	510
0	509	510
0	509	511
0	509	511
0	510	511
0	509	510
0	510	510
0	510	511
0	510	510
0	509	511
0	510	511
0	510	510
0	510	511
0	510	511
0	511	510
0	510	511
0	510	510
0	510	510
0	511	510
0	511	510
0	510	510
0	510	511
0	510	511
0	510	511
0	511	511
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	511
0	509	511
0	510	510
0	509	511
0	510	510
0	509	511
0	510	511
0	509	511
53	510	511
69	510	511
83	527	510
101	508	511
117	533	510
127	568	511
134	596	511
137	623	511
139	634	511
139	638	511
136	663	511
135	639	512
137	626	512
137	631	512
142	601	512
139	652	512
143	607	513
140	651	512
139	635	512
144	592	513
146	614	512
142	656	513
145	603	513
143	641	513
142	630	513
147	588	514
145	641	514
148	601	514
145	642	514
149	595	515
146	641	515
150	595	515
147	640	515
150	595	515
153	605	515
149	647	515
152	599	515
149	635	516
153	592	515
151	634	516
150	626	516
150	617	515
155	583	516
152	632	516
156	593	517
154	632	516
157	597	516
154	632	518
158	592	517
156	630	517
159	597	518
157	630	518
160	597	518
158	629	518
160	597	518
159	624	518
162	597	518
160	628	518
163	598	519
161	628	519
164	598	519
162	628	519
161	620	519
165	589	519
163	625	519
166	596	519
167	608	520
165	633	520
167	601	521
165	625	520
168	595	520
166	625	520
169	596	521
168	627	521
166	622	521
170	586	521
169	627	521
170	605	521
168	625	521
172	591	522
169	633	522
169	612	522
173	589	522
170	631	523
173	597	522
171	627	522
173	601	522
171	623	522
174	595	523
173	624	523
174	605	523
173	621	523
175	599	523
174	622	524
176	601	524
174	624	524
176	598	524
176	619	524
177	607	525
175	624	525
176	608	524
178	596	525
177	622	525
179	602	525
177	624	525
180	597	526
178	626	526
180	600	526
179	621	526
180	602	526
181	606	526
180	623	526
181	604	527
181	617	527
182	606	527
181	620	527
183	601	527
181	622	527
184	598	527
182	624	527
184	602	528
183	619	528
184	603	528
184	615	527
185	605	529
185	618	528
