V2_mean	Isense_mean	dt	V2Ref_set
509	510	500	102
PWM	V2_read	Isense_read
0	510	511
0	509	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	511	510
0	510	511
0	510	511
0	510	510
0	511	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	510
0	510	510
0	509	511
0	510	510
0	509	511
0	510	511
0	510	511
0	510	511
0	509	510
0	509	511
0	509	511
0	510	511
0	509	511
0	510	511
0	509	511
0	510	510
0	509	510
0	510	511
0	509	511
0	510	511
0	510	511
0	511	510
0	510	511
0	510	510
0	510	511
0	511	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	511
0	510	511
0	510	510
0	510	510
0	510	511
0	510	511
0	510	511
0	510	511
0	509	510
0	509	510
0	509	511
0	510	510
0	509	510
0	510	511
0	509	510
0	510	510
0	509	510
0	510	511
0	510	511
0	510	510
0	509	510
0	510	510
0	510	511
0	510	511
0	510	511
0	511	511
0	510	511
0	510	510
0	510	511
0	511	510
0	510	511
0	511	511
0	510	511
0	511	510
0	510	510
0	510	511
0	510	509
0	510	511
0	510	511
0	510	511
0	509	511
0	510	511
0	509	510
0	510	510
0	509	510
0	510	511
0	510	511
0	510	510
0	509	510
0	510	510
0	509	510
0	510	511
0	509	511
0	510	510
0	509	511
0	510	510
0	510	511
0	510	510
0	510	511
0	511	511
0	510	511
0	510	510
0	510	510
0	511	510
0	510	511
0	511	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	509	510
0	510	511
0	509	510
0	510	510
0	509	511
0	509	510
0	509	511
0	510	511
0	509	511
0	510	511
0	509	511
0	510	510
0	509	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	511	511
0	510	510
0	511	510
0	510	511
0	510	509
0	510	510
0	511	511
0	510	511
0	510	511
0	510	510
0	510	511
0	510	510
0	510	511
0	510	511
0	510	511
0	510	511
0	510	511
0	509	511
0	510	511
0	509	510
0	509	511
0	509	510
0	510	510
0	509	510
0	510	510
0	509	510
0	510	511
0	509	510
0	510	510
0	509	509
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	511	510
0	510	511
0	510	510
0	510	510
0	511	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	511
0	510	510
0	510	510
0	510	511
0	509	511
0	510	510
0	509	511
0	510	511
0	509	511
0	509	511
0	509	510
0	510	510
0	509	510
53	509	511
68	520	511
83	523	510
100	509	511
116	532	511
127	566	511
133	599	510
137	619	510
138	635	511
139	635	511
137	652	511
137	635	511
138	629	511
139	629	512
140	631	512
142	615	512
141	640	513
141	632	512
141	627	512
145	605	513
146	621	513
143	644	513
143	626	514
144	619	513
147	603	514
146	632	514
145	628	515
149	600	514
147	633	514
147	624	515
150	602	514
149	628	515
151	608	515
149	629	515
152	603	516
151	627	516
153	607	515
151	627	516
151	618	516
154	597	516
154	622	515
153	622	517
156	600	517
155	622	516
157	606	516
156	622	517
158	606	516
158	620	517
157	620	517
159	601	518
159	617	518
161	606	518
160	621	517
161	607	518
161	616	518
163	605	518
163	620	519
163	612	518
164	609	519
165	611	519
164	620	518
165	607	519
166	614	520
166	611	519
166	615	520
168	606	520
167	621	520
168	609	520
168	616	520
168	610	520
169	611	520
169	611	521
169	613	521
171	606	521
170	623	521
170	611	521
170	610	521
172	603	521
172	618	522
171	618	522
172	606	522
173	610	522
173	614	522
173	614	522
174	609	523
173	615	523
175	604	523
175	616	523
174	615	523
175	606	524
177	607	524
175	622	524
176	606	524
177	608	524
177	613	524
178	613	524
177	617	524
178	606	525
178	611	525
179	607	526
179	614	525
180	610	525
180	616	524
180	613	525
180	612	526
181	607	526
181	612	526
181	610	526
182	608	526
183	611	526
182	618	527
183	607	527
183	611	527
184	609	527
184	614	527
184	612	527
185	610	528
185	613	528
185	612	527
185	609	527
187	606	528
186	617	528
186	611	529
188	606	528
187	618	529
187	610	529
188	606	529
189	610	528
188	621	529
189	607	529
188	614	530
190	601	530
189	621	530
190	610	530
189	617	531
191	603	530
190	619	530
190	612	531
190	608	531
192	604	531
191	619	531
191	611	531
192	607	532
192	611	532
193	610	532
192	617	531
193	607	532
193	611	532
194	610	532
193	618	532
194	607	532
194	612	533
194	611	532
195	608	533
194	616	532
196	604	533
195	619	533
195	611	534
196	606	533
196	613	533
196	612	534
197	609	534
196	615	534
197	605	535
198	610	535
197	616	535
198	608	535
198	611	535
199	610	534
198	615	535
200	606	536
199	615	535
200	609	536
200	611	536
201	610	536
200	614	537
201	606	536
202	608	537
202	613	537
203	610	536
203	614	537
203	611	537
203	609	537
204	606	537
205	610	538
205	613	538
205	612	537
206	608	538
206	611	538
207	608	538
208	611	539
208	612	539
208	613	538
208	610	540
209	608	539
210	608	540
210	612	539
211	609	540
212	611	539
212	612	540
212	610	540
213	607	540
214	609	541
215	610	540
215	613	540
216	611	541
216	611	541
217	608	540
218	609	542
219	609	541
220	608	541
221	607	541
222	606	542
255	604	542
255	604	542
255	601	542
255	599	542
255	596	542
255	594	542
255	592	542
255	590	542
255	588	542
255	586	543
255	584	543
255	583	543
255	580	544
255	579	544
255	578	544
255	577	543
255	574	543
255	574	544
255	572	544
255	571	543
255	577	544
255	578	544
255	576	543
255	575	544
255	574	543
255	573	544
255	571	544
255	569	544
255	568	544
255	567	544
255	565	544
255	564	544
255	562	545
255	561	545
255	559	545
255	559	545
255	557	545
