V2_mean	Isense_mean	dt	V2Ref_set
510	510	500	102
PWM	V2_read	Isense_read
0	510	510
0	509	511
0	510	511
0	509	510
0	510	510
0	509	510
0	510	510
0	509	511
0	510	511
0	509	511
0	510	511
0	509	510
0	510	511
0	509	511
0	510	511
0	510	510
0	510	511
0	510	511
0	510	511
0	510	511
0	510	510
0	510	510
0	511	511
0	510	510
0	510	511
0	510	510
0	510	511
0	510	510
0	511	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	511
0	509	510
0	510	511
0	509	510
0	510	510
0	509	510
0	510	511
0	509	510
0	510	510
0	509	510
0	510	510
0	509	511
0	510	511
0	509	510
0	510	510
0	509	511
0	510	511
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	511	510
0	510	510
0	511	510
0	510	510
0	510	510
0	510	511
0	511	510
0	510	511
0	511	510
0	510	510
0	510	511
0	510	510
0	510	510
0	509	510
0	510	511
0	509	511
0	510	511
0	509	511
0	510	511
0	509	510
0	509	511
0	509	510
0	510	510
0	509	511
0	510	511
0	509	510
0	510	511
0	509	511
0	510	511
0	509	510
0	510	510
0	510	511
0	511	510
0	509	511
0	510	511
0	510	510
0	511	510
0	510	510
0	510	510
0	510	510
0	511	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	511
0	510	510
0	509	510
0	509	510
0	509	510
0	510	511
0	509	510
0	509	510
0	509	510
0	509	510
0	509	511
0	510	510
0	509	511
0	510	510
0	509	510
0	510	511
0	510	510
0	510	511
0	510	511
0	511	510
0	510	511
0	510	510
0	510	511
0	511	511
0	510	510
0	510	511
0	510	511
0	511	510
0	510	510
0	510	511
0	510	511
0	510	511
0	509	511
0	510	510
0	510	510
0	510	511
0	509	511
0	509	511
0	509	511
0	510	511
0	510	511
0	510	510
0	509	511
0	510	510
0	509	510
0	510	511
0	509	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	511	510
0	510	510
0	510	510
0	510	511
0	511	511
0	510	510
0	510	511
0	510	511
0	511	510
0	510	511
0	510	511
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	509	510
0	509	511
0	509	510
0	510	511
0	509	511
0	509	511
0	509	511
0	510	510
0	509	511
0	510	511
0	510	511
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	511
0	510	510
0	510	511
0	510	511
0	510	510
0	511	510
0	510	511
0	511	510
0	510	511
53	510	511
67	523	511
82	525	511
97	527	511
111	542	511
122	569	511
128	599	511
132	617	511
133	633	510
138	608	511
136	656	511
135	642	511
140	604	511
142	623	512
142	634	512
139	659	512
142	610	512
140	647	511
139	635	513
144	596	513
146	618	513
142	657	513
140	635	513
146	587	513
143	643	513
147	600	514
144	644	514
148	599	514
145	642	514
145	628	514
149	592	514
147	638	515
150	600	515
147	638	515
151	594	515
149	636	515
152	599	515
149	637	516
153	593	516
151	634	515
150	627	516
150	617	516
155	585	516
153	633	516
155	600	517
154	630	516
153	625	517
157	589	517
155	631	517
158	597	517
156	631	517
159	597	517
157	631	518
160	597	517
158	630	519
157	621	517
161	587	519
160	625	519
163	600	518
160	631	519
163	596	519
162	624	519
165	600	520
163	630	519
165	601	519
167	606	520
164	636	519
166	599	520
165	623	520
168	598	520
166	631	520
168	600	520
166	626	521
167	612	521
170	596	520
167	633	521
170	596	521
168	627	521
171	597	521
169	631	522
171	600	521
169	626	521
170	611	522
173	596	522
170	632	522
173	595	522
171	626	522
174	598	523
172	629	523
174	601	523
172	624	523
175	595	523
174	625	523
175	604	523
174	622	523
176	599	524
175	623	523
177	602	524
175	626	524
178	597	524
176	627	525
178	601	525
177	623	524
179	603	526
177	626	525
179	598	525
179	620	525
180	608	526
178	625	526
181	596	526
179	624	527
181	599	526
181	619	527
182	608	527
180	623	526
183	596	526
182	623	526
183	607	527
182	620	528
184	601	528
183	622	527
185	604	527
183	624	528
185	600	528
185	619	528
185	609	528
185	616	528
187	604	529
185	625	528
187	601	529
186	619	529
188	603	529
187	622	528
188	606	530
187	618	529
189	601	530
189	617	529
188	624	529
189	602	530
189	616	530
190	608	530
188	624	531
191	593	531
190	625	531
190	613	530
190	615	531
191	606	531
191	617	531
191	611	531
191	613	532
192	605	532
192	615	532
193	609	532
192	620	532
193	605	532
193	614	533
194	609	533
193	621	533
194	605	533
194	615	534
195	610	533
193	622	534
196	596	533
194	624	535
196	603	534
195	620	534
196	608	534
196	616	534
196	612	534
196	612	535
197	606	535
197	615	535
198	611	535
197	619	536
198	607	536
198	613	536
198	609	535
199	609	536
200	611	536
199	619	536
200	609	536
200	611	537
200	613	536
201	607	537
201	614	537
202	610	537
201	616	537
203	605	537
203	616	537
203	613	537
203	613	538
204	607	538
204	612	538
205	608	539
205	613	539
206	609	538
206	614	539
207	610	540
207	614	539
207	612	540
208	608	539
209	611	539
209	613	540
210	611	539
210	612	540
211	611	540
211	611	540
212	610	540
213	610	541
213	612	540
214	610	541
214	612	540
215	610	541
216	611	541
216	613	541
217	610	541
218	611	543
219	610	542
219	610	542
221	607	542
222	607	542
255	605	543
255	605	542
255	602	542
255	601	543
255	598	542
255	596	543
255	594	543
255	592	543
255	590	543
255	588	543
255	586	543
255	584	544
255	582	544
255	581	544
255	578	543
255	578	544
255	576	544
255	575	543
255	573	544
255	572	544
255	570	545
255	569	544
255	567	544
255	566	544
255	565	544
255	564	544
255	562	544
255	561	544
255	559	545
255	559	544
255	557	544
255	556	545
255	554	545
255	554	546
255	552	545
255	552	545
255	549	545
255	549	545
255	547	545
255	547	545
255	546	545
255	545	545
255	544	546
255	544	546
255	543	546
255	543	546
255	541	546
255	541	545
255	540	546
255	540	545
255	539	546
255	538	545
255	537	546
255	537	546
255	536	547
255	536	546
255	535	546
255	534	546
255	534	546
255	533	547
255	532	547
255	532	546
255	531	546
255	531	546
255	529	546
255	529	546
255	528	546
255	528	546
255	527	546
255	528	547
255	526	546
255	526	546
255	526	546
255	525	547
255	525	547
255	525	546
255	524	546
255	524	546
255	523	546
255	524	547
255	523	547
255	523	546
255	523	546
255	523	546
255	522	547
255	522	547
255	521	547
255	521	547
255	521	547
255	521	547
255	520	547
255	520	546
255	519	546
255	519	546
255	519	546
255	519	547
255	518	547
255	518	547
255	517	547
255	517	547
255	516	547
255	517	546
255	516	546
255	516	546
255	516	546
255	516	547
255	516	547
255	516	547
255	515	548
255	515	547
255	515	547
255	515	547
255	515	547
255	515	547
255	514	546
255	514	547
255	514	547
255	514	547
255	514	546
255	514	547
255	513	546
255	513	546
255	513	547
255	513	547
255	512	547
255	513	547
255	512	547
255	512	547
-255	512	547
-255	0	546
-255	0	544
-255	0	542
-255	0	540
-255	0	538
-255	0	537
-255	0	536
-255	0	534
-255	0	533
-255	0	531
-255	0	529
-255	0	529
-255	0	527
-255	0	526
-255	0	525
-255	0	524
-255	0	523
-255	0	521
-255	0	520
-255	0	519
-255	0	519
-255	0	516
-255	0	515
-192	0	515
200	0	514
255	858	514
255	1023	515
255	1023	516
255	1023	516
255	1023	518
255	1023	517
255	1023	518
255	1023	519
255	1023	520
255	1019	520
255	1006	521
255	995	522
255	983	523
255	972	523
255	960	524
255	951	524
255	939	525
255	930	525
255	919	526
255	910	526
255	899	527
255	891	527
255	881	528
255	873	528
255	863	529
255	856	529
255	846	530
255	839	529
255	831	530
255	823	530
255	815	531
255	808	531
255	800	532
255	793	532
255	786	533
255	780	533
255	772	534
255	767	534
255	760	534
255	754	534
255	748	535
255	742	535
255	736	535
255	731	536
255	725	535
255	720	536
255	714	536
255	710	537
255	705	537
-255	700	537
-255	0	536
-255	0	534
-255	0	532
-255	0	532
-255	0	530
-255	0	528
-255	0	527
-255	0	526
-255	0	525
-255	0	524
-255	0	523
-255	0	522
-255	0	520
-255	0	519
-255	0	518
-255	0	517
-255	0	515
-255	0	514
-255	0	514
-255	0	512
-255	0	512
-255	0	511
149	0	511
255	990	511
255	1023	511
255	1023	512
255	1023	513
255	1023	514
255	1023	515
255	1023	516
255	1023	516
255	1023	517
255	1023	518
255	1023	518
255	1023	519
255	1023	520
255	1023	521
255	1011	521
255	998	522
255	987	522
255	975	523
255	964	523
255	953	524
255	943	524
255	931	525
255	922	525
255	911	526
255	902	526
255	892	528
255	884	528
255	874	527
255	865	529
255	856	529
255	848	529
255	840	530
255	832	530
255	824	531
255	817	531
255	809	532
255	802	532
255	794	533
255	788	532
255	781	533
255	774	534
255	767	533
255	761	534
255	754	534
255	749	535
255	742	535
255	737	535
255	731	536
-255	727	536
-255	0	535
-255	0	533
-255	0	531
-255	0	530
-255	0	528
-255	0	527
-255	0	526
-255	0	525
-255	0	523
-255	0	523
-255	0	522
-255	0	521
-255	0	519
-255	0	518
-255	0	516
-255	0	516
-255	0	515
-255	0	513
-255	0	513
-255	0	512
-255	0	511
-255	0	511
103	0	509
255	1015	510
255	1023	510
255	1023	512
255	1023	512
255	1023	514
255	1023	514
255	1023	515
255	1023	516
255	1023	517
255	1023	517
255	1023	518
255	1023	518
255	1023	520
255	1023	520
255	1019	522
255	1006	522
255	995	523
255	982	522
255	972	523
255	960	524
255	950	524
255	938	524
255	929	525
255	918	526
255	909	527
255	899	527
255	890	527
255	880	528
255	872	528
255	863	529
255	855	529
255	846	530
255	839	530
255	830	530
255	822	530
255	814	531
255	807	532
255	799	532
255	792	532
255	785	533
255	778	533
255	771	534
255	765	533
255	757	535
255	752	534
255	745	534
255	740	534
255	734	535
255	729	536
-255	723	535
-255	0	535
-255	0	533
-255	0	531
-255	0	530
-255	0	529
-255	0	528
-255	0	526
-255	0	525
-255	0	524
-255	0	523
-255	0	522
-255	0	520
-255	0	520
-255	0	518
-255	0	517
-255	0	516
-255	0	514
-255	0	514
-255	0	513
-255	0	512
-255	0	511
-255	0	510
-58	0	509
255	777	510
255	1023	511
255	1023	512
255	1023	511
255	1023	513
255	1023	514
255	1023	515
255	1023	516
255	1023	515
255	1023	516
255	1023	518
255	1023	518
255	1023	519
255	1023	521
255	1023	520
255	1011	522
255	999	522
255	988	523
255	976	523
255	966	523
255	954	524
255	944	524
255	933	524
255	923	525
255	912	526
255	903	526
255	893	526
255	884	527
255	874	528
255	866	529
255	857	529
255	849	530
255	840	531
255	832	531
255	824	531
255	817	531
255	809	532
255	802	531
255	794	532
255	788	532
255	781	533
255	774	533
255	767	534
255	762	534
255	755	534
255	749	534
255	742	534
255	737	536
255	731	535
255	725	535
255	719	535
-255	715	536
-255	0	535
-255	0	533
-255	0	532
-255	0	530
-255	0	529
-255	0	528
-255	0	527
-255	0	525
-255	0	525
-255	0	523
-255	0	521
-255	0	521
-255	0	519
-255	0	518
-255	0	517
-255	0	516
-255	0	515
-255	0	514
-255	0	513
-255	0	512
-255	0	512
-255	0	511
-79	0	510
255	611	510
255	1023	511
255	1023	511
255	1023	512
255	1023	512
255	1023	513
255	1023	514
255	1023	516
255	1023	516
255	1023	517
255	1023	518
255	1023	518
255	1023	519
255	1023	520
255	1023	521
255	1011	521
255	1000	522
255	987	522
255	976	522
255	964	524
255	954	524
255	942	525
255	933	525
255	922	525
255	913	526
255	902	527
255	894	528
255	884	527
255	876	528
255	866	529
255	858	528
255	849	529
255	842	529
255	833	530
255	826	531
255	817	531
