V2_mean	Isense_mean	dt	V2Ref_set
510	509	500	102
PWM	V2_read	Isense_read
0	510	509
0	509	510
0	510	510
0	509	510
0	509	509
0	509	509
0	509	509
0	510	509
0	509	510
0	509	509
0	509	510
0	509	509
0	509	510
0	509	509
0	510	509
0	510	510
0	510	510
0	510	509
0	510	510
0	510	510
0	510	509
0	510	509
0	510	510
0	510	510
0	510	510
0	511	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	509	510
0	510	510
0	510	509
0	509	510
0	509	510
0	510	510
0	509	510
0	509	510
0	509	510
0	509	510
0	509	510
0	509	510
0	509	510
0	509	510
0	509	510
0	509	510
0	509	510
0	509	510
0	510	510
0	510	510
0	510	509
0	510	510
0	510	510
0	510	509
0	510	510
0	510	510
0	509	510
0	510	509
0	510	509
0	510	510
0	510	509
0	510	510
0	510	510
0	510	510
0	510	510
0	510	509
0	509	509
0	509	510
0	509	510
0	509	510
0	510	509
0	509	510
0	509	510
0	508	510
0	509	510
0	509	509
0	509	510
0	509	510
0	509	509
0	509	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	509
0	510	510
0	510	510
0	510	510
0	510	510
0	510	509
0	510	510
0	510	510
0	510	509
0	510	510
0	510	510
0	510	510
0	510	510
0	510	509
0	510	510
0	510	510
0	510	509
0	510	509
0	509	510
0	509	509
0	510	510
0	509	510
0	509	509
0	509	509
0	509	510
0	509	509
0	509	510
0	509	510
0	509	510
0	509	510
0	509	509
0	510	509
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	509
0	510	510
0	510	509
0	510	509
0	510	509
0	510	509
0	510	510
0	510	510
0	510	509
0	510	510
0	510	510
0	510	510
0	509	510
0	509	510
0	509	510
0	510	510
0	509	510
0	509	509
0	509	510
0	510	509
0	509	510
0	509	510
0	509	510
0	509	510
0	509	510
0	509	510
0	509	509
0	509	510
0	510	510
0	510	509
0	510	510
0	510	509
0	510	510
0	509	510
0	510	509
0	510	510
0	510	509
0	511	509
0	510	510
0	510	510
0	510	509
0	510	509
0	510	509
0	510	510
0	510	509
0	510	510
0	510	510
0	509	510
0	509	510
0	509	510
0	510	510
0	509	510
0	509	510
0	509	510
0	509	509
0	509	509
0	509	510
0	510	510
0	509	510
0	509	510
0	509	509
0	509	510
0	510	510
0	510	510
0	510	510
0	510	509
0	510	509
0	510	509
0	510	510
0	510	509
0	510	510
0	510	510
0	510	510
0	510	509
0	510	510
0	510	510
0	510	510
0	510	510
50	510	509
63	520	510
79	516	510
98	525	510
119	545	509
136	598	510
148	659	511
152	713	510
152	731	510
148	724	511
142	698	511
137	659	511
134	619	512
134	594	511
135	587	512
136	590	512
138	594	511
140	604	513
141	613	512
141	618	512
142	615	512
142	618	512
142	615	513
143	612	513
143	614	513
143	612	514
144	609	513
146	592	513
149	600	514
148	632	514
148	627	514
147	622	514
147	615	514
147	610	515
147	607	514
148	605	515
149	606	515
150	609	514
150	612	516
151	611	515
152	612	515
152	615	515
153	613	515
153	615	516
153	613	516
155	595	516
156	615	516
157	618	516
156	621	516
157	614	516
157	614	517
157	613	516
157	609	517
160	594	517
160	616	517
160	616	517
161	613	517
162	613	517
162	615	518
162	613	518
163	610	518
164	612	519
164	614	517
164	612	519
165	609	518
166	611	519
166	614	519
167	612	519
167	615	520
167	613	519
168	605	520
169	613	520
169	618	520
169	617	521
169	614	520
169	610	521
170	608	521
170	613	520
171	611	521
171	616	520
171	614	520
171	611	522
171	608	521
172	605	521
173	609	522
174	614	522
174	618	522
174	617	522
174	614	522
174	610	523
175	607	523
175	611	522
176	610	523
176	614	523
177	612	523
177	616	523
177	615	524
177	612	524
177	607	524
178	606	523
179	610	525
179	616	524
180	614	525
180	618	525
179	616	525
180	606	525
181	609	525
181	614	525
181	613	526
182	609	525
182	613	525
182	611	526
183	609	526
183	613	526
184	612	527
184	615	526
184	614	527
185	611	527
185	615	527
185	613	527
185	610	527
186	608	527
186	612	527
187	610	527
187	614	527
187	613	527
188	610	528
188	613	528
188	613	528
189	610	529
189	618	529
189	617	529
