V2_mean	Isense_mean	dt
510	510	500
PWM	V2_read	Isense_read	e
0	509	509	1
0	509	510	1
0	509	511	1
0	510	510	0
0	509	510	1
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	511	0
0	510	509	0
0	510	510	0
0	509	511	1
0	510	510	0
0	510	511	0
0	510	510	0
0	510	510	0
0	510	510	0
0	509	510	1
0	510	510	0
0	509	510	1
0	509	511	1
0	509	510	1
0	509	509	1
0	509	510	1
0	509	511	1
0	509	510	1
0	509	509	1
0	509	510	1
0	509	510	1
0	509	509	1
0	509	510	1
0	509	511	1
0	509	510	1
0	510	510	0
0	509	510	1
0	510	510	0
0	510	509	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	511	0
0	510	511	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	509	510	1
0	510	510	0
0	510	509	0
0	509	511	1
0	510	510	0
0	509	510	1
0	509	510	1
0	509	511	1
0	509	510	1
0	509	509	1
0	509	510	1
0	509	510	1
0	509	510	1
0	509	510	1
0	509	510	1
0	509	510	1
0	510	510	0
0	510	510	0
0	510	511	0
0	510	510	0
0	510	510	0
0	510	511	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	511	0
0	510	510	0
0	509	510	1
0	510	510	0
0	509	510	1
0	509	511	1
0	509	511	1
0	509	511	1
0	509	509	1
0	509	510	1
0	509	510	1
0	509	511	1
0	509	510	1
0	509	510	1
0	509	510	1
0	510	511	0
0	510	510	0
0	510	511	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	509	0
0	510	510	0
0	510	511	0
0	510	509	0
0	510	510	0
0	510	510	0
0	510	511	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	509	511	1
0	510	510	0
0	509	510	1
0	509	511	1
0	509	510	1
0	509	510	1
0	509	511	1
0	510	510	0
0	509	510	1
0	509	510	1
0	509	510	1
0	509	510	1
0	510	509	0
0	509	510	1
0	509	510	1
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	509	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	509	510	1
0	509	510	1
0	509	510	1
0	509	510	1
0	509	510	1
0	510	510	0
0	509	510	1
0	509	510	1
0	509	510	1
0	509	510	1
0	509	510	1
0	509	511	1
0	509	510	1
0	510	510	0
0	509	510	1
0	510	510	0
0	510	509	0
0	510	509	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	511	0
0	510	510	0
0	510	509	0
0	510	510	0
0	509	510	1
0	510	511	0
0	509	510	1
0	509	510	1
0	510	510	0
0	509	510	1
0	509	510	1
0	509	511	1
0	509	510	1
0	509	511	1
0	509	510	1
0	509	510	1
0	509	510	1
0	509	510	1
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	510	0
0	510	511	0
0	510	511	0
0	510	511	0
0	510	510	0
0	510	509	0
0	510	510	0
0	510	511	0
0	510	510	0
0	510	510	0
0	509	510	1
0	510	510	0
0	509	510	1
0	510	510	0
0	509	510	1
0	509	510	1
0	509	510	1
0	509	510	1
0	509	511	1
0	509	510	1
0	509	510	1
0	509	511	1
0	509	510	1
0	509	510	1
0	510	510	0
