V2_mean	Isense_mean	dt
509	509	500
PWM	V2_read	Isense_read	e
0	510	509	-1
0	510	509	-1
0	509	510	0
0	510	509	-1
0	510	510	-1
0	509	510	0
0	509	510	0
0	509	509	0
0	509	510	0
0	509	509	0
0	510	509	-1
0	509	509	0
0	509	509	0
0	510	510	-1
0	509	509	0
0	509	510	0
0	509	509	0
0	509	509	0
0	510	509	-1
0	509	510	0
0	510	509	-1
0	510	509	-1
0	510	510	-1
0	509	509	0
0	509	509	0
0	509	510	0
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	509	509	0
0	509	510	0
0	510	509	-1
0	510	509	-1
0	509	510	0
0	510	509	-1
0	510	510	-1
0	509	509	0
0	509	510	0
0	510	509	-1
0	510	509	-1
0	510	510	-1
0	509	510	0
0	509	509	0
0	509	510	0
0	509	509	0
0	510	509	-1
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	509	510	0
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	509	510	0
0	510	509	-1
0	510	509	-1
0	509	509	0
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	509	510	0
0	509	509	0
0	510	510	-1
0	510	509	-1
0	509	509	0
0	509	510	0
0	510	510	-1
0	509	510	0
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	509	510	0
0	510	510	-1
0	509	509	0
0	510	509	-1
0	509	509	0
0	509	509	0
0	510	510	-1
0	510	510	-1
0	509	510	0
0	509	509	0
0	510	510	-1
0	510	509	-1
0	509	510	0
0	510	510	-1
0	510	509	-1
0	510	509	-1
0	510	509	-1
0	510	509	-1
0	510	509	-1
0	509	509	0
0	510	509	-1
0	510	510	-1
0	509	510	0
0	509	509	0
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	509	510	0
0	509	509	0
0	509	509	0
0	509	510	0
0	509	509	0
0	510	509	-1
0	509	509	0
0	509	509	0
0	509	509	0
0	510	509	-1
0	509	510	0
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	509	509	0
0	510	509	-1
0	510	509	-1
0	510	509	-1
0	510	509	-1
0	510	510	-1
0	509	509	0
0	510	510	-1
0	509	509	0
0	510	509	-1
0	510	509	-1
0	509	510	0
0	510	510	-1
0	509	509	0
0	509	509	0
0	509	509	0
0	510	510	-1
0	509	510	0
0	509	509	0
0	509	509	0
0	509	510	0
0	509	510	0
0	509	510	0
0	509	510	0
0	510	509	-1
0	510	510	-1
0	509	510	0
0	509	509	0
0	510	509	-1
0	510	509	-1
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	509	509	0
0	510	509	-1
0	509	509	0
0	510	509	-1
0	509	510	0
0	510	509	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	510	509	-1
0	510	509	-1
0	509	510	0
0	509	509	0
0	509	509	0
0	509	510	0
0	510	510	-1
0	509	510	0
0	509	510	0
0	509	509	0
0	509	510	0
0	509	510	0
0	509	509	0
0	509	509	0
0	510	509	-1
0	509	510	0
