V2_mean	Isense_mean	dt
509	509	500
PWM	V2_read	Isense_read	e
0	509	509	0
0	509	509	0
0	509	509	0
0	509	510	0
0	509	510	0
0	509	510	0
0	509	510	0
0	509	509	0
0	509	510	0
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	509	-1
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	509	509	0
0	509	509	0
0	509	509	0
0	509	509	0
0	509	510	0
0	509	509	0
0	509	509	0
0	509	510	0
0	509	510	0
0	509	509	0
0	509	510	0
0	509	510	0
0	510	509	-1
0	509	510	0
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	509	510	0
0	510	510	-1
0	509	510	0
0	509	510	0
0	509	510	0
0	509	510	0
0	509	510	0
0	509	510	0
0	509	510	0
0	509	510	0
0	509	509	0
0	509	510	0
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	509	509	0
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	509	-1
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	509	510	0
0	510	509	-1
0	510	510	-1
0	509	510	0
0	509	509	0
0	509	509	0
0	509	510	0
0	509	510	0
0	509	510	0
0	510	510	-1
0	509	509	0
0	509	509	0
0	509	509	0
0	509	510	0
0	509	510	0
0	509	510	0
0	509	509	0
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	511	510	-2
0	510	510	-1
0	510	509	-1
0	510	509	-1
0	510	509	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	509	509	0
0	510	510	-1
0	509	510	0
0	509	510	0
0	509	510	0
0	509	510	0
0	510	510	-1
0	509	509	0
0	510	509	-1
0	510	510	-1
0	509	510	0
0	509	509	0
0	509	510	0
0	509	509	0
0	509	510	0
0	510	509	-1
0	509	510	0
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	509	509	0
0	509	509	0
0	510	510	-1
0	509	510	0
0	509	509	0
0	509	510	0
0	509	510	0
0	509	510	0
0	509	510	0
0	509	510	0
0	509	509	0
0	509	510	0
0	509	510	0
0	509	509	0
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	511	-1
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	509	509	0
0	510	510	-1
0	509	509	0
0	510	509	-1
0	509	510	0
0	509	509	0
0	509	510	0
0	509	510	0
0	509	510	0
0	510	510	-1
0	509	509	0
0	509	510	0
0	509	510	0
0	509	510	0
0	510	510	-1
0	509	509	0
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	510	509	-1
0	511	511	-2
0	510	509	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	509	510	0
0	510	510	-1
0	509	510	0
0	509	509	0
0	509	510	0
0	509	511	0
0	510	510	-1
0	509	510	0
0	509	510	0
0	509	510	0
0	509	509	0
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	510	509	-1
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	509	510	0
0	509	509	0
0	509	509	0
0	509	510	0
0	509	510	0
0	509	509	0
0	509	510	0
0	509	510	0
0	509	510	0
0	509	510	0
0	509	510	0
0	509	510	0
0	510	509	-1
0	509	510	0
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	509	510	0
0	511	510	-2
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	509	510	0
0	510	510	-1
0	509	509	0
0	509	509	0
0	509	509	0
0	509	509	0
0	509	510	0
0	510	510	-1
0	509	510	0
0	509	510	0
0	509	510	0
0	509	510	0
0	509	509	0
0	509	510	0
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
