V2_mean	Isense_mean	dt
509	509	500
PWM	V2_read	Isense_read	e
0	509	509	0
0	510	509	-1
0	510	509	-1
0	509	509	0
0	509	509	0
0	510	510	-1
0	509	509	0
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	509	510	0
0	509	510	0
0	510	509	-1
0	509	509	0
0	509	509	0
0	509	510	0
0	509	509	0
0	509	509	0
0	509	509	0
0	509	510	0
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	509	510	0
0	510	509	-1
0	510	510	-1
0	510	508	-1
0	510	510	-1
0	509	509	0
0	509	509	0
0	509	510	0
0	509	510	0
0	510	510	-1
0	510	509	-1
0	509	510	0
0	509	509	0
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	509	510	0
0	509	509	0
0	510	509	-1
0	510	509	-1
0	510	510	-1
0	509	509	0
0	510	508	-1
0	510	510	-1
0	510	509	-1
0	509	509	0
0	510	509	-1
0	509	509	0
0	510	509	-1
0	510	509	-1
0	510	509	-1
0	509	510	0
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	509	510	0
0	509	510	0
0	509	510	0
0	509	509	0
0	510	510	-1
0	510	509	-1
0	509	509	0
0	509	510	0
0	510	509	-1
0	509	509	0
0	509	510	0
0	509	510	0
0	509	509	0
0	510	510	-1
0	509	509	0
0	510	509	-1
0	509	510	0
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	509	510	0
0	509	509	0
0	509	509	0
0	509	510	0
0	510	509	-1
0	510	509	-1
0	510	510	-1
0	509	509	0
0	509	509	0
0	509	510	0
0	509	509	0
0	510	510	-1
0	510	509	-1
0	509	509	0
0	510	510	-1
0	510	509	-1
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	510	509	-1
0	510	509	-1
0	509	509	0
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	509	510	0
0	510	510	-1
0	509	509	0
0	510	510	-1
0	510	509	-1
0	509	509	0
0	509	510	0
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	509	509	0
0	510	510	-1
0	509	509	0
0	509	510	0
0	510	509	-1
0	509	510	0
0	510	510	-1
0	509	509	0
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	509	509	0
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	509	-1
0	509	510	0
0	510	509	-1
0	509	509	0
0	510	510	-1
0	509	509	0
0	510	509	-1
0	509	509	0
0	510	510	-1
0	509	510	0
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	510	510	-1
0	509	509	0
0	509	509	0
0	509	510	0
0	509	509	0
0	509	510	0
0	510	510	-1
0	510	509	-1
0	510	509	-1
0	509	509	0
0	510	509	-1
0	510	509	-1
0	510	509	-1
0	510	509	-1
0	510	510	-1
0	510	510	-1
0	510	509	-1
0	510	509	-1
0	510	510	-1
0	510	509	-1
0	510	510	-1
0	509	509	0
0	510	509	-1
0	510	509	-1
0	510	509	-1
0	509	509	0
0	510	509	-1
0	509	510	0
0	510	509	-1
0	509	510	0
0	509	509	0
143	510	510	101
-122	711	510	-100
255	139	510	472
125	1023	510	-412
130	640	511	-29
138	581	511	30
134	620	512	-9
136	603	510	8
137	605	511	6
138	607	511	4
138	609	512	2
139	605	511	6
140	606	512	5
140	607	511	4
142	604	512	7
144	598	512	13
143	615	512	-4
146	598	513	13
146	609	513	2
145	614	512	-3
148	598	513	13
148	608	514	3
147	613	514	-2
148	604	514	7
150	604	514	7
150	610	514	1
150	608	514	3
151	604	514	7
152	605	514	6
153	607	515	4
153	609	515	2
155	602	515	9
154	612	515	-1
157	601	515	10
155	615	516	-4
157	604	516	7
157	608	516	3
158	606	517	5
158	608	517	3
160	605	517	6
159	611	517	0
162	601	517	10
161	612	518	-1
162	605	517	6
162	609	518	2
164	603	518	8
163	613	518	-2
164	605	518	6
166	603	518	8
165	614	518	-3
166	606	519	5
167	605	519	6
167	611	519	0
168	606	519	5
167	612	519	-1
170	600	520	11
168	618	519	-7
170	604	520	7
169	613	520	-2
170	604	521	7
171	607	521	4
170	613	521	-2
172	602	521	9
172	612	522	-1
172	611	521	0
172	608	521	3
174	603	521	8
173	614	522	-3
174	606	522	5
175	608	522	3
174	613	523	-2
176	603	522	8
175	613	523	-2
177	604	523	7
176	614	522	-3
177	605	522	6
177	608	523	3
178	606	524	5
179	609	524	2
178	614	524	-3
179	605	524	6
180	606	525	5
180	612	524	-1
180	609	525	2
181	606	525	5
181	609	524	2
182	609	525	2
181	611	526	0
184	601	525	10
182	619	526	-8
183	604	526	7
184	607	526	4
