V2_mean	Isense_mean	dt	V2Ref_set
509	509	500	102
PWM	V2_read	Isense_read
115	509	510
115	559	510
115	544	509
115	538	510
115	533	510
115	531	510
115	528	509
115	527	510
115	525	509
115	525	510
115	523	509
115	523	510
115	522	510
115	522	510
115	521	510
115	521	510
115	520	510
115	520	510
115	519	509
115	520	509
115	519	510
115	519	510
115	519	510
115	519	509
115	518	510
115	518	509
115	518	511
115	518	510
115	518	510
115	518	510
115	517	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	511
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	517	510
115	518	510
115	517	510
115	518	510
115	517	511
115	518	510
115	518	510
115	517	510
115	517	510
115	517	510
115	517	510
115	517	509
115	517	510
115	517	510
115	517	510
115	518	510
115	517	510
115	518	510
115	517	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	509
115	518	509
115	518	510
115	518	510
115	518	511
115	518	510
115	518	511
115	518	510
115	518	510
115	518	511
115	517	510
115	518	510
115	517	509
115	518	510
115	517	510
115	517	510
115	517	509
115	518	510
115	517	510
115	517	510
115	517	510
115	518	510
115	517	510
115	518	510
115	517	510
115	518	510
115	518	510
115	518	510
115	518	509
115	518	510
115	518	510
115	518	510
115	518	510
115	518	509
115	518	510
115	518	510
115	518	510
115	518	509
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	509
115	518	510
115	517	510
115	517	510
115	517	510
115	517	510
115	517	510
115	517	510
115	517	509
115	517	510
115	517	511
115	518	510
115	517	510
115	518	511
115	518	511
115	518	510
115	517	510
115	518	510
115	518	509
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	510
115	518	511
115	517	509
115	518	509
115	517	510
115	518	509
115	517	509
115	517	510
115	517	509
115	517	510
115	517	510
115	518	510
115	517	510
115	517	510
115	517	510
115	518	510
115	517	511
115	518	510
115	517	509
115	518	510
115	518	510
115	518	510
115	518	510
115	518	509
115	518	510
115	518	509
115	518	510
115	518	510
115	518	510
115	519	510
115	518	509
115	518	509
115	518	509
115	518	511
115	518	510
115	518	510
115	518	509
115	518	510
115	517	511
115	518	510
115	517	510
115	518	510
115	517	510
115	517	510
115	517	510
115	518	510
115	517	510
115	517	510
115	517	510
115	517	510
115	517	510
115	518	510
115	517	509
115	518	510
115	517	510
115	518	510
115	518	510
115	518	510
115	518	510
115	519	510
115	519	510
115	518	510
115	518	509
115	518	509
115	518	510
