V2_mean	Isense_mean	dt	V2Ref_set
509	510	500	0
PWM	V2_read	Isense_read
1	510	511
2	510	510
3	511	510
4	510	511
5	511	511
6	510	510
7	510	511
8	510	511
9	510	510
10	510	511
11	510	510
12	510	510
13	510	510
14	510	510
15	510	510
16	510	510
17	510	510
18	509	510
19	509	511
20	509	511
21	510	510
22	509	509
23	510	510
24	509	509
25	510	510
26	509	510
27	510	510
28	510	510
29	510	511
30	510	511
31	510	510
32	510	510
33	510	510
34	510	510
35	510	510
36	510	510
37	510	511
38	510	510
39	511	511
40	510	511
41	511	510
42	510	511
43	512	510
44	513	510
45	508	511
46	513	511
47	506	510
48	513	510
49	506	511
50	512	510
51	513	510
52	512	510
53	505	510
54	512	511
55	505	510
56	512	511
57	504	510
58	513	511
59	513	510
60	503	511
61	514	510
62	503	510
63	514	511
64	505	510
65	519	510
66	517	511
67	503	510
68	517	510
69	503	511
70	518	510
71	504	510
72	515	511
73	517	510
74	503	510
75	518	510
76	504	510
77	518	510
78	503	510
79	518	510
80	518	511
81	518	510
82	503	510
83	518	510
84	503	510
85	519	510
86	503	511
87	519	510
88	518	510
89	504	510
90	518	511
91	504	510
92	519	510
93	504	511
94	519	510
95	520	510
96	504	510
97	521	510
98	505	510
99	521	511
100	506	510
101	522	510
102	522	511
103	507	511
104	523	510
105	509	510
106	524	511
107	510	511
108	525	511
109	527	511
110	527	511
111	514	511
112	530	510
113	516	510
114	533	510
115	520	511
116	536	511
117	539	511
118	526	510
119	545	511
120	533	511
121	551	510
122	539	511
123	558	511
124	562	511
125	551	511
126	570	511
127	559	511
128	578	511
129	566	512
130	586	512
131	591	512
132	577	511
133	598	512
134	584	511
135	606	512
136	592	512
137	613	512
138	616	512
139	620	512
140	605	512
141	627	512
142	612	513
143	633	513
144	617	512
145	639	512
146	641	513
147	626	513
148	646	513
149	631	514
150	650	514
151	637	513
152	654	513
153	656	514
154	643	515
155	659	514
156	648	515
157	662	515
158	653	515
159	665	515
160	666	515
161	660	515
162	669	516
163	664	516
164	672	516
165	669	516
166	676	517
167	679	517
168	682	517
169	682	517
170	689	517
171	692	517
172	700	518
173	702	518
174	708	517
175	711	518
176	712	518
177	718	519
178	721	519
179	726	519
180	728	519
181	733	520
182	735	520
183	739	520
184	743	521
185	746	521
186	748	521
187	752	522
188	754	521
189	758	523
190	765	522
191	773	522
192	778	523
193	783	523
194	788	524
195	795	524
196	799	524
197	803	525
198	806	525
199	808	525
200	810	526
201	811	526
202	812	526
203	812	527
204	812	527
205	813	527
206	811	527
207	812	528
208	810	528
209	810	528
210	808	529
211	807	530
212	805	530
213	802	530
214	801	530
215	800	531
216	797	531
217	794	531
218	790	532
219	786	532
220	781	532
221	777	534
222	771	533
223	767	533
224	760	534
225	756	533
226	750	534
227	746	534
228	740	535
229	735	535
230	730	535
231	726	535
232	721	536
233	716	536
234	711	536
235	708	536
236	703	537
237	699	537
238	695	538
239	691	537
240	687	537
241	684	538
242	679	538
243	676	538
244	672	538
245	669	539
246	665	539
247	662	539
248	658	538
249	655	539
250	652	539
251	649	540
252	646	539
253	643	539
254	640	540
255	637	540
254	634	541
253	632	540
252	629	540
251	627	540
250	623	540
249	621	541
248	618	541
247	617	541
246	614	541
245	612	541
244	608	542
243	607	542
242	605	542
241	604	542
240	602	542
239	600	542
238	597	542
237	596	542
236	594	542
235	592	542
234	591	543
233	590	543
232	587	542
231	586	543
230	584	542
229	583	543
228	580	543
227	579	543
226	577	543
225	575	543
224	573	543
223	572	544
222	570	543
221	568	543
220	566	544
219	564	543
218	561	543
217	558	544
216	554	544
215	550	544
214	544	544
213	539	544
212	533	544
211	529	544
210	524	544
209	520	544
208	514	543
207	510	543
206	504	543
205	498	544
204	493	543
203	487	544
202	480	544
201	474	544
200	468	544
199	461	543
198	453	544
197	445	543
196	437	544
195	427	543
194	415	544
193	405	543
192	398	544
191	392	542
190	384	543
189	376	542
188	367	543
187	355	542
186	348	543
185	343	542
184	338	541
183	334	542
182	328	541
181	325	542
180	320	541
179	316	540
178	310	540
177	308	540
176	303	540
175	298	540
174	296	540
173	290	539
172	290	539
171	284	539
170	284	538
169	280	538
168	276	538
167	268	538
166	270	537
165	262	537
164	268	537
163	261	536
162	268	537
161	268	536
160	259	536
159	269	536
158	258	535
157	270	535
156	256	535
155	271	534
154	271	534
153	255	533
152	271	533
151	255	533
150	271	532
149	254	533
148	271	532
147	271	532
146	252	531
145	270	531
144	251	532
143	269	530
142	250	531
141	268	530
140	267	529
139	267	530
138	248	529
137	266	529
136	248	528
135	264	529
134	247	528
133	263	527
132	262	528
131	246	527
130	261	527
129	243	527
128	259	527
127	242	526
126	258	526
125	257	525
124	239	525
123	255	525
122	238	525
121	253	524
120	236	523
119	251	524
118	249	524
117	233	523
116	247	523
115	232	523
114	245	522
113	229	522
112	243	521
111	242	522
110	241	521
109	225	521
108	239	520
107	224	520
106	237	520
105	222	519
104	236	518
103	235	518
102	220	518
101	234	518
100	219	518
99	233	517
98	218	517
97	232	517
96	231	516
95	216	515
94	229	515
93	216	515
92	229	515
91	215	514
90	227	515
89	228	513
88	214	514
87	227	514
86	215	513
85	228	513
84	216	513
83	230	512
82	231	512
81	233	511
80	225	512
79	245	511
78	268	510
77	462	511
76	495	511
75	514	511
74	514	511
73	501	510
72	514	510
71	502	510
70	515	511
69	502	510
68	516	511
67	516	510
66	501	510
65	516	510
64	502	510
63	516	510
62	502	511
61	516	510
60	515	510
59	503	510
58	515	510
57	504	510
56	513	511
55	504	510
54	513	510
53	513	509
52	512	510
51	505	510
50	512	511
49	505	511
48	512	511
47	505	510
46	511	510
45	512	511
44	505	510
43	510	510
42	505	510
41	509	510
40	507	511
39	509	510
38	508	511
37	509	510
36	509	510
35	510	510
34	509	510
33	510	511
32	510	511
31	510	510
30	510	511
29	510	509
28	510	510
27	511	511
26	510	510
25	510	511
24	510	510
23	510	511
22	510	511
21	510	510
20	510	511
19	510	510
18	510	510
17	510	511
16	510	510
15	510	510
14	509	511
13	510	510
12	509	510
11	510	510
10	509	510
9	509	510
8	509	510
7	510	511
6	509	511
5	509	510
4	509	510
3	510	510
2	509	510
1	510	511
0	510	511
-1	510	510
-2	510	510
-3	510	511
-4	510	511
-5	511	510
-6	510	510
-7	511	510
-8	510	510
-9	510	511
-10	510	511
-11	511	510
-12	510	510
-13	510	510
-14	510	510
-15	510	510
-16	510	510
-17	510	511
-18	509	510
-19	510	510
-20	509	511
-21	510	510
-22	509	511
-23	509	511
-24	509	511
-25	509	510
-26	509	510
-27	510	510
-28	508	510
-29	510	510
-30	509	510
-31	510	511
-32	509	510
-33	510	510
-34	509	511
-35	510	510
-36	510	511
-37	510	510
-38	510	510
-39	510	511
-40	509	510
-41	507	511
-42	506	510
-43	510	510
-44	507	510
-45	512	510
-46	507	510
-47	513	510
-48	508	510
-49	508	511
-50	512	510
-51	508	510
-52	512	510
-53	508	511
-54	512	510
-55	508	510
-56	506	510
-57	509	510
-58	508	511
-59	512	510
-60	508	510
-61	511	510
-62	508	510
-63	508	510
-64	508	511
-65	512	510
-66	508	510
-67	509	510
-68	511	510
-69	509	511
-70	509	511
-71	509	510
-72	511	510
-73	510	511
-74	511	510
-75	510	510
-76	512	510
-77	510	510
-78	509	510
-79	512	510
-80	510	511
-81	512	510
-82	509	511
-83	511	511
-84	513	510
-85	509	511
-86	512	510
-87	508	510
-88	511	511
-89	507	510
-90	511	510
-91	507	510
-92	506	511
-93	506	510
-94	510	510
-95	505	510
-96	510	510
-97	505	510
-98	509	511
-99	504	511
-100	503	511
-101	509	510
-102	502	510
-103	508	510
-104	501	510
-105	507	510
-106	500	511
-107	499	509
-108	505	510
-109	498	511
-110	503	509
-111	496	510
-112	499	510
-113	493	511
-114	491	510
-115	495	510
-116	487	511
-117	490	511
-118	481	511
-119	483	510
-120	475	510
-121	472	510
-122	468	510
-123	469	509
-124	462	509
-125	461	511
-126	454	510
-127	453	510
-128	448	510
-129	446	509
-130	441	509
-131	439	509
-132	433	509
-133	433	509
-134	426	509
-135	427	509
-136	424	509
-137	416	509
-138	418	509
-139	409	508
-140	412	508
-141	402	508
-142	407	508
-143	404	508
-144	392	508
-145	397	507
-146	385	507
-147	392	507
-148	379	507
-149	385	507
-150	381	507
-151	378	507
-152	367	506
-153	371	506
-154	361	507
-155	365	507
-156	354	505
-157	357	505
-158	352	506
-159	343	505
-160	340	505
-161	328	505
-162	322	505
-163	315	505
-164	311	505
-165	306	504
-166	300	504
-167	295	504
-168	291	503
-169	285	504
-170	282	503
-171	275	502
-172	271	502
-173	270	502
-174	262	502
-175	263	501
-176	255	501
-177	256	501
-178	249	501
-179	248	500
-180	245	500
-181	245	499
-182	237	500
-183	238	498
-184	232	499
-185	235	499
-186	230	498
-187	230	498
-188	235	498
-189	232	497
-190	237	496
-191	235	497
-192	240	496
-193	239	496
-194	240	495
-195	247	495
-196	245	495
-197	252	495
-198	250	494
-199	254	494
-200	248	495
-201	248	494
-202	251	494
-203	249	492
-204	252	492
-205	250	493
-206	252	492
-207	251	492
-208	251	491
-209	251	492
-210	253	491
-211	253	490
-212	254	490
-213	253	491
-214	254	490
-215	254	490
-216	255	489
-217	257	489
-218	257	488
-219	260	488
-220	260	488
-221	261	487
-222	262	487
-223	264	487
-224	266	487
-225	270	487
-226	273	486
-227	278	486
-228	282	486
-229	286	485
-230	290	485
-231	295	485
-232	300	484
-233	304	485
-234	308	484
-235	313	484
-236	317	483
-237	321	483
-238	325	484
-239	330	483
-240	333	483
-241	337	483
-242	341	483
-243	345	483
-244	348	482
-245	352	483
-246	354	482
-247	358	481
-248	362	480
-249	365	481
-250	368	481
-251	370	481
-252	373	481
-253	377	481
-254	379	480
-255	382	480
-254	384	480
-253	387	479
-252	390	480
-251	392	480
-250	394	480
-249	397	480
-248	399	479
-247	402	480
-246	404	479
-245	406	480
-244	408	479
-243	411	479
-242	412	479
-241	415	478
-240	416	479
-239	419	479
-238	420	478
-237	423	479
-236	424	478
-235	427	479
-234	428	478
-233	431	478
-232	432	478
-231	434	478
-230	435	478
-229	438	477
-228	440	477
-227	441	478
-226	443	477
-225	445	477
-224	448	477
-223	451	477
-222	455	477
-221	459	477
-220	463	476
-219	470	476
-218	474	476
-217	479	477
-216	482	477
-215	487	477
-214	492	477
-213	496	476
-212	502	477
-211	507	477
-210	512	476
-209	516	476
-208	521	477
-207	526	476
-206	532	476
-205	535	477
-204	541	477
-203	544	476
-202	550	477
-201	552	478
-200	556	477
