V2_mean	Isense_mean	dt
510	509	500
PWM	V2_read	Isense_read
0	510	509
0	510	510
0	510	509
0	510	509
0	510	509
0	510	510
0	510	509
0	510	510
1	510	509
1	510	509
1	510	509
1	510	510
1	510	509
1	510	509
1	510	510
1	510	509
1	510	510
1	510	510
2	510	510
2	510	509
2	510	509
2	510	509
2	510	509
2	510	509
2	510	509
2	510	510
2	510	509
2	510	509
3	510	509
3	525	509
3	512	510
3	508	510
3	509	510
3	509	509
3	509	509
3	509	509
3	509	509
3	509	509
4	508	509
4	674	510
4	681	509
4	681	509
4	682	509
4	682	509
4	682	509
4	683	510
4	683	509
4	682	509
5	682	510
5	839	510
5	839	510
5	840	509
5	840	509
5	840	510
5	839	510
5	840	510
5	839	510
5	840	509
6	840	510
6	848	509
6	848	510
6	848	509
6	848	509
6	849	510
6	848	510
6	848	510
6	848	509
6	848	509
7	848	510
7	863	509
7	863	510
7	863	509
7	862	509
7	863	510
7	863	510
7	863	510
7	863	510
7	863	510
8	862	509
8	881	510
8	881	510
8	881	510
8	881	509
8	881	510
8	881	509
8	881	510
8	881	509
8	881	510
9	881	510
9	887	510
9	887	510
9	887	509
9	887	509
9	887	509
9	886	510
9	887	510
9	887	509
9	887	510
10	887	509
10	902	510
10	902	509
10	903	510
10	902	509
10	903	510
10	902	510
10	903	510
10	903	509
10	903	510
11	902	510
11	919	510
11	918	509
11	919	509
11	919	509
11	919	510
11	919	510
11	919	509
11	919	509
11	919	510
12	918	509
12	935	510
12	935	509
12	935	509
12	935	510
12	935	509
12	935	510
12	935	510
12	935	510
12	935	510
13	935	510
13	952	509
13	951	510
13	951	510
13	951	509
13	951	509
13	951	510
13	951	509
13	951	510
13	952	509
14	951	509
14	949	509
14	949	510
14	949	510
14	949	509
14	949	509
14	949	510
14	949	510
14	949	509
14	949	509
15	949	509
15	940	510
15	940	509
15	940	509
15	940	509
15	940	510
15	940	509
15	940	509
15	939	509
15	939	510
16	939	509
16	928	509
16	927	510
16	928	509
16	927	510
16	927	509
16	928	509
16	928	509
16	927	510
16	928	510
17	927	510
17	913	510
17	913	510
17	913	510
17	913	509
17	913	509
17	913	509
17	913	510
17	913	509
17	913	510
18	914	510
18	896	510
18	897	510
18	897	509
18	896	510
18	897	509
18	896	509
18	896	509
18	896	510
18	896	509
19	896	509
19	877	509
19	876	509
19	877	510
19	876	509
19	877	510
19	876	510
19	876	510
19	876	510
19	876	509
20	876	508
20	853	510
20	853	509
20	853	510
20	853	509
20	854	509
20	853	510
20	853	510
20	853	510
20	853	510
21	853	510
21	828	509
21	827	509
21	827	509
21	827	510
21	828	509
21	827	509
21	828	509
21	828	510
21	828	509
22	828	510
22	799	509
22	799	509
22	799	510
22	799	510
22	799	509
