V2_mean	Isense_mean	dt
510	509	500	0
PWM	V2_read	Isense_read
0	510	509
0	510	509
0	509	509
0	509	509
0	510	510
255	510	508
255	510	510
255	510	509
255	510	509
255	510	509
255	510	509
255	510	509
255	510	509
255	510	509
255	509	510
255	509	510
255	509	510
509	509	500
2	509	509
4	510	509
6	304	510
8	68	510
10	40	509
12	28	509
14	15	509
16	6	509
18	14	509
20	46	509
22	101	509
24	185	508
26	299	509
28	442	509
30	614	509
32	793	509
34	963	510
36	1023	509
38	1023	509
40	1023	510
42	1023	510
44	1023	509
46	1023	509
48	1023	509
50	1023	509
52	1023	509
54	1023	509
56	1023	509
58	1023	509
60	1023	509
62	1023	509
64	1023	508
66	1023	509
68	1023	510
70	1023	509
72	1023	509
74	1023	509
76	1023	509
78	1023	510
80	1023	509
82	1023	510
84	1023	509
86	1023	509
88	1023	510
90	1023	509
92	1023	509
94	1023	509
96	1023	510
98	1023	509
100	1023	509
102	1023	509
104	1023	509
106	1023	509
108	1023	510
110	1023	509
112	1023	509
114	1023	509
116	1023	510
118	1023	509
120	1023	509
122	1023	509
124	1023	509
126	1023	510
128	1023	509
130	1023	509
132	1023	509
134	1023	510
136	1023	509
138	1023	509
140	1023	509
142	1023	510
144	1023	509
146	1023	510
148	1023	510
150	1023	510
152	1023	511
154	1023	511
156	1023	511
158	1023	511
160	1023	511
162	1023	512
164	1023	512
166	1023	513
168	1023	513
170	1023	512
172	1023	513
174	1023	514
176	1023	514
178	1023	514
180	1023	515
182	1023	515
184	1023	516
186	1023	516
188	1023	517
190	1023	517
192	1023	518
194	1023	518
196	1023	518
198	1023	520
200	1023	520
202	1023	521
204	1023	521
206	1023	523
208	1023	522
210	1023	523
212	1023	523
214	1023	525
216	1023	524
218	1023	526
220	1023	526
222	1023	527
224	1023	528
226	1023	528
228	1017	529
230	1011	529
232	1003	530
234	981	531
236	950	531
238	910	532
240	863	532
242	810	533
244	747	533
246	681	533
248	607	534
250	531	534
252	455	534
254	307	532
256	262	533
258	0	532
260	0	531
262	0	529
264	0	527
266	0	523
268	0	525
270	0	522
272	0	520
274	0	518
276	0	517
278	0	514
280	0	512
282	0	511
284	0	509
286	337	509
288	643	510
290	928	510
292	1023	509
294	1023	509
296	1023	509
298	1023	509
300	1023	509
302	1023	510
304	1023	510
306	1023	510
308	1023	510
310	1023	509
312	1023	510
314	1023	510
316	1023	510
318	1023	509
320	1023	509
322	1023	509
324	1023	509
326	1023	510
328	1023	510
330	1023	509
332	1023	510
334	1023	510
336	1023	510
338	1023	509
340	1023	510
342	1023	509
344	1023	510
346	1023	510
348	1023	510
350	1023	509
352	1023	510
354	1023	510
356	1023	509
358	1023	511
360	1023	509
362	1023	510
364	1023	509
366	1023	509
368	1023	509
370	1023	509
372	1023	510
374	1023	510
376	1023	509
378	1023	509
380	1023	509
382	1023	509
384	1023	509
386	1023	509
388	1023	510
390	1023	509
392	1023	510
394	1023	510
396	1023	510
398	1023	510
400	1023	510
255	1023	511
255	1023	512
255	1023	514
255	1023	516
255	1023	518
255	1023	519
255	1023	520
255	1023	522
255	1023	524
255	1023	524
255	1023	526
255	1023	526
255	1023	528
255	996	529
255	954	529
255	906	530
255	851	531
255	792	532
255	728	531
255	662	532
255	595	532
255	529	533
255	462	532
255	452	532
255	191	531
255	206	531
255	249	531
255	472	531
255	196	530
255	239	530
255	493	530
255	242	529
255	219	528
255	492	529
255	229	529
255	244	529
255	467	528
255	508	529
255	202	528
255	480	528
255	480	528
255	243	527
255	516	528
255	490	527
255	476	527
255	471	527
255	501	527
255	511	526
255	473	526
255	475	526
255	476	527
255	524	526
255	478	526
255	478	526
255	480	527
255	480	526
255	481	526
255	510	526
255	535	526
255	483	526
255	482	526
255	483	525
255	484	526
255	485	526
255	487	525
255	488	525
255	491	525
255	492	526
255	495	525
255	498	526
255	501	524
255	504	525
255	507	525
255	510	526
255	513	525
255	515	525
255	518	525
255	521	525
255	523	525
255	525	525
255	526	525
255	527	525
255	528	525
255	528	526
255	529	526
255	528	525
255	527	525
255	526	525
255	525	525
255	522	526
255	521	525
255	519	526
255	517	526
255	515	526
255	512	525
255	510	526
255	508	526
255	506	526
255	504	526
255	506	525
255	500	526
255	499	526
255	498	526
255	497	525
255	497	525
255	496	525
255	496	525
255	497	526
255	497	525
255	497	525
255	499	525
255	500	525
255	501	526
255	503	526
255	505	525
255	507	525
255	508	525
255	510	526
255	512	526
255	513	525
255	515	525
255	516	526
255	517	526
255	519	526
255	519	526
255	520	525
255	520	525
255	520	526
255	516	526
255	520	526
255	520	525
255	519	525
255	518	525
255	517	526
255	516	526
255	515	525
255	514	526
255	513	526
255	512	525
255	510	526
255	508	526
255	507	525
255	507	526
255	506	525
255	502	525
255	504	526
255	503	525
255	503	525
255	502	526
255	503	525
255	502	525
255	502	525
255	503	525
255	503	525
255	504	526
255	505	525
255	505	525
255	507	526
255	508	525
255	508	526
255	509	526
255	510	526
255	511	525
255	511	525
255	513	526
255	513	526
255	514	525
255	514	525
255	515	525
255	515	526
255	515	526
255	516	526
255	516	525
255	516	526
255	515	525
255	515	526
255	515	525
255	514	525
255	513	525
255	513	526
255	513	526
255	510	525
255	511	525
255	510	526
255	509	526
255	509	526
255	508	525
255	507	526
255	507	526
255	506	526
255	506	526
255	506	525
255	506	525
255	506	525
255	506	526
255	506	525
255	505	525
255	506	525
255	507	526
255	507	525
255	508	525
255	508	526
255	508	526
255	509	526
255	510	525
255	508	525
255	510	526
255	511	526
255	512	526
255	512	526
255	512	525
255	512	525
255	513	526
255	513	526
255	513	526
255	514	525
255	513	525
255	513	526
255	512	525
255	512	525
255	512	525
255	512	525
255	512	526
255	511	526
255	511	526
255	510	526
255	510	526
255	510	525
255	509	526
255	509	526
255	509	526
255	509	526
255	508	525
255	508	525
255	508	525
255	507	525
255	509	526
255	508	526
255	508	525
255	508	526
255	508	525
255	508	526
255	508	525
255	509	526
255	509	526
255	509	525
255	510	525
255	510	526
255	510	526
255	511	525
255	510	525
255	511	525
255	511	526
255	511	525
255	511	525
255	511	525
255	512	525
255	512	525
255	512	526
255	511	526
255	511	525
255	511	526
255	511	526
255	511	526
255	511	525
255	510	525
255	511	526
255	511	526
255	510	525
255	510	525
255	510	525
255	510	525
255	510	526
255	510	526
255	511	525
255	509	526
255	509	525
255	510	526
255	509	526
255	509	525
255	509	525
255	508	525
255	509	526
255	509	526
255	509	526
255	510	524
255	509	525
255	509	525
255	509	525
255	509	526
255	509	525
255	510	525
255	510	526
255	510	525
255	510	525
255	511	526
255	510	526
255	511	526
255	510	526
255	511	526
255	510	525
255	511	525
255	511	526
255	510	525
255	510	524
255	511	526
255	511	525
255	511	526
255	510	526
255	510	526
255	510	525
255	510	525
255	510	526
255	510	526
255	510	525
255	510	526
255	510	525
255	510	525
255	510	525
255	510	525
255	510	525
255	509	525
255	509	525
255	509	526
255	510	525
255	509	525
255	510	525
255	510	525
255	510	526
255	509	525
255	510	525
255	509	526
255	510	525
255	510	525
255	510	525
255	510	526
255	510	526
255	510	526
255	510	526
255	510	525
255	510	526
255	510	525
255	510	526
255	510	526
255	510	525
255	510	525
255	510	525
255	510	526
255	510	525
255	510	525
255	510	525
255	510	525
255	510	527
255	510	525
255	510	525
255	510	526
255	509	526
255	510	526
255	510	525
255	511	526
255	510	526
255	510	526
255	510	525
255	510	526
255	509	525
255	510	526
255	510	525
255	510	526
255	510	526
255	509	526
255	510	525
255	510	526
255	510	526
255	510	526
255	510	525
255	509	526
255	510	526
255	510	525
255	510	525
255	510	526
255	510	526
255	509	526
255	510	526
255	510	525
255	510	525
255	510	525
255	510	526
255	510	525
255	510	525
255	510	526
255	510	525
255	509	526
255	510	526
255	510	525
255	510	525
255	511	525
255	510	525
255	510	525
255	510	525
255	510	525
255	510	526
255	510	526
255	510	526
255	510	525
255	510	525
255	510	525
255	510	526
255	510	526
255	510	526
255	510	525
255	510	526
255	511	525
255	510	526
255	510	525
255	511	525
255	509	526
255	510	526
255	509	526
255	510	525
255	509	526
255	509	526
255	509	526
255	510	525
255	510	525
255	510	525
255	510	525
255	510	526
255	510	525
255	510	525
255	509	525
255	510	526
255	510	525
255	511	526
255	510	526
255	510	525
255	510	525
255	510	526
255	510	525
255	510	526
255	510	525
255	510	526
255	511	525
255	510	526
255	510	525
255	510	525
255	510	525
255	510	526
255	510	526
255	510	525
255	510	525
255	509	526
255	509	526
255	510	525
255	510	525
255	510	525
255	510	525
255	509	526
255	509	526
255	511	526
255	509	526
255	509	525
255	511	525
255	510	525
255	508	526
255	510	525
255	510	525
255	510	525
255	510	525
255	510	526
255	510	526
255	510	525
255	510	525
255	510	525
255	510	526
255	510	525
255	510	525
255	510	525
255	510	526
255	510	526
255	510	525
255	510	525
255	509	526
255	510	525
255	510	525
255	510	526
255	510	526
255	510	525
255	510	526
255	510	526
255	510	525
255	510	526
255	510	525
255	510	526
255	510	525
255	510	525
255	509	524
255	510	526
255	510	526
255	510	526
255	509	526
255	510	525
255	509	525
255	511	526
255	510	526
255	510	525
255	510	525
255	509	526
255	510	525
255	510	525
255	510	526
255	510	525
255	510	525
255	510	525
255	510	526
255	510	525
255	510	525
255	510	525
255	510	525
255	511	526
255	511	525
255	510	526
255	510	526
255	510	525
255	510	526
255	510	526
255	509	525
255	510	525
255	510	526
255	510	525
255	510	526
255	510	526
255	510	526
255	510	526
255	510	525
255	510	526
255	511	525
255	510	525
255	510	525
255	509	525
255	510	526
255	510	525
255	512	525
255	510	526
255	510	525
255	509	526
255	510	526
255	509	525
255	510	524
255	510	525
255	510	525
255	510	525
255	510	525
255	510	526
255	510	525
255	510	526
255	510	525
255	510	526
255	511	525
255	511	525
255	510	525
255	510	526
255	510	526
255	510	524
255	510	526
255	510	525
255	510	526
255	507	525
255	511	525
255	510	525
255	510	526
255	510	526
255	510	526
255	509	526
255	509	525
255	510	526
255	510	525
255	510	526
255	510	525
255	510	526
255	509	525
255	509	526
255	510	526
255	510	526
255	510	526
255	510	526
255	510	525
255	510	525
255	510	525
255	511	525
255	510	526
255	510	525
255	510	525
255	510	525
255	510	525
255	510	526
255	510	526
255	510	526
255	511	526
255	510	525
255	510	525
255	510	526
255	510	526
255	510	525
255	510	526
255	510	526
255	510	526
255	510	525
255	510	525
255	510	525
255	510	525
255	510	526
255	510	525
255	510	525
255	510	525
255	511	525
255	511	525
255	510	525
255	510	526
255	509	525
255	510	525
255	510	526
255	510	526
255	510	525
255	506	526
255	510	525
255	510	526
255	510	526
255	510	525
255	510	525
255	510	525
255	510	526
255	509	525
255	510	526
255	510	525
255	510	525
255	510	526
255	510	526
255	510	525
255	510	525
255	510	525
255	510	526
255	510	525
255	510	525
255	510	526
255	511	526
255	510	525
255	510	526
255	510	526
255	510	525
255	510	526
255	510	526
255	509	526
255	510	526
255	506	526
255	510	526
255	512	525
255	510	526
255	509	525
255	510	526
255	510	525
255	510	525
255	510	526
255	510	526
255	510	526
255	510	525
255	510	525
255	510	525
255	510	525
255	510	526
255	510	526
255	510	525
255	509	525
255	510	526
255	510	526
255	510	525
255	510	526
255	509	526
255	510	526
255	510	526
255	510	525
255	510	526
255	510	526
255	510	526
255	510	525
255	510	526
255	510	525
255	510	525
255	510	525
255	510	525
255	510	526
255	509	525
255	510	526
255	510	525
255	510	526
255	510	525
255	510	526
255	509	525
255	510	525
255	510	525
255	510	526
255	510	525
255	510	526
255	510	526
255	510	526
255	510	526
255	510	526
255	511	526
255	510	526
255	509	525
255	510	525
255	509	526
255	510	526
255	509	525
255	510	526
255	510	525
255	511	525
255	510	526
255	510	526
255	510	526
255	510	525
255	510	525
255	510	526
255	510	526
255	509	526
255	512	525
255	511	525
255	510	526
255	508	526
255	510	526
255	508	525
255	510	525
255	509	526
255	509	526
255	510	526
255	510	525
255	510	525
255	510	526
255	510	525
255	510	526
255	510	526
255	510	525
255	510	525
255	514	526
255	510	526
255	510	525
255	510	525
255	511	526
255	510	525
255	510	525
255	513	525
255	510	526
255	510	525
255	510	525
255	510	525
255	510	526
255	510	525
255	510	525
255	510	526
255	510	526
255	513	526
255	510	526
255	510	525
255	509	525
255	510	526
255	510	525
255	510	526
255	510	525
255	510	525
255	510	526
255	510	526
255	510	526
255	510	526
255	510	525
255	510	526
255	509	526
255	510	526
255	510	526
255	510	525
255	509	525
255	510	525
255	510	525
255	509	526
255	510	526
255	510	525
255	510	526
255	510	525
255	510	525
255	510	525
255	511	525
255	510	525
255	510	525
255	510	526
255	510	525
255	510	525
255	508	526
255	510	525
255	510	525
255	510	525
255	510	525
255	510	525
255	510	525
255	512	525
255	510	526
255	510	526
255	510	526
255	510	526
255	510	526
255	509	526
255	510	526
255	510	525
255	510	525
255	510	526
255	510	525
255	509	526
255	510	525
255	510	526
255	510	526
255	510	526
255	510	525
255	510	525
255	510	525
255	510	526
255	510	525
255	510	526
255	510	526
255	510	525
255	510	525
255	508	526
255	510	526
255	510	525
255	510	526
255	510	525
255	510	525
255	510	526
255	510	525
255	511	525
255	510	525
255	510	525
255	510	526
255	510	526
