V2_mean	Isense_mean	dt
509	509	500
PWM	V2_read	Isense_read
1	510	509
2	509	510
3	510	509
5	510	510
6	510	509
7	510	509
10	510	509
11	510	509
12	510	509
14	510	510
15	511	510
16	510	509
19	510	510
20	510	509
21	510	509
22	512	509
24	510	509
26	511	509
28	511	510
29	514	509
30	515	509
31	510	510
33	517	510
35	511	509
36	520	510
38	512	510
39	529	509
40	502	509
42	487	510
44	655	510
45	437	510
47	703	510
48	432	510
49	430	510
51	424	509
53	683	509
54	403	509
56	684	510
57	400	509
58	399	510
59	397	510
62	665	510
63	393	510
65	620	510
66	300	510
67	293	510
68	286	509
71	1019	510
72	244	509
73	1020	509
75	255	510
76	238	509
77	228	509
80	1020	510
81	173	509
82	1023	509
84	158	509
85	151	509
86	148	509
89	1023	510
90	136	510
91	1023	510
93	133	510
94	130	510
95	127	510
98	1023	509
99	121	510
100	1023	509
102	113	509
103	111	510
104	106	509
107	1023	509
108	97	509
109	1023	510
110	71	509
112	59	509
113	44	509
116	1023	510
117	0	510
118	1023	510
119	0	510
121	0	510
122	0	510
124	1023	510
126	3	510
127	1023	510
128	27	510
130	39	510
131	75	511
133	1023	511
135	144	511
136	1023	512
137	215	512
138	241	512
140	267	511
142	1023	512
144	375	513
145	1023	512
146	453	513
147	477	514
149	501	513
151	1023	514
153	652	513
154	1023	515
155	872	513
156	897	513
158	922	514
160	1013	516
161	1022	514
163	1001	515
164	1023	516
165	1023	516
167	1023	517
169	949	518
170	1023	518
172	821	519
173	1023	519
174	1023	519
175	1023	519
178	633	519
179	946	520
181	605	520
182	890	521
183	875	521
184	863	522
187	566	522
188	841	523
189	547	523
191	823	523
192	815	524
193	805	524
196	567	525
197	784	525
198	561	526
200	762	526
201	751	526
202	740	527
205	549	527
206	718	528
207	564	528
209	695	528
210	684	528
211	682	529
214	590	530
215	715	530
216	694	531
218	722	532
219	707	532
220	693	532
223	674	533
224	664	532
225	649	533
226	637	533
228	623	534
229	610	534
232	597	535
233	584	534
234	572	535
235	581	535
237	608	535
238	633	535
240	658	535
242	668	536
243	662	536
244	645	536
246	627	536
247	616	537
249	601	537
251	587	538
252	572	538
253	559	537
255	545	538
255	533	538
255	519	538
255	514	538
255	538	537
255	571	537
255	602	538
255	623	538
255	635	539
255	629	539
255	613	539
255	597	539
255	582	540
255	568	540
255	553	539
255	540	540
255	526	540
255	512	539
255	500	540
255	487	539
255	481	539
255	506	539
255	541	539
255	572	540
255	598	540
255	613	540
255	611	541
255	596	541
255	580	541
255	565	541
255	550	541
255	536	541
255	521	542
255	507	542
255	494	541
255	481	541
255	468	541
255	464	541
255	490	540
255	525	541
255	557	541
255	587	541
255	600	541
255	602	541
255	588	542
255	571	542
255	555	541
