V2_mean	Isense_mean	dt
509	509	500
PWM	V2_read	Isense_read
1	510	509
2	510	510
3	510	509
5	510	509
6	510	510
7	510	509
10	508	509
11	510	509
12	510	509
14	510	509
15	511	509
16	511	509
19	511	509
20	510	510
21	510	509
22	510	510
24	510	509
26	510	509
28	510	509
29	510	509
30	510	509
31	510	510
33	518	510
35	510	509
36	520	509
38	510	510
39	523	510
40	511	509
42	511	509
44	535	511
45	530	510
47	663	516
48	574	510
49	602	510
51	632	510
53	470	521
54	709	511
56	439	523
57	789	510
58	814	510
59	825	510
62	800	517
63	855	511
65	1023	523
66	869	511
67	857	512
68	843	511
71	860	527
72	812	512
73	735	529
75	782	512
76	769	511
77	756	512
80	648	530
81	733	513
82	624	531
84	709	514
85	698	514
86	687	514
89	575	531
90	669	516
91	559	528
93	650	516
94	642	516
95	633	516
98	519	530
99	622	518
100	518	529
102	635	519
103	642	521
104	638	521
107	526	529
108	623	523
109	510	527
110	606	524
112	598	525
113	592	525
116	470	528
117	581	528
118	451	527
119	565	531
121	557	532
122	568	535
124	474	528
126	611	536
127	522	526
128	634	539
130	631	540
131	623	540
133	499	527
135	612	543
136	477	524
137	602	543
138	594	543
140	584	543
142	431	526
144	570	549
145	409	527
146	557	551
147	574	553
149	597	554
151	499	526
153	614	551
154	527	525
155	630	551
156	636	551
158	648	551
160	479	525
161	719	552
163	455	526
164	735	553
165	719	553
167	702	553
169	409	525
170	734	553
172	416	526
173	898	551
174	890	552
175	882	551
178	519	526
179	766	550
181	513	525
182	661	550
183	628	550
184	600	550
187	463	527
188	548	550
189	441	526
191	529	550
192	515	549
193	507	550
196	401	527
197	521	551
198	488	529
200	588	550
201	611	548
202	619	547
205	555	532
206	596	545
207	538	532
209	568	545
210	555	544
211	541	543
214	497	534
215	515	543
216	475	534
218	489	544
219	478	544
220	491	546
223	518	541
224	564	543
225	589	541
226	611	542
228	616	541
229	604	541
232	586	541
233	571	541
234	556	541
235	541	541
237	527	541
238	513	541
240	499	541
242	486	541
243	473	542
244	465	542
246	488	543
247	521	544
249	556	543
251	585	543
252	600	542
253	597	542
255	586	541
255	569	542
255	554	542
255	540	542
255	525	542
255	511	542
255	497	542
255	484	541
255	471	542
255	459	542
255	454	543
255	477	544
255	513	545
255	548	544
255	577	543
255	592	543
255	596	543
255	582	542
255	565	543
255	549	543
255	534	542
255	520	543
255	506	543
255	488	543
255	479	542
255	469	542
255	453	542
255	445	543
255	466	545
255	500	545
255	537	543
255	566	545
255	585	544
255	591	543
255	579	543
255	562	542
255	547	543
255	532	543
255	518	544
255	503	543
255	489	543
255	476	543
255	463	543
255	450	542
255	441	544
255	457	545
255	493	545
255	530	545
255	561	544
255	581	544
255	589	543
255	579	543
