V2_mean	Isense_mean	dt
509	509	500
PWM	V2_read	Isense_read
0	510	510
1	510	510
2	510	510
3	510	509
5	510	509
6	510	509
7	510	510
8	510	510
10	510	509
11	510	509
12	510	510
14	510	510
15	510	509
16	510	510
17	511	510
19	508	510
20	510	509
21	511	510
22	510	509
24	510	510
25	510	510
26	510	510
28	510	509
29	511	509
30	510	510
31	510	510
33	510	509
34	510	509
35	510	509
36	510	510
38	510	510
39	510	509
40	524	510
42	511	510
43	512	510
44	516	510
45	523	510
47	535	509
48	558	510
49	582	510
51	604	510
52	634	510
53	667	510
54	696	511
56	724	510
57	748	511
58	768	511
59	775	511
61	775	511
62	805	510
63	821	512
65	821	511
66	805	511
67	910	525
68	862	524
70	817	527
71	755	512
72	743	511
73	682	526
75	719	512
76	709	513
77	701	513
79	697	513
80	702	513
81	620	529
82	612	528
84	681	513
85	671	514
86	662	514
87	653	515
89	643	515
90	636	515
91	627	515
93	619	516
94	524	517
95	516	528
96	598	517
98	605	518
99	623	519
100	642	519
102	568	530
103	652	521
104	642	520
105	632	521
107	623	522
108	527	526
109	607	523
110	599	524
112	591	524
113	585	526
114	575	526
116	566	527
117	559	528
118	571	532
119	595	531
121	613	534
122	628	532
123	635	535
124	630	534
126	621	536
127	615	537
128	505	525
130	493	527
131	483	526
132	472	526
133	459	525
135	567	543
136	435	525
137	423	527
138	433	525
140	467	528
141	500	526
142	608	550
144	616	550
145	622	551
146	616	549
147	609	552
149	497	550
150	485	525
151	473	525
153	460	526
154	449	524
155	435	526
156	559	553
158	554	554
159	548	555
160	624	559
161	736	556
163	507	526
164	831	555
165	852	553
167	866	552
168	906	550
169	922	549
170	484	523
172	469	525
173	914	549
174	906	549
175	911	549
177	421	524
178	407	525
179	401	525
181	423	528
182	463	526
183	642	554
184	518	528
186	532	526
187	530	527
188	605	551
189	588	551
191	490	527
192	478	525
193	465	527
195	451	525
196	439	527
197	503	551
198	414	525
200	401	527
201	494	552
202	530	551
204	565	549
205	543	534
206	562	533
207	568	533
209	559	533
210	549	534
211	570	544
212	555	544
214	541	544
215	528	544
216	513	544
218	500	544
219	463	535
220	448	534
221	451	537
223	494	541
224	544	543
225	580	543
226	599	543
228	611	542
229	602	541
230	585	542
232	569	541
233	554	541
234	539	542
235	524	542
237	510	541
238	497	542
239	483	542
240	469	542
242	462	542
243	487	543
244	520	545
246	554	544
247	583	544
248	598	543
249	599	542
251	583	541
252	567	542
253	551	543
255	536	541
254	521	543
253	507	542
252	492	543
250	478	542
249	464	542
248	453	542
247	464	544
245	498	546
244	535	545
243	568	545
241	587	544
240	594	543
239	583	542
238	565	543
236	549	544
235	534	544
234	519	542
233	503	543
231	488	543
230	472	543
229	460	543
227	438	541
