V2_mean	Isense_mean	dt
510	509	500	0
PWM	V2_read	Isense_read
0	511	508
0	509	509
1	510	509
1	509	509
2	509	509
2	509	509
3	510	509
3	509	510
4	509	510
4	510	510
5	510	509
5	510	509
6	510	509
6	509	508
7	510	509
7	510	509
8	511	509
8	511	509
9	510	509
9	510	509
10	510	509
10	510	509
11	510	509
11	511	510
12	511	510
12	511	509
13	513	509
13	510	509
14	510	510
14	510	509
15	510	509
15	509	509
16	509	509
16	510	509
17	509	510
17	510	509
18	510	509
18	509	509
19	509	510
19	509	509
20	507	509
20	509	508
21	509	510
21	510	509
22	510	509
22	510	509
23	510	509
23	510	509
24	510	509
24	510	509
25	511	509
25	510	509
26	511	509
26	510	509
27	511	509
27	511	510
28	511	509
28	511	509
29	511	508
29	510	510
30	511	509
30	510	510
31	510	509
31	511	509
32	510	509
32	511	509
33	510	509
33	510	510
34	519	509
34	520	510
35	510	509
35	510	509
36	510	509
36	510	509
37	510	510
37	510	509
38	510	509
38	511	509
39	511	510
39	525	509
40	511	509
40	512	509
41	512	510
41	513	509
42	514	510
42	516	509
43	519	509
43	524	510
44	528	509
44	537	510
45	581	513
45	554	510
46	562	509
46	574	509
47	581	510
47	609	515
48	598	509
48	606	510
49	613	509
49	620	510
50	534	510
50	516	522
51	637	510
51	641	510
52	644	510
52	647	510
53	648	511
53	649	510
54	649	511
54	649	511
55	649	510
55	491	525
56	646	511
56	644	511
57	639	510
57	636	510
58	631	511
58	656	525
59	625	511
59	615	511
60	601	511
60	495	512
61	459	516
61	396	511
62	405	512
62	420	513
63	399	511
63	413	511
64	421	511
64	432	514
65	409	511
65	424	511
66	448	511
66	495	579
67	716	514
67	455	513
68	454	513
68	495	584
69	440	511
69	446	511
70	452	511
70	444	511
71	449	511
71	459	512
72	467	514
72	459	511
73	462	511
73	467	510
74	474	515
74	472	512
75	463	510
75	464	511
76	488	583
76	468	512
77	476	511
77	483	510
78	478	510
78	478	510
79	483	510
79	476	510
80	479	511
80	484	510
81	489	510
81	494	513
82	484	511
82	476	510
83	480	509
83	487	581
84	475	510
84	479	510
85	497	510
85	523	510
86	480	510
86	484	509
87	488	509
87	527	511
88	497	510
88	500	510
89	504	514
89	496	510
90	499	510
90	490	510
91	494	580
91	484	510
92	488	509
92	492	509
93	497	583
93	501	510
94	504	510
94	507	509
95	504	510
95	503	510
96	492	508
96	511	514
97	502	510
97	505	509
98	509	510
98	513	514
99	488	509
99	492	508
100	496	508
100	501	576
101	491	509
101	509	509
102	513	509
102	510	510
103	508	510
103	511	509
104	501	507
104	527	510
105	511	510
105	514	509
106	518	515
106	538	510
107	495	508
107	500	508
108	504	581
108	482	510
109	496	508
109	518	508
110	534	510
110	495	509
111	498	507
111	500	508
112	538	509
112	516	509
113	519	508
113	523	514
114	540	510
114	517	509
115	502	508
115	509	577
116	427	509
116	498	509
117	502	506
117	510	577
118	517	509
118	521	507
119	525	507
119	524	520
120	519	509
120	501	507
121	529	513
121	532	509
122	522	508
122	525	507
123	531	513
123	494	509
124	500	508
124	505	506
125	513	577
125	496	509
126	525	507
126	530	503
127	528	533
127	523	508
128	527	506
128	531	504
129	529	540
129	525	507
130	527	506
130	532	503
131	529	542
131	525	507
132	528	505
132	533	503
133	539	513
133	530	505
134	530	505
134	528	505
135	527	506
135	526	506
136	526	507
136	524	507
137	524	507
137	522	508
138	522	508
138	522	509
139	523	509
139	424	510
140	522	584
140	528	513
141	527	502
141	525	504
142	524	504
142	523	504
143	521	506
143	521	506
144	520	507
144	520	507
145	518	508
145	517	508
146	516	508
146	516	509
147	409	510
147	514	583
148	520	512
148	517	502
149	516	504
149	515	503
150	514	505
150	513	505
151	512	505
151	511	506
152	511	507
152	509	507
153	509	507
153	507	508
154	573	508
154	401	515
155	506	587
155	509	509
156	509	501
156	506	502
157	505	502
157	503	502
158	503	505
158	502	505
159	501	506
159	501	505
160	501	507
160	500	507
161	500	508
161	546	508
162	399	551
162	499	589
163	503	508
163	503	500
164	502	499
164	503	502
165	502	503
165	502	505
166	502	503
166	500	505
167	501	505
167	499	507
168	499	505
168	497	508
169	605	508
169	400	554
170	488	595
170	491	505
171	489	499
171	488	494
172	488	502
172	492	500
173	491	504
173	498	504
174	499	505
174	505	505
175	502	507
175	503	507
176	501	508
176	440	507
177	397	566
177	406	584
178	423	506
178	455	503
179	402	502
179	478	505
180	490	506
180	490	508
181	489	509
181	476	509
182	577	509
182	427	581
183	389	501
183	422	505
184	432	506
184	471	507
185	676	509
185	454	503
186	461	502
186	483	504
187	493	504
187	499	508
188	499	508
188	500	502
189	500	506
189	501	508
190	498	532
190	502	502
191	502	507
191	501	507
192	491	575
192	503	502
193	501	506
193	501	509
194	505	500
194	503	505
195	501	508
195	482	611
196	503	502
196	502	506
197	501	509
197	504	501
198	502	505
198	501	508
199	505	500
199	503	505
200	502	508
200	505	501
201	502	506
201	502	507
202	502	505
202	501	509
203	504	503
203	502	508
204	506	501
204	502	507
205	502	507
205	503	505
206	502	508
206	502	507
207	503	505
207	502	508
208	505	507
208	503	505
209	502	509
209	504	503
210	502	508
210	505	500
211	502	507
211	502	507
212	503	505
212	501	510
213	504	503
213	502	508
214	505	500
214	502	508
215	502	507
215	503	506
216	503	508
216	502	508
217	503	506
217	502	510
218	506	503
218	503	508
219	502	509
219	505	501
220	503	507
220	503	509
221	505	500
221	504	506
222	503	509
222	506	504
223	504	505
223	503	508
224	473	611
224	508	503
225	503	508
225	502	510
226	506	501
226	503	505
227	501	509
227	506	500
228	503	505
228	503	509
229	492	577
229	505	504
230	503	508
230	503	510
231	505	501
231	503	508
232	502	510
232	507	500
233	504	506
233	504	509
234	500	534
234	504	504
235	503	508
235	158	509
236	505	503
236	503	507
237	503	510
237	507	501
238	504	506
238	503	509
239	503	515
239	504	504
240	503	509
240	466	518
241	505	503
241	504	508
242	503	510
242	506	500
243	504	507
243	503	509
244	507	507
244	508	506
245	508	509
245	430	546
246	505	503
246	503	508
247	503	510
247	506	501
248	504	507
248	503	509
249	506	502
249	505	506
250	504	508
250	478	616
251	506	504
251	504	508
252	503	509
252	506	501
253	504	507
253	504	509
254	508	500
254	505	506
255	504	508
255	495	570
254	505	506
254	503	509
253	507	508
253	505	505
252	503	509
252	506	501
251	504	507
251	504	510
250	507	502
250	504	508
249	440	631
249	505	505
248	503	508
248	507	506
247	505	506
247	504	509
246	506	501
246	504	506
245	504	509
245	507	502
244	504	508
244	504	565
243	506	503
243	504	508
242	499	553
242	505	505
241	504	509
241	508	507
240	506	506
240	504	510
239	507	502
239	505	508
238	504	510
238	507	501
237	505	506
237	504	510
236	505	500
236	504	508
235	504	509
235	508	500
234	504	506
234	504	509
233	501	538
233	505	504
232	504	508
232	163	510
231	505	504
231	504	508
230	463	595
230	505	504
229	504	509
229	502	529
228	506	504
228	505	507
227	417	510
227	506	503
226	504	507
226	504	509
225	509	500
225	506	507
224	504	509
224	508	501
223	506	508
223	505	509
222	507	502
222	505	507
221	504	509
221	508	500
220	505	505
220	500	508
219	507	506
219	505	505
218	504	508
218	504	513
217	505	504
217	504	507
216	497	554
216	506	503
215	504	507
215	433	546
214	506	503
214	504	507
213	497	546
213	509	504
212	505	508
212	507	500
211	504	507
211	504	507
210	505	505
210	503	509
209	506	503
209	504	508
208	507	500
208	504	507
207	504	507
207	505	505
206	503	508
206	508	500
205	505	506
205	504	508
204	508	500
204	505	506
203	503	509
203	506	503
202	504	508
202	507	500
201	504	507
201	502	506
200	505	505
200	503	508
199	507	507
199	504	504
198	503	508
198	502	518
197	505	503
197	502	507
196	429	509
196	506	502
195	505	506
195	503	508
194	507	499
194	504	505
193	503	508
193	503	515
192	505	502
192	503	506
191	504	508
191	506	507
190	506	502
190	503	506
189	503	508
189	500	534
188	504	502
188	502	505
187	502	508
187	413	594
186	495	501
186	491	504
185	496	507
185	474	547
184	456	500
184	446	502
183	455	506
183	443	507
182	467	508
182	373	601
181	390	503
181	396	501
180	426	503
180	474	505
179	489	507
179	497	509
178	646	508
178	469	542
177	385	613
177	426	509
176	457	502
176	443	502
175	469	500
175	479	503
174	495	502
174	502	506
173	505	504
173	500	506
172	499	507
172	498	508
171	552	507
171	404	538
170	476	590
170	493	504
169	490	499
169	498	499
168	499	501
168	497	501
167	497	503
167	498	504
166	499	506
166	502	505
165	502	507
165	503	506
164	504	508
164	580	508
163	385	518
163	500	590
162	505	506
162	506	499
161	504	499
161	505	502
160	504	502
160	503	504
159	503	504
159	503	505
158	503	505
158	503	507
157	503	506
157	504	508
156	585	508
156	401	517
155	504	583
155	511	510
154	511	500
154	512	502
153	511	502
153	512	504
152	512	504
152	512	505
151	512	505
151	513	506
150	512	507
150	513	508
149	513	507
149	517	508
148	409	510
148	515	588
147	521	511
147	521	501
146	521	503
146	521	502
145	521	505
145	522	504
144	522	506
144	523	507
143	522	507
143	522	507
142	522	506
142	523	509
141	524	509
141	423	510
140	525	586
140	532	512
139	530	503
139	530	504
138	529	503
138	529	505
137	528	505
137	528	506
136	528	506
136	528	507
135	528	507
135	528	508
134	527	508
134	528	508
133	337	509
133	529	571
132	544	513
132	535	505
131	533	505
131	533	507
130	532	506
130	539	502
129	534	538
129	529	508
128	532	505
128	536	504
127	533	535
127	527	508
126	505	508
126	531	505
125	513	505
125	531	529
124	527	507
124	504	507
123	529	506
123	534	513
122	550	510
122	502	508
121	527	507
121	508	506
120	533	513
120	538	509
119	523	508
119	503	508
118	526	508
118	510	507
117	525	516
117	521	509
116	502	508
116	525	508
115	509	507
115	523	512
114	520	509
114	502	508
113	524	508
113	508	507
112	521	512
112	519	509
111	501	508
111	522	508
110	508	507
110	520	510
109	518	509
109	501	508
108	523	509
108	508	507
107	519	511
107	517	509
106	501	509
106	521	509
105	508	507
105	518	510
104	516	509
104	502	507
103	519	508
103	508	506
102	517	510
102	515	510
101	501	508
101	519	510
100	508	507
100	516	510
99	515	510
99	502	507
98	519	508
98	508	507
97	516	510
97	514	509
96	502	508
96	518	509
95	509	507
95	515	510
94	515	510
94	502	507
93	517	510
93	510	507
92	515	510
92	514	509
91	502	507
91	517	509
90	510	507
90	514	511
89	513	509
89	503	507
88	516	509
88	510	507
87	513	511
87	512	510
86	502	506
86	516	510
85	509	507
85	512	511
84	512	510
84	502	508
83	516	509
83	509	506
82	512	510
82	512	510
81	503	507
81	516	509
80	510	506
80	511	511
79	512	510
79	504	507
78	515	509
78	513	506
77	511	510
77	511	510
76	505	507
76	514	509
75	513	505
75	510	510
74	510	510
74	506	507
73	514	509
73	515	506
72	511	510
72	510	510
71	507	507
71	513	510
70	515	505
70	511	511
69	510	510
69	507	507
68	513	510
68	515	506
67	509	510
67	509	511
66	506	507
66	513	510
65	515	506
65	510	510
64	511	510
64	507	507
63	513	510
63	510	506
62	509	510
62	509	510
61	496	507
61	513	510
60	478	506
60	509	510
59	509	510
59	415	506
58	515	510
58	381	507
57	509	511
57	512	510
56	356	508
56	515	510
55	358	509
55	509	509
54	510	510
54	436	507
53	514	510
53	476	507
52	507	510
52	506	510
51	479	509
51	508	511
50	494	509
50	496	510
49	505	510
49	493	508
48	508	510
48	501	509
47	498	510
47	506	510
46	497	508
46	509	510
45	458	510
45	500	510
44	504	510
44	500	509
43	505	510
43	495	510
42	498	510
42	507	511
41	552	510
41	533	510
40	520	511
40	474	511
39	450	511
39	431	512
38	418	511
38	403	511
37	402	510
37	400	510
36	399	511
36	406	511
35	416	511
35	425	511
34	438	510
34	455	511
33	470	510
33	491	511
32	506	511
32	525	511
31	549	510
31	555	510
30	576	510
30	577	511
29	584	510
29	594	510
28	589	511
28	592	510
27	581	511
27	571	511
26	567	510
26	550	510
25	540	510
25	523	511
24	509	510
24	499	510
23	482	510
23	473	511
22	462	510
22	455	511
21	451	511
21	448	511
20	449	510
20	451	510
19	455	511
19	463	510
18	471	510
18	481	511
17	492	511
17	503	510
16	515	510
16	525	510
15	536	510
15	543	510
14	550	511
14	556	509
13	559	510
13	560	510
12	559	510
12	556	510
11	552	511
11	546	510
10	539	510
10	530	510
9	521	511
9	512	510
8	504	510
8	496	511
7	488	511
7	482	510
6	476	510
6	474	510
5	471	511
5	470	511
4	471	511
4	474	511
3	478	510
3	483	511
2	489	510
2	496	510
1	502	510
1	510	511
0	517	510
0	524	511
-1	529	510
-1	534	510
-2	538	510
-2	541	511
-3	541	510
-3	542	510
-4	540	511
-4	538	510
-5	534	511
-5	530	511
-6	525	511
-6	519	510
-7	514	510
-7	507	511
-8	502	510
-8	498	510
-9	493	511
-9	490	510
-10	488	510
-10	486	511
-11	485	511
-11	486	510
-12	487	510
-12	489	511
-13	492	511
-13	495	510
-14	500	510
-14	504	511
-15	509	510
-15	514	511
-16	517	510
-16	522	510
-17	525	510
-17	527	510
-18	529	510
-18	530	511
-19	530	510
-19	530	510
-20	528	510
-20	526	510
-21	523	511
-21	520	511
-22	516	510
-22	515	511
-23	509	510
-23	506	510
-24	504	510
-24	500	510
-25	499	511
-25	496	511
-26	495	510
-26	497	510
-27	495	510
-27	496	511
-28	497	511
