V2_mean	Isense_mean	dt
510	509	500
PWM	V2_read	Isense_read
0	510	509
0	510	509
0	509	509
0	510	509
20	509	510
20	508	509
20	508	510
20	510	509
22	510	510
22	510	509
22	510	510
22	510	509
24	510	509
24	510	510
24	510	509
24	510	510
26	510	509
26	511	509
26	510	509
26	514	510
28	514	510
28	510	509
28	515	509
28	516	509
30	516	509
30	511	509
30	511	510
30	511	510
32	510	509
32	511	509
32	510	510
32	510	509
35	510	509
35	510	510
35	510	510
35	520	509
37	509	509
37	510	509
37	522	509
37	510	510
39	524	509
39	510	509
39	525	509
39	511	510
41	525	509
41	512	509
41	528	509
41	513	510
43	529	510
43	517	509
43	521	510
43	540	511
45	543	510
45	536	510
45	545	509
45	575	513
48	556	510
48	625	516
48	591	511
48	598	513
50	606	510
50	559	518
50	547	516
50	542	516
52	628	510
52	506	521
52	636	509
52	495	522
54	628	511
54	482	523
54	631	511
54	467	521
56	620	511
56	569	511
56	549	523
56	616	511
58	574	511
58	634	524
58	602	510
58	734	510
61	666	526
61	473	510
61	458	511
61	504	577
63	423	511
63	448	510
63	496	576
63	433	510
65	451	511
65	497	580
65	443	510
65	459	510
67	502	582
67	452	510
67	463	510
67	501	585
69	457	511
69	467	510
69	499	581
69	466	511
71	464	510
71	496	580
71	472	510
71	465	511
74	497	577
74	479	510
74	467	511
74	491	577
76	485	510
76	471	511
76	488	580
76	488	509
78	472	510
78	487	581
78	491	510
78	475	510
80	488	582
80	494	510
80	478	510
80	491	582
82	496	510
82	480	510
82	492	582
82	498	510
84	482	510
84	493	583
84	500	510
84	484	511
87	495	582
87	502	510
87	485	510
87	496	580
89	503	510
89	487	510
89	497	579
89	505	510
91	488	510
91	498	579
91	506	510
91	489	510
93	499	579
93	508	510
93	490	510
93	500	577
95	508	510
95	491	509
95	501	576
95	509	510
97	492	510
97	501	575
97	510	509
97	492	510
100	503	579
100	512	509
100	493	509
100	502	581
102	513	509
102	493	510
102	504	580
102	513	509
104	494	510
104	505	580
104	515	509
104	494	509
106	505	580
106	516	509
106	495	509
106	506	582
108	516	509
108	494	510
108	506	582
108	517	509
110	496	509
110	507	581
110	518	508
110	496	509
113	507	581
113	519	508
113	496	508
113	507	580
115	520	508
115	497	509
115	508	581
115	521	508
117	497	508
117	509	579
117	523	507
117	497	508
119	510	578
119	523	507
119	497	509
119	512	577
121	525	507
121	499	508
121	511	576
121	525	507
123	499	508
123	511	581
123	526	506
123	499	509
126	511	581
126	528	506
126	499	508
126	513	579
128	527	506
128	499	507
128	515	576
128	529	505
130	499	508
130	514	576
130	531	505
130	499	507
132	515	576
132	531	505
132	499	506
132	515	575
134	531	504
134	500	507
134	517	577
134	531	503
136	499	507
136	504	507
136	523	509
136	498	507
