V2_mean	Isense_mean	dt
509	510	500
PWM	V2_read	Isense_read
0	509	510
0	509	510
39	509	512
39	511	510
40	510	510
40	511	510
42	511	511
42	513	511
44	515	511
44	522	510
46	530	510
46	547	511
48	562	510
48	583	511
50	602	511
50	622	511
52	644	510
52	664	511
54	683	511
54	701	511
55	716	512
55	720	511
57	718	511
57	711	510
59	705	511
59	693	512
61	679	511
61	725	511
63	765	511
63	759	512
65	753	511
65	741	512
67	733	512
67	817	531
69	717	512
69	705	512
71	692	512
71	681	513
72	669	512
72	657	513
74	644	514
74	636	513
76	625	513
76	616	513
78	607	514
78	608	514
80	622	513
80	639	514
82	646	514
82	638	515
84	627	515
84	617	515
86	606	515
86	598	516
88	588	516
88	580	516
89	570	516
89	560	516
91	550	516
91	550	517
93	568	518
93	593	518
95	612	518
95	621	518
97	611	519
97	509	532
99	590	519
99	582	520
101	472	529
101	564	520
103	553	521
103	545	522
105	533	522
105	526	521
106	532	523
106	561	525
108	583	524
108	606	526
110	610	525
110	602	526
112	590	526
112	485	529
114	570	528
114	563	530
116	447	530
116	434	527
118	419	530
118	520	531
120	509	529
120	527	535
122	560	535
122	583	538
123	599	538
123	605	536
125	595	537
125	588	539
127	578	538
127	462	526
129	447	529
129	434	526
131	539	540
131	532	540
133	521	538
133	517	543
135	534	547
135	571	552
137	589	547
137	601	553
139	605	548
139	594	550
140	583	552
140	575	549
142	567	552
142	440	526
144	546	554
144	540	549
146	531	554
146	525	550
148	516	554
148	538	558
150	567	558
150	580	559
152	591	555
152	595	558
154	586	556
154	596	556
156	589	557
156	614	555
157	576	559
157	422	527
159	406	525
159	393	527
161	378	525
161	386	528
163	426	526
163	468	527
165	497	526
165	514	526
167	866	553
167	906	553
169	896	553
169	936	551
171	911	551
171	912	551
173	859	554
173	407	526
174	391	526
174	377	526
176	396	527
176	437	528
178	473	528
178	505	527
180	515	528
180	510	525
182	493	528
182	479	525
184	460	528
184	451	527
186	578	554
186	562	554
188	591	554
188	392	527
190	380	527
190	406	527
191	448	529
191	485	529
193	508	529
193	522	552
195	592	552
195	576	551
197	559	551
197	544	550
199	528	550
199	513	551
201	434	529
201	420	530
203	393	526
203	462	553
205	493	553
205	537	550
207	572	550
207	596	549
208	604	547
208	589	547
210	571	547
210	555	546
212	539	546
212	523	546
214	506	546
214	492	546
216	442	535
216	428	534
218	424	536
218	474	540
220	530	542
220	571	543
222	592	542
222	598	542
224	582	542
224	566	541
255	547	542
255	535	542
255	521	542
255	507	543
255	494	542
255	480	542
255	468	543
255	456	543
255	465	544
255	497	545
255	533	545
255	561	545
255	586	544
255	594	544
255	591	542
255	575	543
255	559	543
255	544	543
255	529	543
255	515	543
255	499	544
255	488	543
255	475	544
255	462	543
255	449	543
255	455	545
255	484	545
255	519	546
255	552	545
255	576	546
255	590	544
255	588	543
255	573	543
255	557	544
255	542	543
255	527	544
255	513	543
255	499	544
255	485	544
255	471	544
255	458	543
255	446	543
255	444	544
255	471	546
255	507	546
255	540	546
255	569	545
255	585	545
255	586	544
255	572	544
255	556	543
255	541	543
255	526	545
255	511	543
255	497	544
255	482	543
255	470	543
255	458	544
255	446	543
255	438	545
255	463	546
255	500	546
255	534	546
255	563	546
255	581	545
255	585	544
255	573	544
255	556	544
255	542	544
255	526	544
255	511	543
255	499	543
255	483	544
255	470	543
255	457	543
255	444	544
255	437	545
255	459	546
255	491	546
255	529	546
255	559	546
255	578	545
255	585	544
255	574	544
255	558	544
255	542	543
255	528	544
255	513	544
255	499	544
255	485	544
255	471	544
255	459	543
255	446	544
255	436	544
255	455	546
255	490	546
255	526	546
255	556	546
255	576	545
255	585	545
255	576	544
255	559	545
255	544	544
255	529	544
255	514	544
255	500	544
255	486	544
255	472	544
255	459	545
255	446	543
255	435	545
255	448	546
255	481	546
255	519	547
255	549	546
255	573	544
255	583	545
255	579	544
255	563	544
255	547	544
255	532	544
255	517	545
255	503	545
255	489	544
255	475	544
255	462	544
255	448	544
255	437	544
255	442	546
255	476	547
255	513	546
255	546	546
255	569	545
255	582	545
255	579	544
255	564	544
255	548	543
255	533	544
255	518	544
255	504	543
255	490	544
255	477	544
255	462	544
255	449	543
255	437	544
255	437	545
255	466	546
255	504	546
255	537	545
255	565	545
255	581	545
255	581	544
255	568	544
255	551	544
255	536	544
255	521	544
255	506	544
255	492	544
255	479	544
255	465	544
255	452	544
255	440	544
255	436	545
255	461	546
255	499	546
255	533	546
255	562	545
255	579	545
255	582	545
255	568	543
255	553	544
255	537	544
255	523	544
255	508	543
255	494	544
255	479	544
255	466	544
255	453	544
255	441	543
255	436	545
255	456	546
255	487	548
255	529	546
255	558	546
255	578	545
255	584	544
255	573	544
255	556	543
255	541	544
255	526	544
255	511	544
255	497	543
255	483	544
255	469	544
255	456	544
255	444	544
255	434	544
255	452	546
255	488	546
255	523	546
255	556	545
255	575	545
255	584	545
