V2_mean	Isense_mean	dt
509	510	500
PWM	V2_read	Isense_read
0	510	511
39	509	510
40	510	510
42	525	510
44	512	511
46	541	514
48	540	511
50	635	518
52	605	510
54	510	521
55	695	511
57	494	510
59	612	519
61	801	511
63	1023	521
65	861	511
67	987	520
69	843	512
71	841	523
72	812	513
74	755	525
76	782	512
78	707	524
80	756	512
82	679	526
84	734	513
86	654	513
88	643	525
89	702	514
91	620	528
93	692	516
95	629	527
97	705	517
99	629	527
101	688	519
103	606	526
105	671	519
106	587	526
108	652	521
110	562	526
112	635	523
114	542	524
116	532	525
118	616	528
120	526	526
122	634	531
123	574	525
125	661	534
127	590	525
129	658	536
131	562	525
133	641	540
135	537	525
137	630	540
139	514	523
140	613	544
142	489	544
144	477	526
146	586	547
148	472	525
150	606	551
152	534	526
154	626	554
156	567	524
157	666	549
159	543	524
161	714	552
163	517	525
165	792	550
167	493	523
169	834	549
171	468	549
173	455	525
174	846	550
176	445	524
178	809	554
180	514	526
182	719	552
184	555	527
186	654	549
188	539	525
190	604	549
191	512	526
193	573	548
195	486	526
197	543	549
199	465	547
201	455	527
203	504	547
205	447	528
207	536	548
208	534	534
210	605	547
212	587	534
214	626	543
216	590	535
218	596	542
220	572	538
222	566	541
224	548	539
255	537	542
255	525	540
255	512	540
255	499	540
255	487	541
255	494	542
255	524	544
255	557	542
255	589	543
255	606	543
255	615	542
255	605	541
255	590	541
255	574	541
255	559	541
255	545	541
255	531	542
255	517	541
255	503	542
255	491	541
255	478	542
255	465	542
255	476	544
255	506	544
255	543	544
255	573	544
255	595	544
255	602	543
255	594	543
255	577	542
255	563	542
255	549	542
255	532	543
255	519	543
255	505	543
255	491	543
255	479	542
255	466	543
255	454	543
255	465	544
255	499	545
255	535	545
255	565	545
255	585	545
255	595	543
255	586	544
255	570	542
255	555	543
255	539	543
255	524	543
255	511	544
255	497	543
255	483	543
255	470	543
255	457	543
255	446	543
255	459	545
255	491	545
255	529	545
255	560	545
255	582	544
255	591	544
255	584	543
255	568	544
255	552	543
255	537	543
255	521	543
255	507	543
255	493	543
255	480	544
255	467	543
255	454	543
255	443	544
255	455	545
255	489	547
255	526	546
255	556	546
255	577	545
255	588	544
255	580	544
255	564	544
255	548	544
255	533	543
255	518	544
255	503	544
255	490	543
255	476	544
255	462	544
255	450	544
255	437	544
255	452	546
255	485	546
255	523	546
255	555	546
255	577	545
255	587	544
255	580	543
255	563	543
255	548	544
255	533	544
255	518	544
255	503	544
255	489	544
255	475	544
255	462	543
255	449	544
255	438	544
255	449	545
255	484	546
255	521	546
255	555	546
255	575	546
255	586	544
255	578	544
255	562	544
255	546	544
255	532	544
255	515	544
255	501	544
255	488	544
255	473	544
255	460	544
255	447	544
255	436	545
255	451	546
255	483	546
255	521	546
255	550	547
255	575	545
255	584	544
255	578	544
255	562	543
255	547	544
255	532	544
255	517	544
255	502	544
255	488	545
255	475	544
255	461	543
255	448	544
255	437	544
255	449	546
255	481	547
255	519	546
255	552	547
255	573	546
255	586	545
255	578	544
255	562	544
255	547	544
255	531	544
255	516	544
255	502	544
255	488	544
255	474	544
255	457	543
255	447	543
255	435	544
255	445	546
255	477	546
255	515	546
255	547	546
255	572	545
255	582	545
255	578	544
255	561	544
255	546	544
255	531	544
255	516	544
255	501	544
255	487	544
255	474	544
255	461	544
255	447	544
255	435	544
255	448	545
255	480	547
255	518	546
255	551	546
255	571	546
255	584	544
255	577	544
255	561	544
255	545	544
255	530	544
255	515	544
255	501	544
255	487	544
255	473	544
255	459	544
255	445	543
255	434	543
255	443	546
255	476	547
255	514	547
255	545	546
255	571	545
255	582	545
255	578	544
255	562	544
255	546	544
255	531	544
255	517	544
255	502	544
255	488	544
255	474	544
255	461	544
255	447	544
255	436	544
255	444	545
255	476	546
255	514	546
255	547	546
255	569	546
255	583	545
255	578	545
255	563	545
255	547	544
255	531	544
255	517	544
255	502	544
255	487	543
255	475	543
255	461	544
255	448	544
255	435	544
255	440	546
255	472	547
255	509	546
255	541	546
255	568	545
255	581	545
255	580	544
255	564	544
255	548	544
255	533	544
255	519	544
255	503	544
255	489	544
255	476	544
255	462	544
255	453	544
255	436	543
255	440	546
255	470	546
255	508	546
255	543	546
255	567	546
255	583	545
255	580	544
255	565	544
255	548	544
255	533	544
255	518	544
255	503	545
255	489	544
255	476	543
255	462	544
255	448	544
255	436	544
255	444	545
255	474	547
255	511	547
255	540	546
255	570	545
255	581	545
255	580	545
255	564	543
255	549	544
255	533	544
255	519	544
255	504	544
255	491	544
255	476	544
255	462	543
255	450	544
255	437	544
255	440	545
255	470	547
255	507	547
255	541	546
255	567	547
255	582	544
255	581	543
255	566	543
255	550	544
255	535	545
255	520	544
255	505	544
255	491	544
255	477	544
255	463	544
255	450	544
255	438	544
255	436	545
255	464	547
255	501	546
255	534	546
255	564	546
255	580	545
255	581	544
255	567	544
