V2_mean	Isense_mean	dt
509	510	500
PWM	V2_read	Isense_read
0	510	511
0	510	511
0	509	511
0	510	511
0	510	511
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
39	510	511
39	511	511
39	511	512
39	512	511
39	512	510
39	512	510
39	511	511
39	512	511
39	511	510
39	511	511
40	511	511
40	511	511
40	511	510
40	511	511
40	511	510
40	510	511
40	511	511
40	511	511
40	514	510
40	511	511
42	511	511
42	512	511
42	513	511
42	516	510
42	517	511
42	518	510
42	518	511
42	518	511
42	518	510
42	521	510
44	517	511
44	521	511
44	526	511
44	530	510
44	533	511
44	534	511
44	535	511
44	534	511
44	532	510
44	529	511
46	526	511
46	534	511
46	543	511
46	549	511
46	552	511
46	551	511
46	550	510
46	548	511
46	544	511
46	540	511
48	535	510
48	544	510
48	555	511
48	561	511
48	564	511
48	563	511
48	563	510
48	558	512
48	553	511
48	548	511
50	542	511
50	550	511
50	563	511
50	571	511
50	571	511
50	570	510
50	567	511
50	562	511
50	556	511
50	550	510
52	544	510
52	632	524
52	567	511
52	572	511
52	573	511
52	571	510
52	566	511
52	561	511
52	557	511
52	551	511
54	546	511
54	556	511
54	569	511
54	573	511
54	572	511
54	568	512
54	563	511
54	665	523
54	685	525
54	544	511
55	538	511
55	542	511
55	551	511
55	556	511
55	555	511
55	553	512
55	549	511
55	544	511
55	539	511
55	533	512
57	529	512
57	539	512
57	550	511
57	820	523
57	815	527
57	829	524
57	845	524
57	555	511
57	558	512
57	557	512
59	553	511
59	543	511
59	457	510
59	394	511
59	400	511
59	405	512
59	420	511
59	418	511
59	416	511
59	505	522
61	428	510
61	426	511
61	426	511
61	423	511
61	438	511
61	437	511
61	436	511
61	433	510
61	448	511
61	448	511
63	447	511
63	444	511
63	460	510
63	459	511
63	458	511
63	455	511
63	471	511
63	470	510
63	469	511
63	466	510
65	479	511
65	477	511
65	477	510
65	474	510
65	486	510
65	484	510
65	482	511
65	480	511
65	491	511
65	489	510
67	487	510
67	539	511
67	487	509
67	482	509
67	479	509
67	540	511
67	491	509
67	486	509
67	483	510
67	544	510
69	493	508
69	489	508
69	495	511
69	495	511
69	502	511
69	499	510
69	498	510
69	547	511
69	503	510
69	501	510
71	490	509
71	552	510
71	501	508
71	496	508
71	492	509
71	555	510
71	502	507
71	497	508
71	493	509
71	557	510
72	509	514
72	506	511
72	503	511
72	455	509
72	507	578
72	502	508
72	497	508
72	465	509
72	508	580
72	503	510
74	505	510
74	503	511
74	511	514
74	507	509
74	505	511
74	504	510
74	507	580
74	504	507
74	499	508
74	505	510
76	507	511
76	511	510
76	508	510
76	506	510
76	507	510
76	511	510
76	510	510
76	506	510
76	507	510
76	511	510
78	509	510
78	507	510
78	550	509
78	506	507
78	501	508
78	497	509
78	552	509
78	507	507
78	502	507
78	498	508
80	554	509
80	506	508
80	501	508
80	497	508
80	552	509
80	515	514
80	512	510
80	509	510
80	490	509
80	509	578
82	504	507
82	498	509
82	486	509
82	508	574
82	504	510
82	511	510
82	508	510
82	517	514
82	512	510
82	510	510
84	508	510
84	507	579
84	503	507
84	499	508
84	510	510
84	511	510
84	515	511
84	512	510
84	509	510
84	510	510
86	516	510
86	512	510
86	509	510
86	507	574
86	514	510
86	511	510
86	509	510
86	518	514
86	502	508
86	510	510
88	511	511
88	516	510
88	513	510
88	510	510
88	511	510
88	516	509
88	513	511
88	511	510
88	511	511
88	516	510
89	513	510
89	511	510
89	512	510
89	516	510
89	513	510
89	511	509
89	512	509
89	516	510
89	513	510
89	511	509
91	512	510
91	516	510
91	513	509
91	511	510
91	512	510
91	517	509
91	513	510
91	511	509
91	513	510
91	517	510
93	514	510
93	512	510
93	513	510
93	518	510
93	515	509
93	512	510
93	513	510
93	518	510
93	515	510
93	512	510
95	514	510
95	518	509
95	515	510
95	512	510
95	514	510
95	519	509
95	515	509
95	513	509
95	514	510
95	518	509
97	515	510
97	513	510
97	514	510
97	518	509
97	516	509
97	513	510
97	515	510
97	519	509
97	516	510
97	513	510
99	514	510
99	519	509
99	516	510
99	514	510
99	516	510
99	520	509
99	516	510
99	514	510
99	517	510
99	520	509
101	516	510
101	514	510
101	516	510
101	520	509
101	517	510
101	514	509
101	516	510
101	521	509
101	516	510
101	514	510
103	516	510
103	520	509
103	517	509
103	514	509
103	517	510
103	521	509
103	517	509
103	515	509
103	517	510
103	520	509
105	517	509
105	516	508
105	516	510
105	520	509
105	518	509
105	515	509
105	518	510
105	521	508
105	518	509
105	514	509
106	518	511
106	521	509
106	520	509
106	516	509
106	517	510
106	521	509
106	518	509
106	515	510
106	517	510
106	521	509
108	518	509
108	516	509
108	518	509
108	522	508
108	519	509
108	517	509
108	519	510
108	522	509
108	519	510
108	517	509
110	519	511
110	523	508
110	520	509
110	518	509
110	520	510
110	523	508
110	520	509
110	518	509
110	520	511
110	523	508
112	520	509
112	518	509
112	520	511
