V2_mean	Isense_mean	dt
510	510	500
PWM	V2_read	Isense_read
0	511	510
0	510	511
0	510	511
0	511	510
0	510	511
0	510	510
0	511	510
0	510	510
0	510	510
0	511	510
0	510	511
0	509	511
0	510	510
0	509	511
0	509	509
0	510	510
0	509	511
0	509	510
0	509	510
0	510	510
0	508	511
0	509	511
0	510	510
0	509	510
0	510	511
0	510	510
0	510	510
0	510	510
0	509	510
0	510	511
0	510	510
0	510	511
0	510	509
0	510	510
0	510	510
0	511	511
0	510	511
0	511	510
0	510	510
0	511	511
0	510	510
0	510	510
0	510	511
0	510	510
0	511	511
0	510	510
0	511	511
0	511	510
0	510	510
0	510	510
0	510	511
0	509	511
0	509	511
0	509	510
0	509	511
0	509	510
0	509	510
0	509	510
0	509	510
0	510	510
0	509	510
0	510	510
0	510	510
0	510	510
0	510	510
0	511	511
0	511	510
0	511	511
0	511	510
0	510	510
0	510	510
0	511	509
0	510	510
0	511	511
0	510	511
0	510	511
0	510	510
0	510	511
0	510	511
0	511	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	509	510
0	509	510
0	509	510
0	510	510
0	510	510
0	509	510
0	509	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	511	510
0	510	510
0	511	511
0	511	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	509	510
0	509	511
0	509	511
0	509	510
0	508	510
0	509	510
0	509	510
0	509	510
0	510	510
0	509	510
0	510	510
0	510	510
0	510	510
0	509	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	511	511
0	510	511
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	511	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	509	510
0	510	510
0	509	510
0	509	510
0	509	510
0	509	510
0	511	510
0	510	510
0	510	510
0	509	510
0	510	510
0	512	511
0	511	510
0	512	511
0	511	510
0	511	510
0	511	511
0	511	511
0	511	510
0	510	511
0	509	511
0	510	511
0	510	509
0	510	510
0	510	511
0	510	510
0	510	510
0	510	511
0	509	510
0	511	510
0	509	510
0	509	510
0	510	510
0	510	510
0	509	510
0	510	511
0	509	510
0	510	510
0	510	511
0	510	510
0	509	511
0	509	511
0	510	510
0	509	511
125	510	510
122	538	507
122	541	515
122	543	506
122	538	507
123	536	507
122	539	515
122	541	506
122	537	506
123	534	508
122	538	516
125	520	506
122	538	506
123	533	507
123	527	509
123	522	505
125	514	506
123	533	508
