V2_mean	Isense_mean	dt
509	510	500
PWM	V2_read	Isense_read
0	509	511
0	509	510
0	510	511
0	510	511
0	509	510
0	509	511
0	510	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	511
0	510	510
0	510	510
0	514	511
0	510	511
0	510	510
0	510	511
0	511	510
0	511	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	509	511
0	510	510
0	510	510
0	510	510
0	510	510
0	509	511
0	509	510
0	509	511
0	510	511
0	509	510
0	509	511
0	510	510
0	509	510
0	509	509
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	511
0	511	510
0	510	511
0	510	511
0	510	511
0	510	510
0	510	510
0	514	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	511
0	510	511
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	509	510
0	509	511
0	509	511
0	509	510
0	509	510
0	509	511
0	510	511
0	509	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	511	511
0	511	510
0	510	510
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	509	511
0	510	511
0	510	510
0	509	510
0	509	511
0	509	510
0	509	510
0	509	511
0	509	511
0	509	511
0	510	511
0	509	510
0	509	511
0	510	511
0	510	510
0	510	510
0	508	510
0	509	511
0	510	510
0	510	510
0	510	511
0	510	511
0	509	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	509	510
0	510	511
0	510	511
0	510	510
0	510	510
0	509	510
0	510	511
0	510	510
0	509	511
0	509	510
0	509	511
0	510	511
0	510	510
0	509	511
0	510	510
0	510	510
0	510	511
0	510	511
0	508	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	511	510
0	511	511
0	510	510
0	510	510
0	510	510
0	510	510
0	509	511
0	510	510
0	509	511
0	510	510
0	509	510
0	509	510
0	510	510
0	509	510
0	509	510
0	509	510
0	509	511
0	509	510
0	510	510
0	509	511
0	509	511
0	509	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	511
0	511	510
0	510	511
0	510	511
0	510	511
0	510	511
0	511	510
0	510	510
0	510	511
0	510	510
0	510	511
0	509	510
0	510	510
0	510	511
0	509	511
0	509	511
0	510	510
0	510	511
0	509	511
0	509	510
0	509	511
0	509	511
0	509	510
0	510	510
0	511	510
0	510	511
0	510	511
0	511	511
0	510	510
0	510	511
0	510	511
0	511	511
0	510	510
0	510	511
0	510	510
0	511	511
0	510	510
0	510	511
0	510	510
0	510	511
0	510	511
0	510	510
0	510	510
0	510	511
0	510	510
0	509	510
0	510	510
0	509	510
0	509	511
0	509	511
0	509	510
0	507	510
0	509	511
0	510	511
0	510	511
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	511	510
0	510	510
0	510	511
0	510	510
0	510	510
0	509	511
0	510	510
0	510	510
0	510	510
0	510	511
0	509	511
0	510	510
0	510	510
0	509	510
0	510	511
0	510	510
0	512	511
0	509	510
0	509	510
0	509	510
0	510	511
0	510	511
0	510	511
0	510	510
0	509	511
0	510	511
0	510	511
0	511	511
0	509	510
0	510	510
0	511	511
0	511	511
0	510	510
0	510	510
0	511	511
0	512	511
0	510	510
0	510	510
0	510	510
0	510	510
0	509	510
0	510	510
0	510	510
0	509	511
0	510	510
0	510	510
0	510	511
0	509	511
0	509	511
0	509	510
0	509	511
0	509	510
0	509	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	508	510
0	511	511
0	510	510
0	510	511
0	511	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	511
0	510	511
0	509	511
0	510	510
0	509	510
0	509	511
0	509	510
0	509	510
0	509	510
0	509	510
0	509	510
0	509	511
0	509	511
0	510	511
0	510	510
0	510	510
0	510	510
0	509	511
0	510	510
0	511	511
0	510	510
0	510	511
0	511	511
0	510	511
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	509	511
0	508	511
0	509	510
0	509	511
0	509	510
0	509	511
0	510	510
0	509	511
0	510	511
0	510	510
0	510	511
0	509	511
0	509	510
0	509	510
0	510	511
0	510	510
0	510	510
0	510	510
0	511	510
0	510	511
0	511	511
0	510	510
0	510	511
0	510	511
0	510	511
0	510	509
0	510	510
0	511	510
0	509	511
0	510	511
0	509	511
0	509	510
0	511	511
0	509	511
0	510	511
0	509	510
0	508	510
0	509	511
0	510	510
0	510	510
0	510	510
0	509	511
0	509	510
0	511	511
