V2_mean	Isense_mean	dt
509	510	500
PWM	V2_read	Isense_read
0	510	511
0	509	511
39	510	511
39	512	510
40	512	511
40	513	510
42	514	510
42	517	510
44	520	511
44	535	510
46	549	511
46	585	511
48	611	511
48	645	511
50	674	511
50	701	511
52	736	511
52	766	511
54	807	511
54	834	511
55	860	511
55	871	511
57	868	510
57	853	511
59	843	511
59	815	512
61	787	511
61	869	511
63	949	511
63	960	512
65	935	512
65	917	513
67	885	511
67	867	511
69	845	511
69	824	513
71	803	513
71	784	513
72	765	512
72	745	513
74	725	513
74	714	513
76	723	513
76	742	514
78	751	513
78	739	514
80	720	514
80	702	514
82	684	514
82	668	514
84	651	515
84	638	515
86	622	515
86	611	515
88	595	515
88	587	516
89	606	516
89	640	516
91	669	517
91	682	517
93	670	517
93	653	517
95	635	517
95	622	518
97	604	518
97	462	529
99	441	530
99	427	530
101	550	520
101	539	521
103	539	521
103	581	523
105	619	523
105	647	523
106	658	523
106	642	523
108	623	524
108	608	525
110	592	525
110	582	526
112	563	526
112	411	529
114	385	527
114	365	529
116	499	528
116	526	531
118	574	532
118	605	536
120	629	531
120	632	534
122	619	536
122	602	535
123	587	536
123	574	536
125	556	535
125	541	537
127	522	536
127	355	529
129	329	528
129	317	528
131	362	530
131	438	527
133	495	529
133	625	549
135	634	544
135	609	547
137	595	551
137	573	545
139	560	550
139	542	548
140	530	549
140	520	547
142	512	546
142	311	525
144	487	551
144	500	555
146	564	555
146	606	557
148	624	553
148	638	556
150	623	553
150	612	557
152	597	554
152	582	556
154	567	555
154	553	555
156	538	555
156	526	554
157	508	555
157	306	528
159	372	527
159	445	527
161	496	527
161	527	526
163	519	527
163	496	524
165	469	527
165	445	524
167	420	526
167	396	525
169	369	525
169	345	526
171	686	556
171	682	557
173	776	557
173	389	526
174	453	527
174	501	525
176	519	527
176	519	525
178	492	527
178	469	554
180	733	553
180	682	554
182	698	554
182	666	554
184	706	553
184	680	553
186	300	526
186	337	529
188	408	527
188	615	555
190	662	554
190	678	552
191	657	551
191	625	552
193	595	551
193	568	551
195	539	551
195	512	551
197	486	552
197	459	551
199	435	552
199	419	554
201	345	529
201	450	531
203	511	534
203	560	533
205	575	532
205	566	533
207	540	532
207	522	535
208	496	534
208	471	534
210	442	533
210	419	533
212	390	533
212	426	547
214	420	550
214	480	549
216	507	538
216	603	540
218	637	540
218	666	539
220	653	543
220	622	542
222	591	542
222	561	543
224	531	543
224	503	543
255	473	543
255	452	541
255	430	542
255	416	543
255	454	543
255	515	545
255	577	544
255	628	544
255	661	543
255	668	542
255	647	542
255	617	542
255	590	543
255	563	541
255	537	542
255	511	542
255	486	543
255	462	543
255	439	542
255	415	543
255	400	543
255	430	544
255	494	545
255	558	546
255	613	544
255	649	544
255	661	542
255	642	543
255	612	543
255	584	543
255	557	543
255	531	543
255	505	543
255	480	542
255	455	543
255	432	543
255	408	543
255	390	543
255	419	544
255	476	546
255	544	544
255	599	545
255	637	545
255	653	543
255	640	543
255	611	543
255	583	543
255	555	543
255	529	543
255	503	543
255	478	543
255	453	543
255	430	543
255	406	543
255	386	543
255	405	545
255	463	546
255	529	546
255	589	545
255	629	545
255	651	544
255	639	543
255	611	544
255	583	543
255	556	544
255	529	543
255	503	544
255	478	543
255	452	544
255	428	543
255	407	542
255	383	543
255	390	545
255	443	546
255	512	545
255	569	546
255	618	545
255	643	544
255	640	544
255	614	543
255	585	543
255	557	543
255	531	543
255	504	544
255	479	543
255	453	543
255	430	544
255	406	543
255	383	543
255	382	545
255	432	546
255	498	546
255	563	546
255	611	545
255	641	544
255	643	543
255	617	543
255	587	543
255	560	543
255	533	543
255	507	544
255	481	543
255	456	543
255	432	543
255	408	542
255	386	543
255	379	544
255	423	546
255	487	546
255	550	545
255	603	545
255	636	545
255	643	544
255	621	543
255	592	543
255	564	544
255	537	543
255	511	543
255	485	544
255	459	543
255	435	543
255	411	544
255	389	543
255	375	545
255	410	546
255	477	545
255	541	545
255	598	545
255	634	544
255	645	544
255	626	544
255	596	543
255	568	544
255	540	544
255	514	544
255	488	543
255	463	543
255	439	543
255	415	543
255	392	543
255	376	543
255	409	546
255	468	546
255	536	545
255	589	546
255	627	544
255	642	544
255	627	543
255	599	543
255	571	544
255	544	544
255	517	543
255	491	543
255	466	544
255	441	544
255	417	543
255	394	543
255	375	544
255	398	545
255	458	546
255	525	545
255	585	545
255	624	545
255	646	545
255	633	544
255	605	544
255	577	543
255	551	544
255	523	544
255	496	543
255	471	544
255	446	543
255	421	543
255	398	543
255	376	543
255	384	546
255	441	545
255	510	546
255	565	546
255	615	544
255	637	543
255	635	544
255	608	544
255	579	544
255	551	543
255	524	543
255	498	543
255	473	543
255	449	544
255	423	543
255	398	543
255	378	543
255	383	545
255	436	546
255	503	546
255	564	545
255	611	545
255	640	545
255	639	544
255	614	543
255	585	543
255	556	544
255	530	544
