V2_mean	Isense_mean	dt
510	509	500
PWM	V2_read	Isense_read
0	510	510
0	509	510
0	509	510
0	509	509
0	509	510
0	509	510
0	509	509
0	510	510
0	510	509
0	510	509
0	510	509
0	511	509
0	510	509
0	510	509
0	511	509
0	511	509
0	511	509
0	510	510
0	511	510
0	513	510
0	511	510
0	511	509
0	510	510
0	510	509
0	510	510
0	511	509
0	510	510
0	507	509
0	509	509
0	509	510
0	509	509
0	509	510
0	510	510
0	509	510
0	509	509
0	509	509
0	509	510
0	509	509
0	509	510
0	509	509
0	509	509
0	510	509
0	511	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	509
0	511	509
0	511	510
0	511	510
0	511	510
0	511	510
0	511	510
0	511	509
0	511	510
0	511	510
0	510	509
0	510	509
0	510	510
0	510	509
0	510	510
0	509	510
0	510	509
0	510	509
0	509	510
0	509	510
0	509	509
0	509	510
0	509	509
0	509	509
0	510	510
0	509	510
0	509	509
0	509	510
0	510	509
0	512	510
0	510	509
0	510	509
0	510	509
0	510	509
0	510	509
0	511	509
0	511	510
0	512	510
0	511	510
0	511	509
0	511	510
0	511	510
0	511	509
0	512	510
0	510	510
0	510	509
0	510	510
0	510	508
0	510	509
0	510	509
0	509	509
0	509	510
0	509	510
0	509	509
0	509	510
0	509	510
0	509	509
0	508	509
0	509	510
0	509	509
0	509	509
0	510	510
0	510	509
0	510	509
0	510	510
0	510	509
0	510	509
0	510	509
0	510	510
0	510	509
0	511	510
0	511	509
0	511	509
0	511	510
0	511	510
0	510	509
0	510	510
0	510	510
0	510	509
0	510	510
0	511	509
0	510	509
0	510	509
0	510	510
0	509	510
0	510	510
0	509	510
0	509	510
0	509	510
0	509	510
0	509	509
0	509	510
0	509	509
0	509	510
0	509	509
0	509	510
0	510	509
0	510	510
0	510	509
0	510	509
0	510	510
0	510	509
0	510	509
0	511	510
0	510	510
0	511	510
0	511	510
0	510	509
0	511	510
0	511	509
0	511	509
0	511	509
0	510	509
0	510	509
0	510	509
0	510	510
0	510	509
0	510	510
0	510	510
0	509	510
0	509	509
0	509	510
0	509	510
0	508	510
0	509	510
0	509	509
0	509	510
0	509	509
0	509	510
0	509	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	509
0	511	509
0	510	510
0	510	510
0	510	510
0	510	509
0	511	510
0	511	510
0	511	510
0	510	510
0	510	510
0	510	509
0	510	510
0	510	509
0	510	509
0	510	509
0	509	510
0	509	509
39	509	509
40	524	509
41	512	510
42	512	510
43	522	510
44	514	509
45	523	510
46	526	510
47	539	510
48	558	510
48	585	510
49	605	510
50	628	510
51	653	510
51	676	510
52	694	510
52	705	509
53	713	509
53	715	511
54	714	510
54	708	510
55	703	510
56	694	509
56	525	519
