V2_mean	Isense_mean	dt	V2Ref_set
510	510	500	61
PWM	V2_read	Isense_read
0	510	510
0	510	511
0	509	510
0	510	511
0	510	511
0	510	510
0	510	510
0	509	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	509	510
0	510	511
0	510	511
0	510	510
0	509	511
0	510	510
0	510	510
0	510	511
0	509	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	509	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	511	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	509	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	508	510
0	509	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	511
0	510	510
0	508	511
0	510	509
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	509	510
0	509	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	511	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	509	510
0	510	510
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	511	510
0	510	509
0	510	510
0	510	511
0	510	511
0	510	511
0	510	510
0	511	510
0	510	510
0	510	510
0	510	510
0	510	510
39	511	510
40	520	510
41	519	510
43	513	510
46	517	510
49	543	511
53	612	511
54	771	513
54	766	511
51	657	515
47	883	511
40	775	511
-46	772	511
-57	592	509
-66	437	518
-75	451	520
-82	407	511
-87	413	512
-90	425	512
-92	458	517
-92	439	512
-91	462	517
-89	445	512
-86	468	515
-81	469	514
-75	430	512
-68	474	516
-60	429	511
-49	431	510
39	349	508
54	262	509
69	836	516
83	569	509
97	548	514
112	513	508
126	543	507
142	550	502
157	496	574
174	396	509
193	399	511
214	526	508
255	505	505
255	505	501
255	501	509
255	502	507
255	505	503
255	212	510
255	502	508
255	504	505
255	479	535
255	501	510
255	503	506
255	504	500
255	501	509
255	502	507
255	505	502
255	502	510
255	502	508
255	504	504
255	465	576
255	501	509
255	503	506
255	503	501
255	501	509
255	502	507
255	504	501
255	501	510
255	501	507
255	503	504
255	445	606
255	500	509
255	502	506
255	501	501
255	500	509
255	502	507
255	504	501
255	500	509
255	501	509
255	502	503
255	432	602
255	501	509
255	502	505
255	500	503
255	500	509
255	501	507
255	504	501
255	500	509
255	501	508
255	503	503
255	424	548
255	501	508
255	502	505
255	498	503
255	500	510
255	501	506
255	504	501
255	500	510
255	501	508
255	503	503
255	433	528
255	501	509
255	502	505
255	496	506
255	501	509
255	501	507
255	504	501
255	500	509
255	501	507
255	503	503
255	406	519
255	500	509
255	503	504
255	494	507
255	500	508
255	501	506
255	504	501
255	500	510
255	501	508
255	503	503
255	509	518
255	500	509
255	502	505
255	492	512
255	500	509
255	501	507
255	504	501
255	502	509
255	500	507
255	503	503
255	577	509
255	500	508
255	502	505
255	490	513
255	500	509
255	501	506
-255	503	501
-255	498	517
-255	497	517
-255	498	516
