V2_mean	Isense_mean	dt	V2Ref_set
509	510	500	31
PWM	V2_read	Isense_read
0	511	510
0	510	510
0	511	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	509	510
0	509	510
0	509	510
0	510	511
0	510	510
0	509	511
0	510	510
0	509	511
0	510	511
0	509	510
0	510	510
0	509	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	511	511
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	509	511
0	510	510
0	509	510
0	510	511
0	509	510
0	510	510
0	509	510
0	509	511
0	509	511
0	510	511
0	509	511
0	510	511
0	509	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	511
0	510	510
0	511	511
0	511	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	509	511
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	509	511
0	510	511
0	509	511
0	510	510
0	509	511
0	509	510
0	509	511
0	510	511
0	509	510
0	510	510
0	510	511
0	510	511
0	510	511
0	510	510
0	510	511
0	510	511
0	510	510
0	511	511
0	510	511
0	510	510
0	510	511
0	511	510
0	510	510
0	510	511
0	510	510
0	510	511
0	510	511
0	510	511
0	510	511
0	510	510
0	509	510
0	510	510
0	509	509
0	510	510
0	509	510
0	509	510
0	509	510
0	510	511
0	509	511
0	510	511
0	509	510
0	510	510
0	509	511
0	510	511
0	509	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	511
0	511	511
0	510	511
0	510	510
0	510	510
0	510	511
0	510	511
0	510	511
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	509	511
0	510	510
0	510	511
0	510	511
0	509	510
0	509	510
0	509	510
0	510	510
0	509	510
0	510	510
0	509	510
0	510	510
0	509	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	511
0	510	509
0	511	511
0	510	511
0	511	510
0	510	511
0	511	510
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	511
0	509	510
0	510	511
0	509	510
0	510	511
0	509	510
0	510	511
0	509	510
0	510	510
0	509	511
0	509	511
0	509	511
0	510	509
0	509	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	509	511
43	510	510
47	511	510
51	518	510
55	516	510
60	517	511
64	518	511
68	522	510
72	522	511
77	520	511
82	521	511
86	524	510
94	506	510
100	515	510
106	518	510
111	526	510
115	532	511
116	559	511
120	535	511
118	570	511
119	552	511
120	552	510
120	555	511
121	553	511
124	537	511
121	575	512
120	555	511
125	524	511
122	573	512
121	557	511
122	544	511
122	549	511
125	528	511
123	566	511
122	554	511
126	524	511
123	567	511
122	551	512
127	519	512
123	570	511
123	547	512
124	542	512
123	547	511
127	520	511
125	564	512
126	533	512
124	557	512
127	523	512
125	560	512
128	528	512
125	565	512
127	527	512
125	556	512
128	523	512
126	560	512
128	528	513
126	559	512
125	548	513
129	516	512
126	562	513
129	524	513
126	561	513
129	521	513
130	535	513
127	567	513
129	525	512
130	532	513
127	563	513
127	543	512
127	540	512
128	539	512
131	522	513
127	563	513
131	518	513
128	560	513
128	545	513
128	541	514
128	541	513
128	540	513
128	540	514
131	516	512
133	534	514
128	572	513
128	542	513
129	535	513
129	542	513
128	542	514
129	535	514
129	540	514
129	541	513
130	540	514
129	545	513
129	539	514
129	538	513
130	537	513
130	543	513
129	543	514
130	536	514
130	541	514
130	542	513
130	541	513
129	541	514
130	534	514
131	539	513
130	545	514
130	540	514
130	538	514
131	538	514
130	544	514
131	538	515
130	543	514
131	537	514
131	542	514
130	543	514
131	536	514
131	541	514
131	541	513
131	540	514
131	539	515
131	539	514
131	539	514
132	538	514
131	543	515
132	539	514
131	543	514
132	537	514
132	542	515
131	542	514
132	535	514
132	540	514
132	541	514
132	541	514
132	540	515
132	540	515
132	539	514
133	539	515
136	519	514
137	537	515
136	544	515
133	566	516
132	545	515
133	535	515
133	539	514
133	540	515
133	540	515
133	539	515
134	538	515
133	545	514
133	538	515
134	537	515
133	543	515
134	537	515
134	542	515
133	543	515
134	535	515
134	541	515
134	541	515
134	541	516
134	540	515
134	540	515
134	539	515
134	540	516
134	539	516
135	538	515
134	544	515
134	539	515
135	537	515
135	543	515
138	517	515
135	563	515
134	545	516
135	536	516
135	540	515
139	514	516
135	565	515
135	543	515
139	512	516
136	563	516
135	547	516
135	538	516
140	509	515
141	537	516
135	577	516
135	540	516
137	532	516
136	546	516
140	513	516
141	535	516
136	574	516
136	543	516
140	509	516
137	562	515
137	546	517
136	543	517
141	508	516
137	566	516
141	517	516
137	565	516
141	515	517
137	564	517
137	541	516
138	537	516
142	514	517
138	569	517
141	517	516
143	530	517
138	574	516
137	544	517
143	504	516
139	569	517
142	520	516
139	563	517
138	546	517
138	537	517
139	536	517
143	513	517
139	567	516
138	546	517
139	535	517
139	540	517
139	541	517
138	541	517
139	534	517
144	510	516
140	570	516
143	520	517
140	563	517
138	547	517
140	531	517
144	511	517
140	567	516
140	546	517
139	541	518
140	535	517
145	509	517
145	538	518
141	574	516
144	519	517
141	562	518
140	547	518
140	537	518
145	506	518
142	566	517
144	521	518
142	560	517
145	519	517
141	565	516
141	544	517
145	508	518
147	531	518
142	577	518
140	550	518
142	531	518
141	542	517
146	506	518
143	565	517
141	551	517
142	536	518
142	540	518
142	541	518
146	508	518
143	563	517
142	548	517
142	539	518
143	538	518
147	512	518
143	567	518
147	516	517
143	566	518
142	546	519
143	536	518
142	541	518
143	535	519
148	509	518
149	537	519
143	578	518
143	545	518
143	539	519
143	539	519
148	507	518
149	533	519
144	575	518
143	547	519
144	536	518
143	541	519
149	504	518
150	535	519
145	577	518
143	550	519
144	534	519
149	504	518
146	565	519
144	553	519
144	539	519
150	504	520
146	568	519
149	520	519
145	564	519
145	545	518
144	541	519
145	534	519
145	539	519
145	540	519
145	540	519
145	539	519
146	540	519
150	512	519
146	566	519
150	515	518
151	533	519
147	572	520
150	520	520
147	562	520
150	517	520
147	561	518
151	515	520
148	564	519
146	553	519
146	538	520
147	536	520
146	541	519
152	504	519
153	535	519
148	576	519
146	551	520
147	536	520
147	538	520
152	507	520
149	564	520
147	554	520
147	539	519
147	538	519
147	538	520
152	505	520
149	562	520
152	520	520
149	562	520
148	550	520
148	541	520
153	507	520
149	564	520
148	548	520
148	539	519
149	538	520
148	542	520
149	538	519
148	542	520
149	538	521
149	541	520
148	543	520
153	504	520
155	531	520
150	574	520
149	552	520
148	541	519
