V2_mean	Isense_mean	dt	V2Ref_set
510	510	500	102
PWM	V2_read	Isense_read
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	509	511
0	510	511
0	509	510
0	510	510
0	509	511
0	510	511
0	509	511
0	510	511
0	509	511
0	510	511
0	509	511
0	510	511
0	509	510
0	510	511
0	510	511
0	510	511
0	510	510
0	510	510
0	510	511
0	510	510
0	510	511
0	510	511
0	510	510
0	511	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	509	511
0	510	511
0	509	511
0	510	510
0	509	510
0	510	510
0	509	510
0	510	510
0	509	510
0	510	511
0	509	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	511
0	510	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	511
0	510	511
0	510	511
0	509	510
0	510	510
0	509	511
0	510	511
0	510	511
0	510	510
0	509	511
0	510	510
0	509	510
0	510	511
0	509	511
0	510	510
0	510	511
0	510	511
0	509	510
0	510	510
0	509	511
0	510	511
0	510	510
0	510	510
0	510	511
0	511	511
0	510	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	511
0	510	511
0	511	511
0	510	511
0	510	510
0	509	511
0	510	511
0	509	510
0	510	511
0	509	511
0	510	510
0	509	511
0	509	511
0	509	510
0	510	510
0	509	511
0	510	510
0	509	512
0	510	511
0	509	511
0	510	511
0	509	511
0	510	511
0	509	511
0	510	511
0	510	510
0	510	511
0	510	511
0	510	511
0	510	511
0	511	511
0	510	511
0	511	510
0	510	511
0	510	510
0	510	510
0	510	510
0	509	511
0	510	511
0	510	511
0	510	511
0	510	511
0	510	511
0	509	511
0	510	511
0	509	511
0	510	510
0	510	510
0	510	511
0	509	511
0	510	510
0	509	511
0	510	510
0	509	511
0	510	510
0	509	511
0	510	511
0	510	510
0	510	511
0	510	510
0	510	511
0	510	511
0	511	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	511
0	509	510
0	510	510
0	509	510
0	510	510
0	509	510
0	510	511
0	510	510
0	510	511
0	509	510
0	510	510
0	509	510
0	510	511
0	509	511
0	510	511
0	509	510
0	510	511
0	510	511
0	510	511
0	510	510
0	510	511
0	510	511
0	511	510
0	510	511
53	510	510
67	527	510
81	527	511
99	510	511
114	535	511
125	567	510
131	602	511
134	624	511
135	636	511
131	664	512
132	631	511
138	601	512
134	663	512
134	637	512
134	629	512
135	624	512
140	599	512
136	657	512
136	631	513
137	623	513
141	597	513
138	650	513
137	631	513
138	617	513
143	590	514
140	650	513
138	633	514
144	582	515
141	647	514
145	597	515
141	648	513
145	591	515
142	641	515
146	591	515
143	641	515
148	591	515
144	647	515
148	592	515
144	642	515
149	585	516
146	640	516
150	592	516
147	642	516
145	627	516
151	576	516
148	637	516
152	591	516
149	640	517
153	592	518
149	640	517
153	588	518
151	634	517
154	593	518
152	635	517
150	626	517
156	577	517
153	637	518
156	593	519
154	633	518
157	592	519
155	634	518
158	593	519
156	633	519
159	594	519
156	633	518
160	589	520
158	632	520
161	596	520
158	633	520
162	591	520
159	632	520
163	591	520
161	632	521
163	598	521
161	628	521
165	592	521
162	634	521
165	595	522
163	629	521
166	595	521
164	630	522
167	596	522
164	631	522
168	592	522
168	613	523
165	633	522
166	612	523
170	589	523
166	638	523
167	611	523
171	589	523
170	622	523
167	634	524
171	585	524
169	631	524
171	597	523
169	628	524
173	591	524
170	637	524
172	597	524
170	626	524
174	590	525
171	634	525
174	597	525
172	630	525
174	599	524
172	627	525
175	594	526
173	628	526
175	597	525
174	624	526
176	599	526
174	627	527
177	595	527
175	629	527
177	599	526
176	624	527
178	601	527
176	628	527
178	597	528
177	622	527
179	599	526
178	626	528
179	603	528
178	621	528
181	597	528
178	631	529
179	608	528
182	597	529
179	632	528
182	597	529
180	626	528
182	600	529
181	622	530
182	602	529
182	618	529
183	605	531
182	622	529
184	601	531
183	624	530
184	605	530
183	619	530
