V2_mean	Isense_mean	dt	V2Ref_set
510	510	500	102
PWM	V2_read	Isense_read
0	511	510
0	510	510
0	510	510
0	509	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	509	511
0	510	511
0	510	510
0	510	511
0	509	510
0	510	509
0	509	511
0	510	511
0	510	510
0	510	511
0	509	511
0	510	510
0	510	510
0	510	511
0	510	509
0	511	511
0	510	510
0	510	510
0	510	511
0	510	510
0	510	511
0	510	510
0	510	511
0	510	511
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	510	511
0	510	511
0	510	511
0	510	510
0	510	510
0	509	510
0	509	511
0	509	510
0	510	510
0	509	511
0	510	510
0	509	511
0	510	510
0	509	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	511	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	511
0	511	510
0	510	510
0	510	510
0	510	510
0	510	510
0	509	511
0	510	510
0	509	511
0	510	510
0	509	510
0	510	510
0	509	511
0	510	511
0	509	510
0	510	510
0	509	510
0	510	511
0	509	510
0	510	510
0	509	511
0	510	511
0	510	511
0	510	511
0	510	510
0	510	510
0	510	511
0	510	511
0	510	511
0	510	510
0	510	512
0	511	511
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	509	510
0	510	510
0	510	511
0	510	510
0	509	511
0	510	511
0	509	510
0	510	510
0	509	511
0	510	510
0	509	510
0	510	510
0	509	511
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	511
0	510	510
0	510	511
0	510	510
0	511	510
0	510	511
0	510	510
0	510	510
0	511	511
0	510	510
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	509	511
0	510	510
0	509	510
0	510	510
0	510	511
0	510	510
0	509	510
0	510	511
0	509	510
0	510	510
0	509	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	511	511
0	510	510
0	510	511
0	510	511
0	510	511
0	510	510
0	510	510
0	510	511
0	510	510
0	510	511
0	511	511
0	510	510
0	510	510
0	510	511
0	510	511
0	510	510
0	510	511
0	510	510
0	510	510
0	509	510
0	509	510
0	509	511
0	510	511
0	509	511
0	510	510
0	509	510
0	510	510
0	509	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	511
0	511	510
0	510	510
53	510	511
68	521	511
83	524	510
100	511	511
115	535	511
125	573	511
131	602	511
135	622	511
135	637	512
138	627	511
133	670	512
137	612	511
136	644	512
140	610	512
140	631	513
141	626	512
136	670	512
139	607	512
143	607	513
135	681	513
141	587	513
138	647	513
140	609	513
145	595	514
136	686	513
144	565	514
138	668	514
145	571	514
138	673	514
143	585	515
147	593	515
138	684	515
147	557	515
139	677	514
148	558	515
140	680	515
148	559	515
140	676	515
145	582	516
150	581	515
140	686	516
151	546	516
141	688	516
150	548	517
142	675	516
152	549	516
142	685	516
147	584	517
153	573	516
143	685	516
153	545	517
144	680	517
146	598	517
155	555	517
145	685	517
147	604	517
155	556	518
146	678	517
156	547	518
147	678	518
157	549	518
148	678	518
147	620	518
148	606	518
147	615	518
149	603	518
158	549	518
150	672	518
148	627	518
149	606	518
149	614	518
149	612	518
160	539	518
153	668	519
160	562	519
154	664	518
161	563	519
155	661	519
162	565	519
156	658	519
163	566	520
157	655	519
153	641	520
153	616	520
152	615	520
164	530	519
159	650	520
166	571	521
160	654	520
167	572	520
161	654	521
159	632	521
157	626	521
156	616	521
156	611	521
157	609	521
157	613	521
168	537	521
163	647	521
170	573	522
163	659	522
170	568	523
165	654	522
170	576	522
166	649	522
171	577	522
166	652	523
166	614	523
173	569	522
166	659	523
167	607	523
174	568	524
168	661	524
174	572	524
168	654	524
175	567	524
169	657	523
175	570	524
170	651	524
176	574	524
170	654	524
177	568	525
171	656	525
177	574	524
172	651	524
178	576	525
172	654	526
178	571	524
173	648	526
179	574	525
174	651	526
179	578	526
175	646	526
179	581	526
175	641	526
181	575	527
176	652	526
181	580	527
176	646	527
178	602	528
181	589	527
178	638	527
178	611	527
183	580	527
179	647	528
183	586	528
179	641	528
184	580	529
180	644	528
180	608	529
185	580	529
181	644	529
185	585	529
182	639	529
185	589	530
183	633	529
186	592	530
183	636	529
187	587	530
183	639	530
188	581	530
184	642	530
188	585	531
185	636	530
189	588	531
184	645	531
190	573	531
185	653	531
190	577	532
185	648	531
191	570	532
186	651	531
189	595	532
190	603	532
187	635	533
193	573	532
187	658	532
193	568	533
191	636	532
188	630	533
195	568	533
187	668	533
192	575	534
193	608	534
190	636	534
194	585	535
190	642	533
193	598	535
193	607	534
192	621	534
196	591	535
191	651	535
196	577	535
191	645	535
195	588	535
195	614	536
193	627	535
198	581	536
192	651	535
197	583	536
195	624	536
195	612	537
198	595	537
195	636	537
196	603	537
199	598	536
195	637	537
200	580	537
197	639	538
199	599	537
197	625	538
200	593	538
198	628	538
199	608	538
200	605	538
200	619	538
200	608	539
200	614	538
202	603	539
201	623	539
202	606	539
201	617	539
203	600	539
204	611	540
203	623	539
204	606	540
203	617	540
206	600	540
204	623	541
206	602	539
206	618	541
206	609	540
207	612	541
207	610	540
208	613	541
208	611	541
208	613	542
210	605	541
209	617	542
211	606	542
211	617	542
211	611	542
212	611	542
212	609	543
213	610	543
214	608	543
215	613	543
215	613	543
215	612	543
217	607	543
217	614	543
218	610	544
218	611	543
220	607	544
221	608	544
222	606	544
255	605	545
255	604	545
255	602	545
255	600	545
255	598	545
255	595	545
255	593	545
255	591	545
255	589	545
255	587	544
255	585	546
255	583	546
255	582	546
255	579	546
255	578	545
255	576	546
255	574	546
255	573	546
255	571	546
255	569	546
255	568	546
255	566	546
255	565	546
255	563	547
255	562	547
255	560	547
255	559	546
255	557	546
255	557	547
255	554	547
255	554	547
255	552	547
255	552	547
255	550	547
255	550	547
255	548	547
255	547	547
255	545	547
255	545	547
255	544	548
255	544	548
255	543	548
255	542	547
255	541	548
255	540	548
255	539	548
255	539	548
255	538	548
255	538	548
255	537	548
255	537	548
255	535	547
255	535	548
255	534	548
255	534	548
255	533	548
255	533	548
255	532	548
255	532	548
255	530	548
255	531	548
255	529	547
255	530	548
255	529	548
255	529	548
255	528	548
255	528	549
255	527	548
255	527	548
255	526	548
255	527	548
255	525	548
255	526	549
255	525	548
255	525	548
255	524	548
255	524	548
255	523	548
255	524	549
255	522	548
255	523	549
255	522	549
255	522	548
255	521	548
255	522	548
255	521	548
255	521	548
255	520	548
255	520	548
255	520	548
255	519	549
255	518	549
255	519	549
255	518	548
255	518	549
255	518	549
255	518	548
255	517	549
